Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.1	4.8567	93.19	5.7596	59.95
6	Standard 2	Calibration Standard	3.1	9.6626	93.11	11.459	118.22
7	Standard 3	Calibration Standard	3.097	18.9111	93.08	22.4269	228.27
8	Standard 4	Calibration Standard	3.083	99.3949	93.03	117.8736	1164.47
9	Standard 5	Calibration Standard	3.083	200.0486	92.98	237.2401	2318.02
10	Lab Blank	Unknown	3.103	0.0091	100	0.0108	0.09
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	333_10_May	Unknown	3.09	6353.2607	90.35	75.3441	744.19
13	333_20_May	Unknown	3.087	6539.5324	95.2	77.5531	766.72
14	333_40_May	Unknown	3.087	6416.493	95.57	76.094	752.31
15	333_80_May	Unknown	3.083	6917.417	96.26	82.0345	811.66
16	333_120_May	Unknown	3.087	5751.9693	95.58	68.2133	675.93
17	633_10_May	Unknown	3.087	6074.2146	89.4	72.0349	712.57
18	633_20_May	Unknown	3.087	6628.4712	94.65	78.6079	778.26
19	633_40_May	Unknown	3.087	6746.3034	96.21	80.0053	791.1
20	633_80_May	Unknown	3.087	5925.2741	95.95	70.2686	694.82
21	633_80_May_DUP	Unknown	3.087	6197.4212	96	73.496	728.02
22	633_120_May	Unknown	3.087	5745.6755	94.81	68.1387	675.3
23	633_120_May_SPK	Spiked	3.087	5733.9794	92.67	67.5496	669.59
