"","Year","Community","Treatment","Chamber","RootMass_m2","C3RhizMass_m2","C4RhizMass_m2","RhizMass_m2","TotalBelowMass_m2"
"1",2000,"MX","A",2,259.1675288,2.821581967,110.9038468,113.7254287,372.8929575
"2",2000,"MX","A",6,251.1338579,93.17751931,10.42417782,103.6016971,354.7355551
"3",2000,"MX","A",9,291.1715835,0,50.17452007,50.17452007,341.3461036
"4",2000,"MX","A",12,303.4115016,352.58018,39.9070968,392.4872768,695.8987784
"5",2000,"MX","A",15,224.6292755,53.3357369,50.29208599,103.6278229,328.2570984
"6",2000,"MX","C",3,185.3491969,32.44819262,22.86003908,55.3082317,240.6574286
"7",2000,"MX","C",5,148.2375563,120.5965033,25.3942377,145.990741,294.2282973
"8",2000,"MX","C",7,281.0739777,12.39667262,52.3168323,64.71350493,345.7874826
"9",2000,"MX","C",10,128.434231,83.53711425,12.26604383,95.80315808,224.2373891
"10",2000,"MX","C",14,147.4407207,25.4595521,74.21021831,99.66977041,247.1104911
"11",2000,"MX","E",1,331.1570576,229.0967803,6.4922511,235.5890314,566.746089
"12",2000,"MX","E",4,428.3840696,438.6645557,42.78093029,481.445486,909.8295555
"13",2000,"MX","E",8,515.8792363,526.747552,15.9105872,542.6581392,1058.537376
"14",2000,"MX","E",11,271.6033901,194.9373504,19.08486692,214.0222173,485.6256074
"15",2000,"MX","E",13,210.3646111,82.67496421,0,82.67496421,293.0395753
"16",2000,"SC","A",2,232.1926827,46.29484487,0,46.29484487,278.4875276
"17",2000,"SC","A",4,190.757229,41.40932794,6.47918822,47.88851616,238.6457452
"18",2000,"SC","A",8,174.7552016,0.339634866,0,0.339634866,175.0948365
"19",2000,"SC","A",12,238.9070027,155.3306999,0,155.3306999,394.2377026
"20",2000,"SC","A",15,196.1913869,129.0743121,0,129.0743121,325.265699
"21",2000,"SC","C",3,99.16031811,66.01979287,0,66.01979287,165.180111
"22",2000,"SC","C",5,172.1687515,19.52900482,15.0223114,34.55131622,206.7200677
"23",2000,"SC","C",7,85.43123178,0,0,0,85.43123178
"24",2000,"SC","C",11,148.6947571,54.61589909,0,54.61589909,203.3106562
"25",2000,"SC","C",13,90.53881765,6.871074605,0,6.871074605,97.40989226
"26",2000,"SC","E",1,202.2264372,76.16965023,0,76.16965023,278.3960874
"27",2000,"SC","E",6,464.0587934,471.4393203,44.29622431,515.7355446,979.794338
"28",2000,"SC","E",9,252.3487057,115.4627917,9.666530813,125.1293225,377.4780282
"29",2000,"SC","E",10,317.571663,68.8675006,0,68.8675006,386.4391636
"30",2000,"SC","E",14,285.0973446,8.046733758,0,8.046733758,293.1440783
"31",2000,"SP","A",2,99.10806659,0,20.09070864,20.09070864,119.1987752
"32",2000,"SP","A",5,119.3163411,0,23.66993761,23.66993761,142.9862788
"33",2000,"SP","A",9,161.4441275,0,7.720161771,7.720161771,169.1642892
"34",2000,"SP","A",11,102.8440501,0,16.91642892,16.91642892,119.760479
"35",2000,"SP","A",13,61.83967144,0,7.014766279,7.014766279,68.85443772
"36",2000,"SP","C",3,137.4868065,0,19.89476544,19.89476544,157.3815719
"37",2000,"SP","C",6,235.7065973,0,20.61322381,20.61322381,256.3198211
"38",2000,"SP","C",7,112.0795059,0,1.606734176,1.606734176,113.6862401
"39",2000,"SP","C",12,146.6046964,0,23.8658808,23.8658808,170.4705772
"40",2000,"SP","C",15,109.0227921,0,5.786855608,5.786855608,114.8096477
"41",2000,"SP","E",1,444.1509651,0,6.505313979,6.505313979,450.6562791
"42",2000,"SP","E",4,113.7646174,0,19.26774723,19.26774723,133.0323646
"43",2000,"SP","E",8,115.7763008,0,51.82044288,51.82044288,167.5967437
"44",2000,"SP","E",10,245.164122,0,30.34506902,30.34506902,275.509191
"45",2000,"SP","E",14,77.22774347,0,4.441379022,4.441379022,81.66912249
"46",2001,"MX","A",2,215.4068826,24.92397404,9.170141393,34.09411543,249.500998
"47",2001,"MX","A",6,268.4552361,0,0,0,268.4552361
"48",2001,"MX","A",9,211.5272074,0,0,0,211.5272074
"49",2001,"MX","A",12,175.6826661,27.73249313,1.619797055,29.35229018,205.0349563
"50",2001,"MX","A",15,201.4557273,0,0,0,201.4557273
"51",2001,"MX","C",3,230.2593765,0,0,0,230.2593765
"52",2001,"MX","C",5,144.3317553,3.213468351,0,3.213468351,147.5452237
"53",2001,"MX","C",7,290.8450115,14.60429925,16.22409631,30.82839556,321.6734071
"54",2001,"MX","C",10,197.4454233,23.34336562,0,23.34336562,220.7887889
"55",2001,"MX","C",14,158.5049796,0,0,0,158.5049796
"56",2001,"MX","E",1,202.9775527,0,21.0051102,21.0051102,223.9826629
"57",2001,"MX","E",4,259.7031069,11.75659153,0,11.75659153,271.4596984
"58",2001,"MX","E",8,298.8003051,138.4926482,0,138.4926482,437.2929534
"59",2001,"MX","E",11,190.7049775,20.10377151,12.14847791,32.25224943,222.9572269
"60",2001,"MX","E",13,183.2721991,84.85646508,0,84.85646508,268.1286641
"61",2001,"SC","A",2,175.3169055,0,0,0,175.3169055
"62",2001,"SC","A",4,143.3781651,0,0,0,143.3781651
"63",2001,"SC","A",8,170.1178794,0,0,0,170.1178794
"64",2001,"SC","A",12,161.3526873,0,0,0,161.3526873
"65",2001,"SC","A",15,197.589115,76.77054268,0,76.77054268,274.3596576
"66",2001,"SC","C",3,74.45841302,0,0,0,74.45841302
"67",2001,"SC","C",5,102.5174781,0,0,0,102.5174781
"68",2001,"SC","C",7,70.44810902,0,0,0,70.44810902
"69",2001,"SC","C",11,143.3259136,0,0,0,143.3259136
"70",2001,"SC","C",13,91.20502451,0,0,0,91.20502451
"71",2001,"SC","E",1,181.7960937,88.59244861,0,88.59244861,270.3885423
"72",2001,"SC","E",6,202.5007576,38.19585959,0,38.19585959,240.6966172
"73",2001,"SC","E",9,195.6558088,80.7677838,0,80.7677838,276.4235926
"74",2001,"SC","E",10,182.8933756,50.38352614,0,50.38352614,233.2769017
"75",2001,"SC","E",14,209.1236375,134.2994639,0,134.2994639,343.4231014
"76",2001,"SP","A",2,87.22084627,0,0,0,87.22084627
"77",2001,"SP","A",5,98.03691047,0,0,0,98.03691047
"78",2001,"SP","A",9,135.4881859,0,0,0,135.4881859
"79",2001,"SP","A",11,130.8116751,0,0,0,130.8116751
"80",2001,"SP","A",13,75.81695248,0,0,0,75.81695248
"81",2001,"SP","C",3,132.2877805,0,0,0,132.2877805
"82",2001,"SP","C",6,152.1433573,0,0,0,152.1433573
"83",2001,"SP","C",7,151.8690368,0,0,0,151.8690368
"84",2001,"SP","C",12,155.1086309,0,0,0,155.1086309
"85",2001,"SP","C",15,99.91796512,0,0.587829576,0.587829576,100.5057947
"86",2001,"SP","E",1,148.8776374,0,0,0,148.8776374
"87",2001,"SP","E",4,139.2241695,0,0,0,139.2241695
"88",2001,"SP","E",8,67.83553312,0,0,0,67.83553312
"89",2001,"SP","E",10,108.3435224,0,0,0,108.3435224
"90",2001,"SP","E",14,181.1429497,0,6.98864052,6.98864052,188.1315902
"91",2002,"MX","A",2,175.042585,0,50.55334357,50.55334357,225.5959286
"92",2002,"MX","A",6,181.8352823,167.4661149,31.35091074,198.8170256,380.6523079
"93",2002,"MX","A",9,219.9788904,0,87.78255008,87.78255008,307.7614405
"94",2002,"MX","A",12,251.5910587,92.74644428,51.46774514,144.2141894,395.8052481
"95",2002,"MX","A",15,174.1281834,36.57606253,32.78782749,69.36389002,243.4920734
"96",2002,"MX","C",3,152.3131747,0,22.20689511,22.20689511,174.5200698
"97",2002,"MX","C",5,79.68356481,0,0,0,79.68356481
"98",2002,"MX","C",7,288.6896364,0,29.913994,29.913994,318.6036304
"99",2002,"MX","C",10,148.916826,72.76023868,0,72.76023868,221.6770647
"100",2002,"MX","C",14,233.4336562,185.884775,59.30547282,245.1902478,478.623904
"101",2002,"MX","E",1,122.6604383,11.88722032,9.013386839,20.90060716,143.5610454
"102",2002,"MX","E",4,199.0782832,45.58944937,10.45030358,56.03975295,255.1180362
"103",2002,"MX","E",8,201.9521167,81.64299673,7.968356481,89.61135321,291.5634699
"104",2002,"MX","E",11,179.0920776,21.68437993,27.30141811,48.98579804,228.0778757
"105",2002,"MX","E",13,163.8085086,65.31439738,21.81500873,87.12940611,250.9379147
"106",2002,"SC","A",2,45.98133576,30.43650918,0,30.43650918,76.41784494
"107",2002,"SC","A",4,131.8044539,165.2454254,3.265719869,168.5111452,300.3155992
"108",2002,"SC","A",8,178.83082,61.26490475,53.03529068,114.3001954,293.1310155
