loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,type,units,definition,table
TIMESTAMP,timestamp,site,logger,n,timestamp,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
RECORD,record,site,logger,n,record,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Statname,logger,key,logger,key,logger,gcrew_met,character,,NA,gcrew_met_gcrewmet15min
Rain_in_Tot,rain_in_tot,site,logger,n,rain_in_tot,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Rain_cm_Tot,rain_cm_tot,site,logger,n,rain_cm_tot,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
AirTC_Avg,airtc_avg,site,logger,n,airtc_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
RH,rh,site,logger,n,rh,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
CleanRH,cleanrh,site,logger,n,cleanrh,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
VP,vp,site,logger,n,vp,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
VPD,vpd,site,logger,n,vpd,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
SVP,svp,site,logger,n,svp,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Barometric_Pressure_PB110B,barometric_pressure_pb110b,site,logger,n,barometric_pressure_pb110b,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Barometric_Pressure_PB110B_Avg,barometric_pressure_pb110b_avg,site,logger,n,barometric_pressure_pb110b_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
SlrW_Avg,slrw_avg,site,logger,n,slrw_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
SlrMJ_Tot,slrmj_tot,site,logger,n,slrmj_tot,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
PAR_Den_C_Avg,par_den_c_avg,site,logger,n,par_den_c_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
PAR_Tot_C_Tot,par_tot_c_tot,site,logger,n,par_tot_c_tot,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Temp10cm_Avg,temp10cm_avg,site,logger,n,temp10cm_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Temp25cm_Avg,temp25cm_avg,site,logger,n,temp25cm_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Temp90cm_Avg,temp90cm_avg,site,logger,n,temp90cm_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Above75cm_plate_Avg,above75cm_plate_avg,site,logger,n,above75cm_plate_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Aquatroll_ID(2),aquatroll_id2,site,logger,n,aquatroll_id2,gcrew_met,character,,NA,gcrew_met_gcrewmet15min
Depth,depth,site,logger,n,depth,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Temperature,temperature,site,logger,n,water_temperature,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Actual_Conductivity,actual_conductivity,site,logger,n,actual_conductivity,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Specific_Conductivity,specific_conductivity,site,logger,n,specific_conductivity,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Salinity,salinity,site,logger,n,salinity,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
TDS,tds,site,logger,n,tds,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Water_Density,water_density,site,logger,n,water_density,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Pressure,pressure,site,logger,n,pressure,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Resistivity,resistivity,site,logger,n,resistivity,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WindDir_RM_Avg,winddir_rm_avg,site,logger,n,winddir_rm_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WindDir_RM,winddir_rm,site,logger,n,winddir_rm,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WS_ms_RM_Max,ws_ms_rm_max,site,logger,n,ws_ms_rm_max,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WS_ms_RM_Min,ws_ms_rm_min,site,logger,n,ws_ms_rm_min,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WS_ms_RM_Avg,ws_ms_rm_avg,site,logger,n,ws_ms_rm_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WS_ms_RM,ws_ms_rm,site,logger,n,ws_ms_rm,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WindDir_WS_Avg,winddir_ws_avg,site,logger,n,winddir_ws_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WindDir_WS,winddir_ws,site,logger,n,winddir_ws,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WS_ms_WS_Max,ws_ms_ws_max,site,logger,n,ws_ms_ws_max,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WS_ms_WS_Min,ws_ms_ws_min,site,logger,n,ws_ms_ws_min,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WS_ms_WS_Avg,ws_ms_ws_avg,site,logger,n,ws_ms_ws_avg,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
WS_ms_WS,ws_ms_ws,site,logger,n,ws_ms_ws,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
Logger,logger,site,logger,n,logger,gcrew_met,character,,NA,gcrew_met_gcrewmet15min
Program,program,site,logger,n,program,gcrew_met,character,,NA,gcrew_met_gcrewmet15min
Table,table,site,logger,n,table,gcrew_met,character,,NA,gcrew_met_gcrewmet15min
rowid,rowid,key,logger,key,rowid,gcrew_met,character,,NA,gcrew_met_gcrewmet15min
time2,time2,key,logger,key,time2,gcrew_met,number,,NA,gcrew_met_gcrewmet15min
