,C3,GCREW_MET,GENX,C4
C3,0,-4.596854325,-4.071735232,-11.21895484
GCREW_MET,4.486976928,0,1.137009599,-6.416880338
GENX,3.267274997,-1.236939369,0,-7.572936349
C4,8.620380279,5.428830367,7.138744481,0
