original_column,updated_column
TIMESTAMP,timestamp_local
RECORD,record
Date,date
Time,time
Chlorophyll_RFU,chlorophyll_rfu
Chlorophyll_ugL,chlorophyll_ugl
Conductivity,conductivity_ms_cm
FDOM_QSU,fdom_qsu
FDOM_RFU,fdom_rfu
NLF_conductivity,nlf_conductivity_ms_cm
ODO_sat,odo_sat_percent
ODO_local,odo_local_percent
ODO_MgL,odo_mg_l
Pressure_psia,pressure_psia
Salinity_PPT,salinity_ppt
Specific_Conductivity_uScm,specific_conductivity_mscm
BGA_PE_RFU,bga_pe_rfu
BGA_PE_ugL,bga_pe_microg_l
TDS_mg_L,tds_mg_l
Turbidity_FNU,turbidity_fnu
Wiper_Position_mv,wiper_position_mv
pH,ph
pH_mv,ph_mv
Temp_C,temperature_c
Depth_m,depth_m
Battery_v,battery_v
Cable_v,cable_v
Wiper_Current_ma,wiper_current_ma
sn,sn
snn,snn
Logger,logger
Program,program
Table,table
