protocol,database_table,level,dataset,table,column_name,data_type,version
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,instrument_id,STRING,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,id,INT,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,timestamp_local,TIMESTAMP,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,timestamp_utc,TIMESTAMP,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,time2,TIMESTAMP,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,battery_v,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,bga_pe_microg_l,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,bga_pe_rfu,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,cable_v,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,chlorophyll_rfu,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,chlorophyll_ugl,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,conductivity_ms_cm,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,depth_m,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,fdom_qsu,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,fdom_rfu,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,logger,STRING,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,nlf_conductivity_ms_cm,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,odo_local_percent,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,odo_mg_l,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,odo_sat_percent,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,ph,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,ph_mv,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,pressure_psia,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,program,STRING,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,record,STRING,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,salinity_ppt,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,sn,STRING,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,snn,STRING,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,specific_conductivity_mscm,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,table,STRING,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,tds_mg_l,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,temperature_c,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,turbidity_fnu,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,wiper_current_ma,DOUBLE,1
GCREW weir sonde,sonde_GCREW_weir_L1_loggernet_data,1,loggernet,data,wiper_position_mv,DOUBLE,1
