site,water_level,warming,vegetation,treatment_name,organ_id,plot_id,am32channel,temp_raw_link,ptemp_link,logger,design_link
freshwater,-10,6C,veg,heated_veg_minus10,1,101,1L,Stemp(1),9,genx_organf,logger
freshwater,-10,ambient,veg,amb_veg_minus10,1,102,2H,Stemp(2),3,genx_organf,logger
freshwater,-10,6C,bare,heated_bare_minus10,1,103,2L,Stemp(3),7,genx_organf,logger
freshwater,-10,ambient,veg,amb_veg_minus10,1,104,3L,Stemp(4),4,genx_organf,logger
freshwater,-10,6C,bare,heated_bare_minus10,2,105,4H,Stemp(5),8,genx_organf,logger
freshwater,-10,ambient,bare,amb_bare_minus10,2,106,4L,Stemp(6),1,genx_organf,logger
freshwater,-10,6C,veg,heated_veg_minus10,2,107,5L,Stemp(7),10,genx_organf,logger
freshwater,-10,ambient,veg,amb_veg_minus10,2,108,6H,Stemp(8),5,genx_organf,logger
freshwater,-10,6C,veg,heated_veg_minus10,3,109,6L,Stemp(9),11,genx_organf,logger
freshwater,-10,ambient,veg,amb_veg_minus10,3,110,7L,Stemp(10),6,genx_organf,logger
freshwater,-10,6C,veg,heated_veg_minus10,3,111,8H,Stemp(11),12,genx_organf,logger
freshwater,-10,ambient,bare,amb_bare_minus10,3,112,8L,Stemp(12),2,genx_organf,logger
freshwater,0,6C,bare,heated_bare_0,1,113,9L,Stemp(13),19,genx_organf,logger
freshwater,0,ambient,veg,amb_veg_0,1,114,10H,Stemp(14),15,genx_organf,logger
freshwater,0,6C,veg,heated_veg_0,1,115,10L,Stemp(15),21,genx_organf,logger
freshwater,0,ambient,bare,amb_bare_0,1,116,11L,Stemp(16),13,genx_organf,logger
freshwater,0,6C,veg,heated_veg_0,2,117,12H,Stemp(17),22,genx_organf,logger
freshwater,0,ambient,veg,amb_veg_0,2,118,12L,Stemp(18),16,genx_organf,logger
freshwater,0,6C,veg,heated_veg_0,2,119,13L,Stemp(19),23,genx_organf,logger
freshwater,0,ambient,veg,amb_veg_0,2,120,14H,Stemp(20),17,genx_organf,logger
freshwater,0,6C,veg,heated_veg_0,3,121,14L,Stemp(21),24,genx_organf,logger
freshwater,0,ambient,bare,amb_bare_0,3,122,15L,Stemp(22),14,genx_organf,logger
freshwater,0,6C,bare,heated_bare_0,3,123,16H,Stemp(23),20,genx_organf,logger
freshwater,0,ambient,veg,amb_veg_0,3,124,16L,Stemp(24),18,genx_organf,logger
freshwater,10,6C,veg,heated_veg_plus10,1,125,17L,Stemp(25),33,genx_organf,logger
freshwater,10,ambient,bare,amb_bare_plus10,1,126,18H,Stemp(26),25,genx_organf,logger
freshwater,10,6C,veg,heated_veg_plus10,1,127,18L,Stemp(27),34,genx_organf,logger
freshwater,10,ambient,veg,amb_veg_plus10,1,128,19L,Stemp(28),27,genx_organf,logger
freshwater,10,6C,veg,heated_veg_plus10,2,129,20H,Stemp(29),35,genx_organf,logger
