pattern,project
c3log,gcrew_smartx
c4log,gcrew_smartx
co2log,gcrew_smartx
gcrewmarshoutlet,gcrew_marsh_outlet
gcrewmet,gcrew_met
genx,gcrew_genx
genxlgr,gcrew_genx
genxorganb,gcrew_genx_organ
genxorganf,gcrew_genx_organ
redox1,gcrew_smartx_redox
redox2,gcrew_smartx_redox
redox3,gcrew_smartx_redox
waterlevel,gcrew_waterlevel
