loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,type,units,definition,table
TIMESTAMP,timestamp,site,logger,n,timestamp,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
RECORD,record,site,logger,n,record,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Flowrate,flowrate,site,logger,n,flowrate,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Stage,stage,site,logger,n,stage,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Mean_velocity,mean_velocity,site,logger,n,mean_velocity,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Total_volume,total_volume,site,logger,n,total_volume,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Water_depth,water_depth,site,logger,n,water_depth,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Index_velocity,index_velocity,site,logger,n,index_velocity,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Cross_area,cross_area,site,logger,n,cross_area,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Water_temperature,water_temperature,site,logger,n,water_temperature,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
System_status,system_status,site,logger,n,system_status,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Velocity_XZxc,velocity_xzxc,site,logger,n,velocity_xzxc,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Velocity_XZzc,velocity_xzzc,site,logger,n,velocity_xzzc,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Velocity_XZxl,velocity_xzxl,site,logger,n,velocity_xzxl,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Velocity_XZxr,velocity_xzxr,site,logger,n,velocity_xzxr,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Batt_Vol_Sontek,batt_vol_sontek,site,logger,n,batt_vol_sontek,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Pitch_angle,pitch_angle,site,logger,n,pitch_angle,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Roll_angle,roll_angle,site,logger,n,roll_angle,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Perc_submergance,perc_submergance,site,logger,n,perc_submergance,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
RangeWaterSurface,rangewatersurface,site,logger,n,rangewatersurface,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
AdjWaterDepth,adjwaterdepth,site,logger,n,adjwaterdepth,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
TotVOLpos,totvolpos,site,logger,n,totvolpos,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
TotVOLneg,totvolneg,site,logger,n,totvolneg,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
ECELL,ecell,site,logger,n,ecell,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
SNR1,snr1,site,logger,n,snr1,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
SNR2,snr2,site,logger,n,snr2,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
SNR3,snr3,site,logger,n,snr3,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
SNR4,snr4,site,logger,n,snr4,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
Logger,logger,key,logger,key,logger,gcrew_marsh_outlet,character,,NA,gcrew_marsh_outlet_sontektable
Program,program,site,logger,n,program,gcrew_marsh_outlet,character,,NA,gcrew_marsh_outlet_sontektable
Table,table,site,logger,n,table,gcrew_marsh_outlet,character,,NA,gcrew_marsh_outlet_sontektable
rowid,rowid,key,logger,key,rowid,gcrew_marsh_outlet,character,,NA,gcrew_marsh_outlet_sontektable
time2,time2,key,logger,key,time2,gcrew_marsh_outlet,number,,NA,gcrew_marsh_outlet_sontektable
