loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,type,units,definition,table
TIMESTAMP,timestamp,site,logger,n,timestamp,genx_organf,number,,NA,genx_organf_control
RECORD,record,site,logger,n,record,genx_organf,number,,NA,genx_organf_control
Statname,logger,key,logger,key,logger,genx_organf,character,,NA,genx_organf_control
Temp_Raw(1),temp_raw1,plot,101,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(2),temp_raw2,plot,102,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(3),temp_raw3,plot,103,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(4),temp_raw4,plot,104,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(5),temp_raw5,plot,105,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(6),temp_raw6,plot,106,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(7),temp_raw7,plot,107,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(8),temp_raw8,plot,108,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(9),temp_raw9,plot,109,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(10),temp_raw10,plot,110,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(11),temp_raw11,plot,111,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(12),temp_raw12,plot,112,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(13),temp_raw13,plot,113,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(14),temp_raw14,plot,114,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(15),temp_raw15,plot,115,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(16),temp_raw16,plot,116,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(17),temp_raw17,plot,117,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(18),temp_raw18,plot,118,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(19),temp_raw19,plot,119,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(20),temp_raw20,plot,120,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(21),temp_raw21,plot,121,y,temp_raw,genx_organf,number,,NA,genx_organf_control
Temp_Raw(22),temp_raw22,plot,122,y,temp_raw,genx_organf,number,,NA,genx_organf_control
