loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,type,units,definition,table
TIMESTAMP,timestamp,site,logger,n,timestamp,redox1,number,,NA,table1
RECORD,record,site,logger,n,record,redox1,number,,NA,table1
Statname,logger,key,logger,key,logger,redox1,character,,NA,table1
BattV,battv,site,logger,n,battv,redox1,number,,NA,table1
Volt_AM1(1),volt_am11,plot,613_5cm_ref1_1,y,mv,redox1,number,,NA,table1
Volt_AM1(2),volt_am12,plot,613_20cm_ref1_1,y,mv,redox1,number,,NA,table1
Volt_AM1(3),volt_am13,plot,613_5cm_ref1_2,y,mv,redox1,number,,NA,table1
Volt_AM1(4),volt_am14,plot,613_20cm_ref1_2,y,mv,redox1,number,,NA,table1
Volt_AM1(5),volt_am15,plot,613_5cm_ref1_3,y,mv,redox1,number,,NA,table1
Volt_AM1(6),volt_am16,plot,613_20cm_ref1_3,y,mv,redox1,number,,NA,table1
Volt_AM1(7),volt_am17,plot,613_5cm_ref1_4,y,mv,redox1,number,,NA,table1
Volt_AM1(8),volt_am18,plot,613_20cm_ref1_4,y,mv,redox1,number,,NA,table1
Volt_AM1(9),volt_am19,plot,613_5cm_ref1_5,y,mv,redox1,number,,NA,table1
Volt_AM1(10),volt_am110,plot,613_20cm_ref1_5,y,mv,redox1,number,,NA,table1
Volt_AM1(11),volt_am111,plot,613_5cm_ref1_6,y,mv,redox1,number,,NA,table1
Volt_AM1(12),volt_am112,plot,613_20cm_ref1_6,y,mv,redox1,number,,NA,table1
Volt_AM2(1),volt_am21,plot,613_5cm_ref2_1,y,mv,redox1,number,,NA,table1
Volt_AM2(2),volt_am22,plot,613_20cm_ref2_1,y,mv,redox1,number,,NA,table1
Volt_AM2(3),volt_am23,plot,613_5cm_ref2_2,y,mv,redox1,number,,NA,table1
Volt_AM2(4),volt_am24,plot,613_20cm_ref2_2,y,mv,redox1,number,,NA,table1
Volt_AM2(5),volt_am25,plot,613_5cm_ref2_3,y,mv,redox1,number,,NA,table1
Volt_AM2(6),volt_am26,plot,613_20cm_ref2_3,y,mv,redox1,number,,NA,table1
Volt_AM2(7),volt_am27,plot,613_5cm_ref2_4,y,mv,redox1,number,,NA,table1
