site,plot_name,plot_id,depth,reference,replicate,redox_id,treatment_name,transect,warming_level,co2_level,treatment,logger,design_link
C3,C3_tr1_T0,310,5cm,ref1,1,310_5cm_ref1_1,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,5cm,ref1,2,310_5cm_ref1_2,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,5cm,ref1,3,310_5cm_ref1_3,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,5cm,ref1,4,310_5cm_ref1_4,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,5cm,ref1,5,310_5cm_ref1_5,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,5cm,ref1,6,310_5cm_ref1_6,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,5cm,ref2,1,310_5cm_ref2_1,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,5cm,ref2,2,310_5cm_ref2_2,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,5cm,ref2,3,310_5cm_ref2_3,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,5cm,ref2,4,310_5cm_ref2_4,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,5cm,ref2,5,310_5cm_ref2_5,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,5cm,ref2,6,310_5cm_ref2_6,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,20cm,ref1,1,310_20cm_ref1_1,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,20cm,ref1,2,310_20cm_ref1_2,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,20cm,ref1,3,310_20cm_ref1_3,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,20cm,ref1,4,310_20cm_ref1_4,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,20cm,ref1,5,310_20cm_ref1_5,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,20cm,ref1,6,310_20cm_ref1_6,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,20cm,ref2,1,310_20cm_ref2_1,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,20cm,ref2,2,310_20cm_ref2_2,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,20cm,ref2,3,310_20cm_ref2_3,T0,tr1,amb,amb,amb_x_amb,redox1,logger
C3,C3_tr1_T0,310,20cm,ref2,4,310_20cm_ref2_4,T0,tr1,amb,amb,amb_x_amb,redox1,logger
