loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,lat,long,elevation,type,units,definition,Table,lower_bound,upper_bound,rolling_clean,variability_constant
Actual_Conductivity,actual_conductivity,site,logger,key,actual_conductivity,c3log,NA,NA,,number,microsiemens per centimeter,actual conductivity,c3log_waterlevel,,,no,
Actual_Conductivity,actual_conductivity,site,logger,key,actual_conductivity,c4log,NA,NA,,number,microsiemens per centimeter,actual conductivity,c4log_waterlevel,,,no,
Actual_Conductivity,actual_conductivity,site,logger,key,actual_conductivity,gcrew_met,NA,NA,,number,microsiemens per centimeter,actual conductivity,gcrew_met_gcrewwaterlevel200,,,no,
Actual_Conductivity,actual_conductivity,site,logger,key,actual_conductivity,genx,NA,NA,,number,microsiemens per centimeter,actual conductivity,genx_waterlevel200,,,no,
gw_act_cond,gw_act_cond,site,logger,key,actual_conductivity,compass_gcw_w,NA,NA,,numeric,?S/cm,actual conductivity,compass_gcw_w,,,no,
Aquatroll_ID(2),aquatroll_id2,site,logger,n,aquatroll_id,gcrew_met,NA,NA,,character,NA,ID for Aquatroll sensor,gcrew_met_gcrewwaterlevel200,,,no,
Aquatroll_ID(2),aquatroll_id2,site,logger,n,aquatroll_id,genx,NA,NA,,character,NA,ID for Aquatroll sensor,genx_waterlevel200,,,no,
Instrument,instrument,site,logger,n,aquatroll_id,compass_gcw_w,NA,NA,,character,NA,Name of measurement instrument,compass_gcw_w,,,no,
Hydros_ID(2),Hydros_ID(2),site,logger,n,hydros_id,genxhydros,NA,NA,,integer,mm,depth of sensor,waterlevelhydros,,,no,
Depth,depth,site,logger,key,depth,c3log,NA,NA,,number,centimeters,depth of sensor,c3log_waterlevel,,,no,
Depth,depth,site,logger,key,depth,c4log,NA,NA,,number,centimeters,depth of sensor,c4log_waterlevel,,,no,
Depth,depth,site,logger,key,depth,gcrew_met,NA,NA,,number,centimeters,depth of sensor,gcrew_met_gcrewwaterlevel200,,,no,
Depth,depth,site,logger,key,depth,genx,NA,NA,,number,centimeters,depth of sensor,genx_waterlevel200,,,no,
H21_Depth,h21_depth,site,logger,key,depth,genxhydros,NA,NA,,integer,mm,depth of sensor,waterlevelhydros,,,no,
Pressure,pressure,site,logger,key,pressure,c3log,NA,NA,,number,pounds per square inch,water pressure,c3log_waterlevel,,,no,
Pressure,pressure,site,logger,key,pressure,c4log,NA,NA,,number,pounds per square inch,water pressure,c4log_waterlevel,,,no,
Pressure,pressure,site,logger,key,pressure,gcrew_met,NA,NA,,number,pounds per square inch,water pressure,gcrew_met_gcrewwaterlevel200,,,no,
Pressure,pressure,site,logger,key,pressure,genx,NA,NA,,number,pounds per square inch,water pressure,genx_waterlevel200,,,no,
gw_pressure,gw_pressure,site,logger,key,pressure,compass_gcw_w,NA,NA,,numeric,mbar,Vented pressure corrected for barometric pressure,compass_gcw_w,,,no,
Program,program,site,logger,n,program,c3log,NA,NA,,character,NA,program version,c3log_waterlevel,,,no,
Program,program,site,logger,n,program,c4log,NA,NA,,character,NA,program version,c4log_waterlevel,,,no,
Program,program,site,logger,n,program,gcrew_met,NA,NA,,character,NA,program version,gcrew_met_gcrewwaterlevel200,,,no,
Program,program,site,logger,n,program,genx,NA,NA,,character,NA,program version,genx_waterlevel200,,,no,
Program,program,site,logger,n,program,genxhydros,NA,NA,,character,NA,program version,waterlevelhydros,,,no,
RECORD,record,site,logger,n,record,c3log,NA,NA,,number,NA,loggernet record number,c3log_waterlevel,,,no,
RECORD,record,site,logger,n,record,c4log,NA,NA,,number,NA,loggernet record number,c4log_waterlevel,,,no,
RECORD,record,site,logger,n,record,gcrew_met,NA,NA,,number,NA,loggernet record number,gcrew_met_gcrewwaterlevel200,,,no,
RECORD,record,site,logger,n,record,genx,NA,NA,,number,NA,loggernet record number,genx_waterlevel200,,,no,
RECORD,record,site,logger,n,record,compass_gcw_w,NA,NA,,number,NA,loggernet record number,compass_gcw_w,,,no,
RECORD,record,site,logger,n,record,genxhydros,NA,NA,,number,NA,loggernet record number,waterlevelhydros,,,no,
Resistivity,resistivity,site,logger,key,resistivity,c3log,NA,NA,,number,ohms centimeter,water resistivity,c3log_waterlevel,,,no,
Resistivity,resistivity,site,logger,key,resistivity,c4log,NA,NA,,number,ohms centimeter,water resistivity,c4log_waterlevel,,,no,
Resistivity,resistivity,site,logger,key,resistivity,gcrew_met,NA,NA,,number,ohms centimeter,water resistivity,gcrew_met_gcrewwaterlevel200,,,no,
Resistivity,resistivity,site,logger,key,resistivity,genx,NA,NA,,number,ohms centimeter,water resistivity,genx_waterlevel200,,,no,
rowid,rowid,key,logger,n,rowid,c3log,NA,NA,,character,NA,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)",c3log_waterlevel,,,no,
rowid,rowid,key,logger,n,rowid,c4log,NA,NA,,character,NA,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)",c4log_waterlevel,,,no,
rowid,rowid,key,logger,n,rowid,gcrew_met,NA,NA,,character,NA,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)",gcrew_met_gcrewwaterlevel200,,,no,
rowid,rowid,key,logger,n,rowid,genx,NA,NA,,character,NA,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)",genx_waterlevel200,,,no,
rowid,rowid,key,logger,n,rowid,genxhydros,NA,NA,,character,NA,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)",waterlevelhydros,,,no,
STATNAME.1.,logger,key,logger,n,logger,c3log,NA,NA,,character,NA,logger name,c3log_waterlevel,,,no,
STATNAME,logger,key,logger,n,logger,c4log,NA,NA,,character,NA,logger name,c4log_waterlevel,,,no,
Salinity,salinity,site,logger,key,salinity,c3log,NA,NA,,number,practical salinity units,salinity,c3log_waterlevel,,,no,
Salinity,salinity,site,logger,key,salinity,c4log,NA,NA,,number,practical salinity units,salinity,c4log_waterlevel,,,no,
