,1,2,3,4,5,6,7,8,9,10,11,12
A,0.066,0.065,0.061,0.393,0.431,0.415,0.421,0.494,0.473,0.045,0.045,0.046
B,0.143,0.14,0.148,0.43,0.554,0.509,0.067,0.067,0.069,0.044,0.044,0.044
C,0.261,0.255,0.237,0.497,0.476,0.565,0.488,0.511,0.525,0.044,0.044,0.046
D,0.377,0.446,0.478,0.225,0.237,0.234,0.452,0.449,0.408,0.441,0.487,0.476
E,0.804,0.814,0.861,0.511,0.482,0.516,0.262,0.224,0.241,0.482,0.493,0.548
F,1.264,1.222,1.207,0.223,0.242,0.225,0.044,0.044,0.044,0.064,0.062,0.064
G,1.261,1.319,1.343,0.169,0.143,0.14,0.044,0.045,0.044,0.044,0.044,0.044
H,0.171,0.179,0.192,0.247,0.209,0.201,0.045,0.045,0.046,0.764,0.812,0.784
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,,,,,,,,,
B,Std 1,Std 1,Std 1,,,,ChkStd 0,ChkStd 0,ChkStd 0,,,
C,Std 2,Std 2,Std 2,,,,,,,,,
D,Std 3,Std 3,Std 3,,,,ChkStd 3,ChkStd 3,ChkStd 3,,,
E,Std 4,Std 4,Std 4,,,,,,,,,
F,Std 5,Std 5,Std 5,,,,,,,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,P4-20,P4-20,P4-20,,,,,,
H,,,,P8-20,P8-20,P8-20,,,,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,100,100,100,25,25,25,,,
B,1,1,1,100,100,100,1,1,1,,,
C,1,1,1,100,100,100,25,25,25,,,
D,1,1,1,100,100,100,1,1,1,100,100,100
E,1,1,1,100,100,100,25,25,25,25,25,25
F,1,1,1,25,25,25,,,,1,1,1
G,1,1,1,25,25,25,,,,,,
H,100,100,100,25,25,25,,,,1,1,1
