"Year","Chamber","CO2","Nitrogen","Treatment","SCmass_m2","SCdensity_m2","SPmass_m2","SPdensity_m2","DImass_m2","DIdensity_m2","LitterMass_m2"
2005,1,1,1,4,365.8187702,448.1481481,2.866666667,-99,20.98666667,-99,1446.453333
2005,2,0,0,1,412.7172799,457.4074074,51.23333333,-99,0,-99,926.08
2005,3,1,0,3,464.6055289,522.2222222,115.8066667,-99,0,-99,1301.993333
2005,4,0,1,2,495.4292452,575.9259259,36.82,-99,2.566666667,-99,801.0266667
2005,5,1,1,4,577.968138,577.7777778,1.873333333,-99,0,-99,694.1733333
2005,6,0,0,1,510.4604156,538.8888889,0,-99,4.16,-99,777.14
2005,7,0,0,1,349.7422732,438.8888889,8.726666667,-99,15.41333333,-99,869.5466667
2005,8,1,0,3,391.6401101,488.8888889,39.99333333,-99,62.63333333,-99,868.84
2005,9,1,0,3,499.6389261,609.2592593,0,-99,7.546666667,-99,679.38
2005,10,0,1,2,489.4976296,538.8888889,61.56666667,-99,8.346666667,-99,849.1466667
2005,11,0,1,2,437.7967126,581.4814815,39.9,-99,9.3,-99,469.5866667
2005,12,1,1,4,466.3641086,588.8888889,41.68666667,-99,33.09333333,-99,913.9466667
2005,13,1,0,3,316.6101551,464.8148148,406.7733333,-99,20.17333333,-99,1758.673333
2005,14,0,1,2,322.0637264,401.8518519,42.70666667,-99,39.96,-99,827.8666667
2005,15,1,1,4,434.4116771,529.6296296,0,-99,8.286666667,-99,909.42
2005,16,0,0,1,714.2881284,774.0740741,47.71333333,-99,17.02,-99,1215.446667
2005,17,0,0,1,551.8089089,618.5185185,17.3,-99,89.78666667,-99,1111.866667
2005,18,1,1,4,622.5777683,687.037037,0,-99,12.50666667,-99,816.62
2005,19,1,0,3,636.6760194,594.4444444,0,-99,0,-99,981.1266667
2005,20,0,1,2,639.5368954,607.4074074,170.26,-99,0,-99,1300.553333
2006,1,1,1,4,495.1079483,600,50.06666667,-99,0,-99,1083.566667
2006,2,0,0,1,283.0380573,387.037037,43.90666667,-99,0,-99,1068.32
2006,3,1,0,3,367.3326735,496.2962963,70.03333333,-99,0,-99,1146.813333
2006,4,0,1,2,348.9616918,474.0740741,154.1333333,-99,27.38,-99,778.7866667
2006,5,1,1,4,549.3863814,592.5925926,16.45333333,-99,0,-99,1133.38
2006,6,0,0,1,361.6455397,479.6296296,0,-99,0,-99,1077.82
2006,7,0,0,1,233.301207,333.3333333,52.32666667,-99,0,-99,736.34
2006,8,1,0,3,285.2257247,385.1851852,9.293333333,-99,0,-99,548.56
2006,9,1,0,3,342.8326354,494.4444444,0,-99,16.28666667,-99,717.9733333
2006,10,0,1,2,340.8431437,472.2222222,24.5,-99,0,-99,971.8266667
2006,11,0,1,2,402.3850222,505.5555556,56.59333333,-99,0,-99,934.6133333
2006,12,1,1,4,403.2087373,485.1851852,24.96666667,-99,14.54,-99,998.4066667
2006,13,1,0,3,267.9394092,420.3703704,78.76,-99,0,-99,1240.706667
2006,14,0,1,2,356.6844054,503.7037037,16.60666667,-99,18.58666667,-99,708.88
2006,15,1,1,4,370.8612545,524.0740741,18.30666667,-99,7.166666667,-99,712.8666667
2006,16,0,0,1,327.5249566,479.6296296,30.92,-99,0,-99,784.4533333
2006,17,0,0,1,368.4172205,520.3703704,33.84,-99,20.22,-99,1091.926667
2006,18,1,1,4,430.5516734,631.4814815,0,-99,180.0866667,-99,1246.14
2006,19,1,0,3,323.7821782,411.1111111,0,-99,2.72,-99,958.12
2006,20,0,1,2,244.8135436,300,830.0933333,-99,0,-99,1177.173333
2007,1,1,1,4,574.731619,524.0740741,171.3866667,-99,198.8466667,-99,1194
2007,2,0,0,1,347.8918903,392.5925926,37.7,-99,0,-99,743.3333333
2007,3,1,0,3,593.6605716,551.8518519,54.12,-99,0,-99,1164
2007,4,0,1,2,455.9494349,468.5185185,188.94,-99,94.45333333,-99,1166
2007,5,1,1,4,811.8571894,633.3333333,52.13333333,-99,0.84,-99,1286.98
2007,6,0,0,1,617.532415,583.3333333,0,-99,0,-99,476.6666667
2007,7,0,0,1,416.6236341,457.4074074,17.69333333,-99,0,-99,817.3333333
2007,8,1,0,3,442.0042171,470.3703704,0,-99,2.18,-99,802
2007,9,1,0,3,492.9741262,511.1111111,0,-99,0,-99,782
2007,10,0,1,2,561.1061522,511.1111111,191.6733333,-99,86.22,-99,882.44
2007,11,0,1,2,467.7316602,440.7407407,59.38666667,-99,267.6866667,-99,735.58
2007,12,1,1,4,742.1066444,633.3333333,20.28666667,-99,250,-99,1028.786667
