"Year","Chamber","CO2","Nitrogen","Treatment","RootMass_m2","CoarseRootMass_m2","C3RhizMass_m2","C4RhizMass_m2","TotalBelowMass_m2","RootLitterMass_m2"
2006,1,1,1,4,94.81037924,58.7156232,-99,-99,94.81037924,-99
2006,2,0,0,1,58.27350535,61.48980168,-99,-99,58.27350535,-99
2006,3,1,0,3,108.6700944,20.87367333,-99,-99,108.6700944,-99
2006,4,0,1,2,7.563407217,39.72731383,-99,-99,7.563407217,-99
2006,5,1,1,4,49.27318139,66.93042371,-99,-99,49.27318139,-99
2006,6,0,0,1,75.89532976,72.45184696,-99,-99,75.89532976,-99
2006,7,0,0,1,34.69500789,226.3783546,-99,-99,34.69500789,-99
2006,8,1,0,3,22.67715877,60.60098716,-99,-99,22.67715877,-99
2006,9,1,0,3,70.26522871,42.2860222,-99,-99,70.26522871,-99
2006,10,0,1,2,17.9483964,60.46631841,-99,-99,17.9483964,-99
2006,11,0,1,2,50.97135572,92.11350075,-99,-99,50.97135572,-99
2006,12,1,1,4,100.7148008,70.70115175,-99,-99,100.7148008,-99
2006,13,1,0,3,53.55780585,134.5341918,-99,-99,53.55780585,-99
2006,14,0,1,2,44.81873948,50.90482935,-99,-99,44.81873948,-99
2006,15,1,1,4,130.067091,38.9193008,-99,-99,130.067091,-99
2006,16,0,0,1,33.06214796,46.73009465,-99,-99,33.06214796,-99
2006,17,0,0,1,68.76299757,39.05396968,-99,-99,68.76299757,-99
2006,18,1,1,4,66.21573607,25.85642119,-99,-99,66.21573607,-99
2006,19,1,0,3,182.7104952,68.14244352,-99,-99,182.7104952,-99
2006,20,0,1,2,65.78466104,36.49526118,-99,-99,65.78466104,-99
2007,1,1,1,4,72.31610078,-99,0,0.979715961,73.29581674,-99
2007,2,0,0,1,98.61167717,-99,17.46506986,0,116.076747,-99
2007,3,1,0,3,82.97541044,-99,30.63245237,0,113.6078628,-99
2007,4,0,1,2,35.41346626,-99,123.9014118,31.89955168,191.2144298,-99
2007,5,1,1,4,80.72859517,-99,0,0,80.72859517,-99
2007,6,0,0,1,144.8412076,-99,0,0,144.8412076,-99
