Year,Chamber,Total_Height,Green_Height,Width,Flower_Cut
2021,Ref2,59,50,1.8,N
2021,Ref2,85,80,2.4,N
2021,Ref2,72,71,2.3,N
2021,Ref2,95,93,3,N
2021,Ref2,70,70,3.2,N
2021,Ref2,119,116,3.8,N
2021,Ref2,110,95,3.6,Y
2021,Ref2,93,70,3.6,N
2021,Ref2,83,81,2.2,N
2021,Ref2,93,91,2.8,N
2021,Ref2,66,65,2.1,N
2021,Ref2,119,117,4.3,N
2021,Ref2,80,77,3.5,N
2021,Ref2,71,70,2,N
2021,Ref2,77,76,3.6,N
2021,Ref2,86,85,3,N
2021,Ref2,80,78,2.6,N
2021,Ref2,108,106,3.7,N
2021,Ref2,66,66,3.8,N
2021,Ref2,75,68,1.8,N
2021,Ref2,77,66,1.9,N
2021,Ref2,83,82,2.2,N
2021,Ref2,87,55,2.4,Y
2021,Ref2,75,30,2.5,N
2021,Ref2,81,77,2.1,N
2021,Ref3,83,72,3.2,N
2021,Ref3,106,102,3.3,N
2021,Ref3,86,71,2.9,N
2021,Ref3,93,92,4,N
2021,Ref3,78,71,2.2,N
2021,Ref3,69,50,4.4,Y
2021,Ref3,41,40,3.6,Y
2021,Ref3,69,65,2.4,Y
2021,Ref3,30,25,2.5,N
2021,Ref3,69,63,2.8,N
2021,Ref3,75,75,2.7,N
2021,Ref3,66,48,2.2,N
2021,Ref3,68,60,4.2,Y
2021,Ref3,98,97,3.9,N
2021,Ref3,96,95,3.8,N
2021,Ref3,85,76,2.6,N
2021,Ref3,83,82,2.1,N
2021,Ref3,75,74,3.1,N
2021,Ref3,60,60,2.2,Y
2021,Ref3,78,76,2.7,Y
2021,Ref3,97,96,3.4,Y
2021,Ref3,75,74,2.6,N
2021,Ref3,78,74,2.2,N
2021,Ref3,93,91,3.7,N
2021,Ref3,118,108,3.4,N
2021,Ref3,91,90,3.3,N
2021,Ref3,109,106,3.1,N
2021,Ref3,97,92,3.1,N
2021,Ref3,92,88,3.5,N
2021,Ref3,78,72,2.8,N
2021,Ref4,41,41,3,N
2021,Ref4,81,78,2.7,N
2021,Ref4,95,91,4.2,N
2021,Ref4,77,65,2.8,Y
2021,Ref4,109,103,3.5,N
2021,Ref4,82,79,3,N
2021,Ref4,99,96,4.4,N
2021,Ref4,93,90,3.4,N
2021,Ref4,96,77,4.2,Y
2021,Ref4,90,87,3,N
2021,Ref4,107,91,4,N
2021,Ref4,65,42,3.1,Y
2021,Ref4,111,107,3.8,N
2021,Ref4,101,99,3.4,N
2021,Ref4,110,105,4.5,N
2021,Ref4,91,88,3.3,N
2021,Ref4,67,44,2,Y
2021,Ref4,80,62,2.9,Y
2021,Ref4,122,118,3.6,N
2021,Ref4,110,101,4,N
2021,Ref4,117,115,3.7,N
2021,Ref4,66,45,2.3,Y
2021,Ref4,102,100,3.7,N
2021,Ref4,73,58,2.7,N
2021,Ref4,104,99,3.9,N
2021,Ref4,111,98,3.2,N
2021,Ref4,112,110,4.2,N
2021,Ref4,123,115,4.5,N
2021,Ref4,87,75,2.7,N
2021,Ref4,113,107,4.6,N
2021,Ref5,86,72,2.6,N
2021,Ref5,100,85,2.9,N
2021,Ref5,92,90,3.4,N
2021,Ref5,63,62,2.9,N
2021,Ref5,90,71,3.4,N
2021,Ref5,68,27,2.4,N
2021,Ref5,105,101,3.5,N
2021,Ref5,104,100,4.3,N
2021,Ref5,78,66,3.3,Y
2021,Ref5,84,76,2.8,N
2021,Ref5,100,94,3.9,N
2021,Ref5,85,75,3.4,N
2021,Ref5,82,74,2.5,N
2021,Ref5,84,83,3,N
2021,Ref5,81,72,2.2,N
2021,Ref5,84,70,1.8,N
2021,Ref5,111,105,4.3,N
2021,Ref5,74,73,4.2,N
2021,Ref5,38,34,3.4,Y
2021,Ref5,37,35,3,N
2021,Ref5,65,64,2.2,N
2021,Ref5,111,107,3.9,N
2021,Ref5,106,99,4,N
2021,Ref5,96,91,3.6,N
2021,Ref5,92,73,3.8,Y
2021,Ref5,75,61,3,N
2021,Ref5,85,84,3,N
2021,Ref5,88,86,4.4,Y
2021,Ref5,88,86,4.5,N
2021,Ref5,107,105,3.5,N
2021,Ref6,92,90,2.5,N
2021,Ref6,80,60,2.2,N
2021,Ref6,87,85,2.9,N
2021,Ref6,89,70,2.4,N
2021,Ref6,108,103,3,N
2021,Ref6,93,85,2.8,Y
2021,Ref6,101,98,2.9,N
2021,Ref6,110,105,3,N
2021,Ref6,116,110,3.6,N
2021,Ref6,72,71,4.6,N
2021,Ref6,90,65,2.9,N
2021,Ref6,117,115,4.5,Y
2021,Ref6,111,108,3.6,Y
2021,Ref6,89,82,2.1,Y
2021,Ref6,104,102,3.9,Y
2021,Ref6,110,106,3.9,Y
2021,Ref6,95,90,3.5,N
2021,Ref6,108,103,3.2,Y
2021,Ref6,96,93,3.7,N
2021,Ref6,85,81,3.9,N
2021,Ref6,107,80,3,N
2021,Ref6,90,70,2.4,N
2021,Ref6,79,76,2.3,Y
2021,Ref6,115,110,3.7,Y
2021,Ref6,116,111,3.8,N
2021,Ref6,122,110,3.6,N
2021,Ref6,105,100,3,N
2021,Ref6,105,99,2.5,N
2021,Ref6,116,112,3.4,N
2021,Ref6,110,105,3.1,N
2021,Ref7,97,91,4.1,N
2021,Ref7,83,82,3.5,N
2021,Ref7,112,110,3.8,Y
2021,Ref7,80,79,3.4,N
2021,Ref7,97,95,3.5,Y
2021,Ref7,97,82,4.4,Y
2021,Ref7,107,55,2.8,N
2021,Ref7,87,85,3.4,N
2021,Ref7,99,93,3.6,Y
2021,Ref7,110,100,3,N
2021,Ref7,100,97,3.2,N
2021,Ref7,80,78,3,N
2021,Ref7,80,73,2.7,N
2021,Ref7,35,30,3.1,Y
2021,Ref7,100,72,3.5,Y
2021,Ref7,73,71,3.5,N
2021,Ref7,110,106,3.4,N
2021,Ref7,112,106,3.4,N
2021,Ref7,92,80,3.6,N
2021,Ref7,94,92,3.5,N
2021,Ref7,97,94,2.6,N
2021,Ref7,110,96,3.1,Y
2021,Ref7,96,94,3.2,N
2021,Ref7,84,82,3.4,N
2021,Ref7,69,66,3.5,N
2021,Ref7,74,73,3.7,N
2021,Ref7,79,75,2.6,N
2021,Ref7,70,67,3.5,N
2021,Ref7,72,55,3.1,N
2021,Ref7,97,90,3,N
2021,Ref8,70,70,5,N
2021,Ref8,117,115,5.9,N
2021,Ref8,113,110,4.3,Y
2021,Ref8,121,114,3.6,N
2021,Ref8,121,118,4.6,N
2021,Ref8,94,92,3.4,N
2021,Ref8,110,95,3.9,N
2021,Ref8,70,68,2.9,N
2021,Ref8,113,110,3.6,N
2021,Ref8,105,102,3.8,N
2021,Ref8,123,118,3,N
2021,Ref8,88,87,4,N
2021,Ref8,91,86,3.6,Y
2021,Ref8,122,120,3.5,N
2021,Ref8,128,120,3.8,N
2021,Ref8,50,50,3.9,N
2021,Ref8,125,123,4,N
2021,Ref8,94,92,3.2,N
2021,Ref8,120,118,3.4,N
2021,Ref8,78,75,4.3,N
2021,Ref8,100,95,4.3,N
2021,Ref8,73,72,4.3,N
2021,Ref8,77,65,2.6,Y
2021,Ref8,81,75,3.4,N
2021,Ref8,76,60,2.2,N
2021,Ref8,77,69,3.8,N
2021,Ref8,107,103,4.2,N
2021,Ref8,72,69,3.5,N
2021,Ref8,96,94,3.2,N
2021,Ref8,80,70,2.3,N
2021,Ref9,111,105,2.8,N
2021,Ref9,65,55,3.2,Y
2021,Ref9,110,52,3.2,Y
2021,Ref9,45,45,3,N
2021,Ref9,100,98,2.8,N
2021,Ref9,110,100,4.3,N
2021,Ref9,88,60,3.1,N
2021,Ref9,60,58,3.6,N
2021,Ref9,82,70,2,N
2021,Ref9,75,67,2,N
2021,Ref9,102,98,3.8,Y
2021,Ref9,86,50,3.1,N
2021,Ref9,103,96,3.7,N
2021,Ref9,102,96,3.7,N
2021,Ref9,77,72,3,N
2021,Ref9,112,109,3,N
2021,Ref9,71,70,2.4,N
2021,Ref9,69,48,2.2,N
2021,Ref9,100,96,3.6,N
2021,Ref9,81,72,2.5,N
2021,Ref9,102,99,4.1,N
2021,Ref9,78,76,4.6,N
2021,Ref9,103,101,4.1,N
2021,Ref9,104,99,4.6,Y
2021,Ref9,92,90,4.4,N
2021,Ref9,85,83,4,N
2021,Ref9,104,97,3.5,N
2021,Ref9,63,51,3.6,N
2021,Ref9,74,70,2,N
2021,Ref9,107,104,3.4,N
2021,Ref10,168,59,3.4,Y
2021,Ref10,65,64,4.1,Y
2021,Ref10,69,68,3.4,Y
2021,Ref10,71,34,3.3,N
2021,Ref10,71,69,2.3,Y
2021,Ref10,99,85,4.1,Y
2021,Ref10,111,105,3.6,N
2021,Ref10,100,85,4.1,N
2021,Ref10,101,38,3.2,Y
2021,Ref10,64,62,3.8,Y
2021,Ref10,99,90,2.6,Y
2021,Ref10,91,60,2.5,Y
2021,Ref10,72,55,3.9,Y
2021,Ref10,98,91,4.4,N
2021,Ref10,97,69,2.9,N
2021,Ref10,97,92,2.9,N
2021,Ref10,94,63,3.6,N
2021,Ref10,78,77,2.6,N
2021,Ref10,100,63,3.2,N
2021,Ref10,86,73,3,Y
2021,Ref10,47,43,3.4,Y
2021,Ref10,47,46,4.2,Y
2021,Ref10,66,64,4.3,N
2021,Ref10,118,110,3.8,N
2021,Ref10,76,75,4.1,N
2021,Ref10,88,85,5.4,N
2021,Ref10,77,75,4,N
2021,Ref10,102,100,4.2,N
2021,Ref10,97,90,4.7,N
2021,Ref10,91,69,3.5,Y
2021,Ref11,97,53,3.8,N
2021,Ref11,88,85,3.4,N
2021,Ref11,98,89,4.8,N
2021,Ref11,104,80,3.4,N
2021,Ref11,94,85,4.7,N
2021,Ref11,109,93,3.8,N
2021,Ref11,94,72,2.7,N
2021,Ref11,78,46,2.5,N
2021,Ref11,101,87,4.7,N
2021,Ref11,49,49,3.6,N
2021,Ref11,41,40,1.9,Y
2021,Ref11,108,93,4.1,N
2021,Ref11,69,69,4.8,Y
2021,Ref11,125,107,3.7,N
2021,Ref11,87,62,3.2,N
2021,Ref11,75,73,4.4,N
2021,Ref11,106,99,3.8,N
2021,Ref11,75,69,3.3,Y
2021,Ref11,113,108,4.2,N
2021,Ref11,62,62,3.6,Y
2021,Ref11,98,88,2.8,N
2021,Ref11,111,94,3.9,N
2021,Ref11,115,112,4.3,N
2021,Ref11,107,105,4.4,N
2021,Ref11,106,93,4.1,N
2021,Ref11,107,70,3.9,N
2021,Ref11,92,66,3.3,N
2021,Ref11,78,77,3.7,N
2021,Ref11,102,88,3.7,Y
2021,Ref11,98,66,4.5,N
2021,Ref12,90,89,3.8,N
2021,Ref12,82,79,2.4,N
2021,Ref12,102,95,3,N
2021,Ref12,85,83,3.2,N
2021,Ref12,61,59,4.4,N
2021,Ref12,97,91,3.7,N
2021,Ref12,97,87,3.8,N
2021,Ref12,94,90,3.8,N
2021,Ref12,55,54,3.5,N
2021,Ref12,61,60,3.7,N
2021,Ref12,73,69,4.2,N
2021,Ref12,87,80,3.5,N
2021,Ref12,92,72,3.5,N
2021,Ref12,104,98,3.3,N
2021,Ref12,84,66,4.1,N
2021,Ref12,98,92,2.9,N
2021,Ref12,101,99,4.9,N
2021,Ref12,88,81,4.1,N
2021,Ref12,94,75,3.1,N
2021,Ref12,79,77,5.1,N
2021,Ref12,85,84,5,N
2021,Ref12,69,55,2.9,N
2021,Ref12,93,83,3.2,N
2021,Ref12,124,118,3.5,N
2021,Ref12,75,53,3.6,Y
2021,Ref12,77,70,3.1,Y
2021,Ref12,72,66,1.9,N
2021,Ref12,95,92,4.9,N
2021,Ref12,104,101,4.3,N
2021,Ref12,110,108,5.1,N
2022,1,126,115,3.9,N
2022,1,75,71,2,N
2022,1,121,119,3.9,N
2022,1,131,128,3.9,N
2022,1,125,119,3.6,N
2022,1,154,111,3.6,N
2022,1,93,90,3.1,N
2022,1,128,124,3.7,N
2022,1,131,122,4.4,N
2022,1,94,85,2.7,N
2022,1,118,114,4.3,N
2022,1,131,124,4.3,N
2022,1,99,85,3.2,N
2022,1,121,118,3.4,N
2022,1,119,109,3.1,N
2022,1,111,101,3.7,N
2022,1,97,85,3.1,N
2022,1,138,130,4.3,N
2022,1,142,136,5.1,N
2022,1,65,61,3.4,N
2022,1,83,67,2.6,N
2022,1,74,63,2.5,N
2022,1,87,73,2.6,Y
2022,1,130,122,3.9,N
2022,1,107,105,3.3,N
2022,1,108,105,4,N
2022,1,120,110,4,N
2022,1,130,122,3.9,N
2022,1,113,108,3.6,N
2022,1,89,88,3.4,N
2022,2,87,83,2.2,N
2022,2,107,104,2.6,N
2022,2,79,78,4,N
2022,2,89,85,3,N
2022,2,92,91,4.8,N
2022,2,135,132,3.3,N
2022,2,73,71,2.3,N
2022,2,118,116,3.6,N
2022,2,93,85,3.1,N
2022,2,105,100,2.9,N
2022,2,100,98,3.6,N
2022,2,113,104,3.2,N
2022,2,96,82,2.1,N
2022,2,70,70,3.1,N
2022,2,90,80,2.5,N
2022,2,82,62,2.4,N
2022,2,103,87,3,N
2022,2,99,97,1.9,N
2022,2,118,112,3,N
2022,2,129,125,3.4,N
2022,2,96,81,2,N
2022,2,104,90,2.7,N
2022,2,115,113,2.3,N
2022,2,114,112,3.5,N
2022,2,89,75,2,Y
2022,2,100,98,2.3,N
2022,2,102,95,2.5,N
2022,2,93,73,2.6,N
2022,2,85,83,3.4,N
2022,2,94,93,2,N
2022,3,122,119,3.4,N
2022,3,100,92,1.9,N
2022,3,97,92,3.4,N
2022,3,124,112,3.5,N
2022,3,89,86,2.1,N
2022,3,125,123,3.9,N
2022,3,72,69,1.3,N
2022,3,82,75,1.8,N
2022,3,84,83,3.2,N
2022,3,127,125,3.2,N
2022,3,144,140,3.6,N
2022,3,101,94,2.5,N
2022,3,91,77,1.7,N
2022,3,101,87,2.5,N
2022,3,106,101,2.8,N
2022,3,115,108,3.9,N
2022,3,121,114,3,N
2022,3,104,101,3,N
2022,3,124,120,3.3,N
2022,3,135,130,4.4,N
2022,3,111,109,2.8,N
2022,3,96,95,2.4,N
2022,3,110,107,3,N
2022,3,114,112,3.2,N
2022,3,81,80,3.4,N
2022,3,118,117,2.5,N
2022,3,80,78,1.7,N
2022,3,118,112,3.6,N
2022,3,128,126,3.3,N
2022,3,116,113,3.6,N
2022,4,115,107,3.3,N
2022,4,106,100,3.7,N
2022,4,111,108,3.8,N
2022,4,112,110,3.2,N
2022,4,96,90,2.7,N
2022,4,66,59,2.3,N
2022,4,124,121,3.8,N
2022,4,136,131,3.5,N
2022,4,122,119,3.5,N
2022,4,124,119,3.6,N
2022,4,73,71,3.6,N
2022,4,80,75,2.2,N
2022,4,84,80,3.7,N
2022,4,125,120,3.8,N
2022,4,124,121,3.3,N
2022,4,138,130,3.7,N
2022,4,114,100,3.5,Y
2022,4,122,111,3.9,N
2022,4,117,114,3.4,N
2022,4,88,85,4.1,N
2022,4,94,80,3.6,N
2022,4,133,119,4.1,N
2022,4,89,71,2.6,N
2022,4,80,79,4,N
2022,4,131,126,3.9,N
2022,4,120,112,4.5,N
2022,4,122,114,4,N
2022,4,118,104,3,N
2022,4,116,105,2.8,N
2022,4,143,132,3.9,Y
2022,5,89,89,3.7,N
2022,5,109,105,3.7,N
2022,5,96,86,2.9,N
2022,5,117,115,3,N
2022,5,93,76,3.5,N
2022,5,82,81,4.1,N
2022,5,94,93,3.6,N
2022,5,86,84,2.4,N
2022,5,73,71,1.7,N
2022,5,112,95,4.1,N
2022,5,114,108,3.2,N
2022,5,82,70,2.8,N
2022,5,88,87,3.5,N
2022,5,128,117,3.8,N
2022,5,85,79,3.7,N
2022,5,126,118,3.7,N
2022,5,94,87,3.2,N
2022,5,81,75,2.3,N
2022,5,102,94,3.1,N
2022,5,104,103,2.8,N
2022,5,91,88,2.4,N
2022,5,73,71,3.6,N
2022,5,115,112,3.3,N
2022,5,98,91,3.9,N
2022,5,111,109,3.4,N
2022,5,108,104,3.2,N
