Year,Chamber,Total_Height,Green_Height,Width,Flower_Cut
2021,1,95,94,3.3,N
2021,1,122,119,4,N
2021,1,85,81,2,N
2021,1,111,108,4.3,N
2021,1,82,80,2.7,N
2021,1,116,113,4.2,N
2021,1,115,112,4.5,N
2021,1,110,108,4.5,N
2021,1,115,113,3.2,N
2021,1,83,80,2.8,N
2021,1,90,80,2.4,N
2021,1,115,113,3.8,N
2021,1,120,118,3.8,N
2021,1,88,87,3.4,N
2021,1,83,81,2.4,N
2021,1,101,100,3.9,N
2021,1,112,109,4,N
2021,1,118,115,4.8,N
2021,1,88,83,3,N
2021,1,110,105,3.2,N
2021,1,87,85,2.8,N
2021,1,109,106,4.5,N
2021,1,89,87,3.9,N
2021,1,117,115,4.4,N
2021,1,95,86,2.9,N
2021,1,115,110,3.4,N
2021,1,100,97,3.7,N
2021,1,90,86,3.4,N
2021,1,97,95,2.9,N
2021,1,109,106,4.1,N
2021,2,73,72,3.4,N
2021,2,83,80,2.1,N
2021,2,100,97,2.6,N
2021,2,110,108,3.3,N
2021,2,96,94,2.7,N
2021,2,88,86,3.4,N
2021,2,100,98,3,N
2021,2,74,73,2,N
2021,2,91,88,2,N
2021,2,81,80,2.4,N
2021,2,81,70,2.3,N
2021,2,104,102,3.2,N
2021,2,85,80,3.1,N
2021,2,66,63,2.5,N
2021,2,73,60,3,N
2021,2,87,86,3,N
2021,2,82,80,2.6,N
2021,2,106,103,3.5,N
2021,2,95,94,3.6,N
2021,2,106,104,3.7,N
2021,2,99,97,2.7,N
2021,2,95,93,3.2,Y
2021,2,99,97,3.3,N
2021,2,86,84,2.4,N
2021,2,85,83,2.9,N
2021,2,80,78,2.6,N
2021,2,66,60,3,Y
2021,2,58,58,2.3,N
2021,2,63,58,2.8,N
2021,2,102,100,2.5,N
2021,3,112,109,4,N
2021,3,45,45,2.3,N
2021,3,69,66,2.4,N
2021,3,65,64,3.6,N
2021,3,107,103,3.7,N
2021,3,119,115,4.5,N
2021,3,80,79,1.8,N
2021,3,95,93,2.9,N
2021,3,96,93,2.7,N
2021,3,86,84,3.5,N
2021,3,87,64,2.4,N
2021,3,107,104,3.8,N
2021,3,85,84,3.6,N
2021,3,107,105,3.8,N
2021,3,67,63,2.5,N
2021,3,49,49,1.8,N
2021,3,89,87,3,N
2021,3,78,75,2,N
2021,3,93,91,3.7,N
2021,3,80,76,2.5,N
2021,3,93,91,2.5,N
2021,3,97,91,4.3,N
2021,3,104,103,2.6,N
2021,3,89,88,2.2,N
2021,3,90,88,3.8,N
2021,3,70,69,2.9,N
2021,3,78,73,2.5,N
2021,3,91,89,2.6,N
2021,3,114,110,4.2,N
2021,3,85,81,2.1,N
2021,4,47,45,1.2,N
2021,4,94,91,2.9,N
2021,4,105,101,4.7,N
2021,4,100,98,3.7,N
2021,4,112,109,5.6,N
2021,4,90,88,3.7,N
2021,4,104,100,4.4,N
2021,4,85,82,3.1,N
2021,4,103,100,3.1,N
2021,4,89,82,3.2,N
2021,4,74,69,2.5,N
2021,4,95,92,3.4,N
2021,4,91,89,5.5,N
2021,4,70,65,2.2,N
2021,4,75,73,2.6,N
2021,4,95,90,2.8,N
2021,4,92,89,2.6,N
2021,4,111,106,5.1,N
2021,4,87,80,3,N
2021,4,116,114,5,N
2021,4,85,79,2.6,N
2021,4,85,76,3.3,N
2021,4,114,111,5.2,N
2021,4,65,48,2.6,N
2021,4,85,77,3.3,N
2021,4,97,91,4,N
2021,4,62,60,3,N
2021,4,105,102,3.7,N
2021,4,69,68,4.4,N
2021,4,77,72,2,N
2021,5,103,100,4.1,N
2021,5,82,80,3.4,N
2021,5,95,67,5,N
2021,5,96,95,3.8,N
2021,5,110,106,5,N
2021,5,103,100,3.2,N
2021,5,109,105,4.4,N
2021,5,76,74,2,N
2021,5,97,94,2.9,N
2021,5,84,82,3.2,N
2021,5,65,65,2.4,N
2021,5,110,107,4.3,N
2021,5,111,108,4.9,N
2021,5,102,99,3.8,N
2021,5,60,58,3.9,N
2021,5,94,84,3.7,N
2021,5,84,79,2.2,N
2021,5,61,57,2.1,N
2021,5,83,70,3,N
2021,5,79,74,4.1,N
2021,5,104,100,4.8,N
2021,5,64,63,1.7,N
2021,5,78,71,1.8,N
2021,5,94,93,2.6,N
2021,5,80,75,2,N
2021,5,77,74,4.6,N
2021,5,95,92,4.1,N
2021,5,118,115,3.5,N
2021,5,100,94,3.6,N
2021,5,124,121,4.2,N
2021,6,115,112,4,N
2021,6,88,83,3.3,N
2021,6,106,103,3.4,N
2021,6,81,79,3.7,N
2021,6,88,84,3,N
2021,6,106,103,4,N
2021,6,41,40,4,N
2021,6,69,66,3.3,N
2021,6,91,82,3.8,N
2021,6,107,105,3.1,N
2021,6,77,72,2.6,N
2021,6,107,105,3.5,N
2021,6,115,112,4,N
2021,6,95,93,2.2,N
2021,6,98,95,3.5,N
2021,6,78,70,3,N
2021,6,90,87,3.5,N
2021,6,78,77,3.3,N
2021,6,86,78,3,N
2021,6,102,99,3.5,N
2021,6,112,110,3.6,N
2021,6,115,113,3.6,N
2021,6,93,90,4.1,N
2021,6,102,98,3,N
2021,6,97,86,3.1,N
2021,6,107,100,3.4,Y
2021,6,117,113,4.2,Y
2021,6,116,114,3.2,N
2021,6,69,68,3.4,N
2021,6,102,98,3.5,N
2021,7,42,42,3.6,N
2021,7,107,107,4.9,N
2021,7,79,64,4.9,N
2021,7,82,80,4.2,N
2021,7,84,81,4.1,N
2021,7,82,80,4,N
2021,7,51,49,4,N
2021,7,54,54,4.2,N
2021,7,115,113,3.7,N
2021,7,84,79,3.5,N
2021,7,110,108,4.8,N
2021,7,99,98,2.8,N
2021,7,100,93,3.6,N
2021,7,66,65,3.7,N
2021,7,58,58,3.7,N
2021,7,82,80,3.4,N
2021,7,89,84,4.8,N
2021,7,89,85,5.2,N
2021,7,95,92,2.9,N
2021,7,98,97,2.9,N
2021,7,104,103,2.6,N
2021,7,97,94,2.6,N
2021,7,102,100,2.9,N
2021,7,87,85,3,N
2021,7,108,105,4,N
2021,7,83,78,2.9,N
2021,7,108,105,3.6,N
2021,7,75,71,2.4,N
2021,7,94,92,3.4,N
2021,7,96,92,3.9,N
2021,8,116,112,4,N
2021,8,84,81,2.2,N
2021,8,121,119,3.4,N
2021,8,105,103,3,N
2021,8,120,117,3.5,N
2021,8,107,105,3,N
2021,8,95,93,3.5,N
2021,8,114,112,3.3,N
2021,8,127,125,3.7,N
2021,8,112,109,3.8,N
2021,8,92,85,3.4,N
2021,8,117,113,3.4,N
2021,8,108,101,3.4,N
2021,8,85,82,3.1,N
2021,8,79,78,3.4,N
2021,8,125,123,3.2,N
2021,8,97,93,2.4,N
2021,8,97,95,4.6,N
2021,8,89,83,3.1,N
2021,8,112,110,3.8,N
2021,8,126,125,3.8,N
2021,8,79,73,2.9,N
2021,8,81,80,4,N
2021,8,104,100,3.2,N
2021,8,120,117,3.8,N
2021,8,107,104,3,N
2021,8,111,109,4.3,N
2021,8,122,118,4.1,N
2021,8,75,74,5.6,N
2021,8,96,92,2.7,N
2021,9,104,102,3.4,N
2021,9,84,81,2.8,N
2021,9,85,82,3.2,N
2021,9,100,97,3.7,N
2021,9,87,80,3,N
2021,9,95,93,3.6,N
2021,9,89,86,3.4,N
2021,9,102,99,2,N
2021,9,105,103,4.4,N
2021,9,75,73,3,N
2021,9,81,79,3.2,N
2021,9,84,78,3,N
2021,9,86,84,2.9,N
2021,9,109,100,3.5,N
2021,9,107,105,3.6,Y
2021,9,116,113,3.7,N
2021,9,120,115,5.3,N
2021,9,126,122,4.2,N
2021,9,78,77,3.7,N
2021,9,67,65,3.1,N
2021,9,116,112,4,N
2021,9,106,102,4.3,N
2021,9,92,87,2.5,N
2021,9,91,86,3.3,N
2021,9,88,86,2.3,N
2021,9,100,97,3.2,Y
2021,9,105,104,3.9,Y
2021,9,81,72,3.7,N
2021,9,73,72,2.2,N
2021,9,102,100,3.7,N
2021,10,79,78,4.3,N
2021,10,98,95,4.2,N
2021,10,95,93,4.2,N
2021,10,75,72,2.3,N
2021,10,71,70,4.2,N
2021,10,75,73,3.5,N
2021,10,81,79,3.2,N
2021,10,79,76,3.4,N
2021,10,109,101,4.6,N
2021,10,112,109,3.7,N
2021,10,101,95,4,N
2021,10,95,90,3.7,N
2021,10,110,108,4.1,N
2021,10,117,111,4.5,N
2021,10,90,81,3.2,N
2021,10,83,75,3,N
2021,10,101,99,4.4,N
2021,10,81,76,3.8,N
2021,10,102,100,4.6,N
2021,10,96,91,2.3,N
2021,10,88,81,2.9,N
2021,10,115,113,4.1,N
2021,10,107,104,4.7,N
2021,10,132,128,4.9,N
2021,10,105,103,4.1,N
2021,10,87,83,2.9,N
2021,10,106,105,4.6,N
2021,10,113,108,4.4,N
2021,10,104,101,4.3,N
2021,10,103,95,5,N
2021,11,35,35,2.8,N
2021,11,78,76,5.1,N
2021,11,34,34,3.2,N
2021,11,94,85,4.5,N
2021,11,92,78,4.5,N
2021,11,105,101,3.9,N
2021,11,95,64,5.4,N
2021,11,133,131,5,N
2021,11,109,107,4.4,N
2021,11,115,113,4.3,N
2021,11,90,89,4.9,N
2021,11,111,109,4.9,N
2021,11,127,124,5.3,N
2021,11,85,71,3.6,N
2021,11,105,102,5,N
2021,11,99,96,4.9,N
2021,11,104,95,4.4,N
2021,11,94,92,4.1,N
2021,11,93,85,4.5,N
2021,11,89,73,4.2,N
2021,11,108,105,4.3,N
2021,11,90,88,4.6,N
2021,11,100,97,4.2,N
2021,11,106,104,4.1,N
2021,11,99,96,3.9,N
2021,11,98,91,3.6,N
2021,11,119,111,5.3,N
2021,11,90,88,4,N
2021,11,97,90,5,N
2021,11,94,88,5.1,N
2021,12,84,79,4.1,N
2021,12,90,87,3.6,N
2021,12,72,71,3.5,N
2021,12,57,57,3.2,N
2021,12,108,106,4.2,N
2021,12,75,71,3.1,N
2021,12,107,105,4.2,N
2021,12,95,89,4.4,N
2021,12,91,88,5.1,N
2021,12,85,73,3.1,N
2021,12,101,99,5.4,N
2021,12,92,89,4.9,N
2021,12,79,62,3.1,N
2021,12,100,97,3.2,N
2021,12,92,88,3.9,N
2021,12,85,82,2.8,N
2021,12,94,90,4.6,N
2021,12,83,81,3.3,N
2021,12,93,91,4.1,N
2021,12,74,73,2.5,N
2021,12,67,60,1.4,N
2021,12,88,85,4.1,N
2021,12,71,68,2.6,N
2021,12,91,89,3.2,N
2021,12,77,67,1.6,N
2021,12,87,79,2.6,N
2021,12,83,80,3.3,N
2021,12,81,70,1.9,N
2021,12,90,86,3,N
2021,12,97,92,4.3,N
2021,Ref1,102,97,3.6,N
2021,Ref1,129,120,3.8,N
2021,Ref1,94,89,2.7,Y
2021,Ref1,106,102,3.4,N
2021,Ref1,111,102,4,Y
2021,Ref1,98,91,4.9,N
2021,Ref1,86,81,3.8,N
2021,Ref1,87,85,4.3,N
2021,Ref1,72,58,2.2,Y
2021,Ref1,101,98,3,N
2021,Ref1,82,75,2.8,N
2021,Ref1,87,83,5.2,N
2021,Ref1,104,75,3.1,Y
2021,Ref1,86,73,2.1,N
2021,Ref1,126,110,3.9,N
2021,Ref1,90,82,2.2,Y
2021,Ref1,93,85,2.5,Y
2021,Ref1,107,96,2.9,N
2021,Ref1,107,103,2.6,N
2021,Ref1,91,80,3.2,N
2021,Ref1,94,92,4.3,N
2021,Ref1,112,105,3.6,Y
2021,Ref1,73,71,3.1,N
2021,Ref1,97,90,2.8,N
2021,Ref1,104,96,3.4,Y
2021,Ref1,95,93,4,N
2021,Ref1,98,90,3.5,N
2021,Ref1,77,65,2.3,N
2021,Ref1,103,100,3.8,N
2021,Ref1,106,96,3.6,N
2021,Ref2,77,75,3,N
2021,Ref2,73,70,2,N
2021,Ref2,84,80,1.8,N
2021,Ref2,66,60,2,N
2021,Ref2,120,117,4,N
