Year,Chamber,CO2,Nitrogen,Treatment,Core,Category,RootMass,C3RhizMass,C4RhizMass,PhragRhizMass,OtherMass
2011,1,0,0,1,A,1,0.252,0,0.469,0,-99
2011,1,0,0,1,B,1,0.218,0,0.11,0,-99
2011,1,0,0,1,C,1,0.455,0,0.918,0,-99
2011,1,0,0,1,D,0,0.134,0,0.681,0,-99
2011,1,0,0,1,E,0,0.127,0,0.195,0,-99
2011,1,0,0,1,F,0,0.225,0,1.175,0,-99
2011,2,1,0,3,A,1,0.452,0,0.423,1.913,-99
2011,2,1,0,3,B,1,0.215,0,0.229,2.376,-99
2011,2,1,0,3,C,1,0.169,0,0.126,0.79,-99
2011,2,1,0,3,D,0,0.202,0,0.25,0,-99
2011,2,1,0,3,E,0,0.167,0,0.732,0,-99
2011,2,1,0,3,F,0,0.134,0,0.194,0,-99
2011,3,0,1,2,A,1,0.636,0,0,0,-99
2011,3,0,1,2,B,1,0.119,0,0.422,0.965,-99
2011,3,0,1,2,C,1,0.035,0,0.014,0.646,-99
2011,3,0,1,2,D,0,0.08,0,0.094,0,-99
2011,3,0,1,2,E,0,0.035,0,0.386,0,-99
2011,3,0,1,2,F,0,0.79,0,0.571,0,-99
2011,4,1,1,4,A,1,0.246,0,0.173,0,-99
2011,4,1,1,4,B,1,0.535,0,0.112,0,-99
2011,4,1,1,4,C,1,0.352,0,0.265,0,-99
2011,4,1,1,4,D,0,0.227,0,0.204,0,-99
2011,4,1,1,4,E,0,0.047,0,0.068,0,-99
2011,4,1,1,4,F,0,0.253,0,0.369,0.687,-99
2011,5,1,0,3,A,1,0.063,0.77,0.023,0.626,-99
2011,5,1,0,3,B,1,0.359,0.417,0,0.532,-99
2011,5,1,0,3,C,1,0.313,0,0.168,0,-99
2011,5,1,0,3,D,0,0.219,0.573,0,0.842,-99
2011,5,1,0,3,E,0,0.305,0.51,0.253,0,-99
2011,5,1,0,3,F,0,0.293,0.294,0.293,0,-99
2011,6,0,1,2,A,1,0.442,0,0.107,0.457,-99
