,1,2,3,4,5,6,7,8,9,10,11,12
A,0.062,0.068,0.06,0.769,0.762,0.83,0.631,0.665,0.632,0.546,0.546,0.6
B,0.124,0.13,0.117,0.575,0.569,0.555,0.063,0.066,0.058,0.384,0.512,0.509
C,0.18,0.252,0.223,0.389,0.36,0.366,0.729,0.712,0.726,0.312,0.351,0.341
D,0.355,0.464,0.347,0.581,0.587,0.686,0.405,0.377,0.379,0.809,0.855,0.755
E,0.617,0.689,0.669,0.493,0.566,0.471,0.585,0.748,0.748,0.763,0.842,0.654
F,1.27,1.226,1.265,0.645,0.607,0.609,0.746,0.724,0.668,0.061,0.061,0.058
G,1.228,1.132,1.093,0.695,0.627,0.581,0.618,0.629,0.647,0.31,0.335,0.344
H,0.728,0.69,0.718,0.568,0.666,0.718,0.459,0.42,0.452,0.638,0.732,0.657
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,312-80,312-80,312-80,613-20,613-20,613-20,620-20,620-20,620-20
B,Std 1,Std 1,Std 1,312-120,312-120,312-120,ChkStd 0,ChkStd 0,ChkStd 0,620-40,620-40,620-40
C,Std 2,Std 2,Std 2,313-10,313-10,313-10,613-20 Dup,613-20 Dup,613-20 Dup,620-80,620-80,620-80
D,Std 3,Std 3,Std 3,313-20,313-20,313-20,ChkStd 3,ChkStd 3,ChkStd 3,312-40 Spike,312-40 Spike,312-40 Spike
E,Std 4,Std 4,Std 4,313-40,313-40,313-40,613-40,613-40,613-40,613-40 Spike,613-40 Spike,613-40 Spike
F,Std 5,Std 5,Std 5,313-80,313-80,313-80,613-80,613-80,613-80,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,313-120,313-120,313-120,613-120,613-120,613-120,620-80 Dup,620-80 Dup,620-80 Dup
H,312-40,312-40,312-40,613-10,613-10,613-10,620-10,620-10,620-10,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,100,100,100,100,100,100,100,100,100
B,1,1,1,100,100,100,1,1,1,100,100,100
C,1,1,1,100,100,100,100,100,100,100,100,100
D,1,1,1,100,100,100,1,1,1,100,100,100
E,1,1,1,100,100,100,100,100,100,100,100,100
F,1,1,1,100,100,100,100,100,100,1,1,1
G,1,1,1,100,100,100,100,100,100,100,100,100
H,100,100,100,100,100,100,100,100,100,1,1,1
