,1,2,3,4,5,6,7,8,9,10,11,12
A,0.063,0.064,0.068,0.165,0.201,0.187,0.992,0.947,0.805,0.804,0.873,0.937
B,0.148,0.141,0.132,0.36,0.411,0.443,0.06,0.063,0.062,0.853,1.073,1.156
C,0.242,0.275,0.247,0.459,0.565,0.525,0.985,0.893,0.707,0.918,1.09,1.103
D,0.438,0.464,0.436,0.507,0.522,0.56,0.483,0.493,0.48,0.251,0.268,0.268
E,0.878,0.853,0.765,0.29,0.337,0.317,0.57,0.606,0.64,0.627,0.702,0.674
F,1.339,1.226,1.409,0.47,0.524,0.491,1.107,1.093,1.115,0.998,0.981,1.203
G,1.446,1.417,1.4,0.532,0.472,0.494,0.374,0.384,0.348,0.065,0.065,0.064
H,0.276,0.278,0.285,0.625,0.602,0.626,1.023,0.771,0.804,0.795,0.875,0.685
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,,,,310-40,310-40,310-40,311-40,311-40,311-40
B,Std 1,Std 1,Std 1,610-10,610-10,610-10,ChkStd 0,ChkStd 0,ChkStd 0,311-80,311-80,311-80
C,Std 2,Std 2,Std 2,610-20,610-20,610-20,310-40 Dup,310-40 Dup,310-40 Dup,311-120,311-120,311-120
D,Std 3,Std 3,Std 3,610-40,610-40,610-40,ChkStd 3,ChkStd 3,ChkStd 3,,,
E,Std 4,Std 4,Std 4,610-80,610-80,610-80,310-80,310-80,310-80,310-80 Spike,310-80 Spike,310-80 Spike
F,Std 5,Std 5,Std 5,610-120,610-120,610-120,310-120,310-120,310-120,311-120 Dup,311-120 Dup,311-120 Dup
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,310-10,310-10,310-10,311-10,311-10,311-10,ChkStd 0,ChkStd 0,ChkStd 0
H,,,,310-20,310-20,310-20,311-20,311-20,311-20,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,,,,50,50,50,50,50,50
B,1,1,1,50,50,50,1,1,1,50,50,50
C,1,1,1,50,50,50,50,50,50,50,50,50
D,1,1,1,50,50,50,1,1,1,,,
E,1,1,1,50,50,50,50,50,50,50,50,50
F,1,1,1,50,50,50,50,50,50,50,50,50
G,1,1,1,50,50,50,50,50,50,1,1,1
H,,,,50,50,50,50,50,50,1,1,1
