,1,2,3,4,5,6,7,8,9,10,11,12
A,0.063,0.063,0.062,0.044,0.045,0.046,0.046,0.046,0.045,0.044,0.044,0.044
B,0.115,0.118,0.111,0.045,0.044,0.045,0.046,0.045,0.045,0.045,0.045,0.044
C,0.204,0.21,0.269,0.045,0.044,0.044,0.044,0.044,0.044,0.044,0.045,0.047
D,0.338,0.413,0.402,0.045,0.045,0.045,0.044,0.045,0.046,0.045,0.045,0.044
E,0.666,0.556,0.619,0.044,0.044,0.044,0.044,0.044,0.044,0.045,0.044,0.045
F,1.19,1.229,1.093,0.044,0.044,0.044,0.045,0.044,0.044,0.045,0.045,0.045
G,1.15,1.227,1.282,0.045,0.044,0.044,0.044,0.045,0.044,0.044,0.045,0.044
H,0.046,0.044,0.045,0.045,0.048,0.044,0.044,0.045,0.047,0.044,0.045,0.045
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,,,,,,,,,
B,Std 1,Std 1,Std 1,,,,,,,,,
C,Std 2,Std 2,Std 2,,,,,,,,,
D,Std 3,Std 3,Std 3,,,,,,,,,
E,Std 4,Std 4,Std 4,,,,,,,,,
F,Std 5,Std 5,Std 5,,,,,,,,,
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,,,,,,,,,
B,1,1,1,,,,,,,,,
C,1,1,1,,,,,,,,,
D,1,1,1,,,,,,,,,
E,1,1,1,,,,,,,,,
F,1,1,1,,,,,,,,,
G,1,1,1,,,,,,,,,
H,,,,,,,,,,,,
