,1,2,3,4,5,6,7,8,9,10,11,12
A,0.062,0.066,0.066,0.52,0.562,0.519,0.5,0.469,0.451,0.537,0.608,0.599
B,0.175,0.128,0.143,0.586,0.451,0.513,0.068,0.06,0.064,0.662,0.619,0.593
C,0.288,0.306,0.27,0.659,0.555,0.594,0.44,0.424,0.423,0.044,0.046,0.046
D,0.458,0.456,0.448,0.545,0.574,0.592,0.526,0.488,0.5,0.51,0.538,0.579
E,0.774,0.855,0.693,0.104,0.112,0.105,0.21,0.222,0.228,0.5,0.552,0.489
F,1.366,1.191,1.078,0.314,0.294,0.297,0.289,0.254,0.265,0.064,0.062,0.061
G,1.493,1.372,1.433,0.429,0.508,0.475,0.499,0.486,0.436,0.625,0.54,0.598
H,0.218,0.242,0.191,0.333,0.3,0.313,0.436,0.433,0.483,0.926,0.802,0.839
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,633-20,633-20,633-20,440-120,440-120,440-120,441-120,441-120,441-120
B,Std 1,Std 1,Std 1,633-40,633-40,633-40,ChkStd 0,ChkStd 0,ChkStd 0,,,
C,Std 2,Std 2,Std 2,633-80,633-80,633-80,440-120 Dup,440-120 Dup,440-120 Dup,,,
D,Std 3,Std 3,Std 3,633-120,633-120,633-120,ChkStd 3,ChkStd 3,ChkStd 3,633-10 Spike,633-10 Spike,633-10 Spike
E,Std 4,Std 4,Std 4,440-10,440-10,440-10,441-10,441-10,441-10,441-10 Spike,441-10 Spike,441-10 Spike
F,Std 5,Std 5,Std 5,440-20,440-20,440-20,441-20,441-20,441-20,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,440-40,440-40,440-40,441-40,441-40,441-40,441-120 Dup,441-120 Dup,441-120 Dup
H,633-10,633-10,633-10,440-80,440-80,440-80,441-80,441-80,441-80,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,100,100,100,100,100,100,100,100,100
B,1,1,1,100,100,100,1,1,1,1,1,1
C,1,1,1,100,100,100,100,100,100,,,
D,1,1,1,100,100,100,1,1,1,100,100,100
E,1,1,1,100,100,100,100,100,100,100,100,100
F,1,1,1,100,100,100,100,100,100,1,1,1
G,1,1,1,100,100,100,100,100,100,100,100,100
H,100,100,100,100,100,100,100,100,100,1,1,1
