,1,2,3,4,5,6,7,8,9,10,11,12
A,0.063,0.058,0.064,1.144,1.346,1.243,0.246,0.289,0.322,0.288,0.286,0.252
B,0.131,0.128,0.131,0.209,0.227,0.242,0.061,0.057,0.057,0.044,0.044,0.044
C,0.22,0.254,0.222,0.885,0.788,0.651,0.293,0.293,0.306,0.045,0.045,0.046
D,0.375,0.396,0.503,0.159,0.166,0.156,0.387,0.356,0.354,0.045,0.045,0.044
E,0.754,0.619,0.591,0.301,0.318,0.345,0.363,0.339,0.336,0.045,0.044,0.044
F,1.216,1.209,1.009,0.319,0.326,0.342,0.628,0.753,0.62,0.061,0.064,0.059
G,1.184,1.266,1.143,0.378,0.368,0.393,0.318,0.314,0.306,0.044,0.044,0.044
H,0.105,0.103,0.107,0.38,0.265,0.353,0.44,0.359,0.427,0.657,0.853,0.778
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,Sp10-40,Sp10-40,Sp10-40,Ch6-80,Ch6-80,Ch6-80,Ch12-5,Ch12-5,Ch12-5
B,Std 1,Std 1,Std 1,Ch7-5,Ch7-5,Ch7-5,ChkStd 0,ChkStd 0,ChkStd 0,,,
C,Std 2,Std 2,Std 2,Ch5-40,Ch5-40,Ch5-40,Ch6-80 Dup,Ch6-80 Dup,Ch6-80 Dup,,,
D,Std 3,Std 3,Std 3,Sp13-20,Sp13-20,Sp13-20,ChkStd 3,ChkStd 3,ChkStd 3,,,
E,Std 4,Std 4,Std 4,Sc8-80,Sc8-80,Sc8-80,310-40,310-40,310-40,,,
F,Std 5,Std 5,Std 5,Ch7-80,Ch7-80,Ch7-80,462-120,462-120,462-120,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,Ch10-80,Ch10-80,Ch10-80,Ch12-40,Ch12-40,Ch12-40,,,
H,Sp4-20,Sp4-20,Sp4-20,Ch12-80,Ch12-80,Ch12-80,P3-20,P3-20,P3-20,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,50,50,50,250,250,250,1,1,1
B,1,1,1,50,50,50,1,1,1,,,
C,1,1,1,50,50,50,250,250,250,,,
D,1,1,1,25,25,25,1,1,1,,,
E,1,1,1,250,250,250,100,100,100,,,
F,1,1,1,250,250,250,100,100,100,1,1,1
G,1,1,1,250,250,250,250,250,250,,,
H,50,50,50,250,250,250,1,1,1,1,1,1
