,1,2,3,4,5,6,7,8,9,10,11,12
A,0.06,0.064,0.063,0.046,0.046,0.046,0.046,0.045,0.044,0.045,0.046,0.044
B,0.116,0.119,0.118,0.045,0.045,0.046,0.046,0.045,0.045,0.046,0.044,0.044
C,0.301,0.264,0.244,0.044,0.045,0.045,0.044,0.045,0.045,0.045,0.045,0.046
D,0.355,0.481,0.453,0.051,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.044
E,0.606,0.641,0.801,0.044,0.045,0.045,0.045,0.044,0.045,0.045,0.045,0.044
F,1.295,1.096,1.231,0.044,0.044,0.045,0.045,0.045,0.045,0.045,0.045,0.044
G,1.354,1.221,1.194,0.044,0.045,0.044,0.044,0.044,0.045,0.045,0.045,0.044
H,0.044,0.045,0.045,0.045,0.044,0.045,0.045,0.045,0.046,0.044,0.045,0.045
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,,,,,,,,,
B,Std 1,Std 1,Std 1,,,,,,,,,
C,Std 2,Std 2,Std 2,,,,,,,,,
D,Std 3,Std 3,Std 3,,,,,,,,,
E,Std 4,Std 4,Std 4,,,,,,,,,
F,Std 5,Std 5,Std 5,,,,,,,,,
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,,,,,,,,,
B,1,1,1,,,,,,,,,
C,1,1,1,,,,,,,,,
D,1,1,1,,,,,,,,,
E,1,1,1,,,,,,,,,
F,1,1,1,,,,,,,,,
G,1,1,1,,,,,,,,,
H,,,,,,,,,,,,
