,1,2,3,4,5,6,7,8,9,10,11,12
A,0.066,0.068,0.064,0.625,0.61,0.566,0.352,0.327,0.361,0.255,0.263,0.238
B,0.14,0.13,0.118,0.627,0.68,0.638,0.068,0.066,0.067,0.477,0.424,0.471
C,0.226,0.212,0.245,0.125,0.126,0.121,0.349,0.307,0.347,0.646,0.592,0.606
D,0.444,0.385,0.441,0.196,0.211,0.219,0.436,0.455,0.464,0.87,0.717,0.849
E,0.81,0.759,0.628,0.422,0.529,0.498,0.43,0.496,0.487,0.659,0.694,0.705
F,1.304,1.065,1.234,0.693,0.703,0.619,0.404,0.473,0.452,0.063,0.063,0.062
G,1.308,1.396,1.323,0.6,0.678,0.649,0.392,0.352,0.394,0.669,0.554,0.589
H,0.53,0.515,0.547,0.075,0.089,0.096,0.125,0.125,0.134,0.792,0.762,0.709
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,451-80,451-80,451-80,453-20,453-20,453-20,460-20,460-20,460-20
B,Std 1,Std 1,Std 1,451-120,451-120,451-120,ChkStd 0,ChkStd 0,ChkStd 0,460-40,460-40,460-40
C,Std 2,Std 2,Std 2,452-10,452-10,452-10,453-20 Dup,453-20 Dup,453-20 Dup,460-80,460-80,460-80
D,Std 3,Std 3,Std 3,452-20,452-20,452-20,ChkStd 3,ChkStd 3,ChkStd 3,451-40 Spike,451-40 Spike,451-40 Spike
E,Std 4,Std 4,Std 4,452-40,452-40,452-40,453-40,453-40,453-40,453-40 Spike,453-40 Spike,453-40 Spike
F,Std 5,Std 5,Std 5,452-80,452-80,452-80,453-80,453-80,453-80,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,452-120,452-120,452-120,453-120,453-120,453-120,460-80 Dup,460-80 Dup,460-80 Dup
H,451-40,451-40,451-40,453-10,453-10,453-10,460-10,460-10,460-10,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,100,100,100,100,100,100,100,100,100
B,1,1,1,100,100,100,1,1,1,100,100,100
C,1,1,1,100,100,100,100,100,100,100,100,100
D,1,1,1,100,100,100,1,1,1,100,100,100
E,1,1,1,100,100,100,100,100,100,100,100,100
F,1,1,1,100,100,100,100,100,100,1,1,1
G,1,1,1,100,100,100,100,100,100,100,100,100
H,100,100,100,100,100,100,100,100,100,1,1,1
