"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",0.79,"P7B-20",50,"Ok",2871.21329372241,2871.21329372241,"Within_Range"
"2","A05",0.681,"P7B-20",50,"Ok",2426.58163472179,2426.58163472179,"Within_Range"
"3","A06",0.723,"P7B-20",50,"Ok",2597.90759507066,2597.90759507066,"Within_Range"
"4","A07",0.589,"P9B-20",50,"Ok",2051.29619776714,2051.29619776714,"Within_Range"
"5","A08",0.571,"P9B-20",50,"Ok",1977.87078618905,1977.87078618905,"Within_Range"
"6","A09",0.624,"P9B-20",50,"Ok",2194.06783139119,2194.06783139119,"Within_Range"
"7","A10",0.763,"P10B-40",50,"Ok",2761.07517635529,2761.07517635529,"Within_Range"
"8","A11",0.74,"P10B-40",50,"Ok",2667.25381711662,2667.25381711662,"Within_Range"
"9","A12",0.584,"P10B-40",50,"Ok",2030.90025010656,2030.90025010656,"Within_Range"
"10","B04",0.682,"P7B-40",50,"Ok",2430.66082425391,2430.66082425391,"Within_Range"
"11","B05",0.794,"P7B-40",50,"Ok",2887.53005185088,2887.53005185088,"Within_Range"
"12","B06",0.764,"P7B-40",50,"Ok",2765.1543658874,2765.1543658874,"Within_Range"
"13","B10",0.818,"P11A-20",50,"Ok",2985.43060062166,2985.43060062166,"Within_Range"
"14","B11",0.905,"P11A-20",50,"Ok",3340.32008991573,3340.32008991573,"Within_Range"
"15","B12",0.843,"P11A-20",50,"Ok",3087.41033892455,3087.41033892455,"Within_Range"
"16","C04",0.4,"P8A-20",50,"Ok",1280.32937619725,1280.32937619725,"Within_Range"
"17","C05",0.409,"P8A-20",50,"Ok",1317.0420819863,1317.0420819863,"Within_Range"
"18","C06",0.395,"P8A-20",50,"Ok",1259.93342853667,1259.93342853667,"Within_Range"
"19","C07",0.533,"P9B-20 Dup",50,"Ok",1822.86158396865,1822.86158396865,"Within_Range"
"20","C08",0.614,"P9B-20 Dup",50,"Ok",2153.27593607003,2153.27593607003,"Within_Range"
"21","C09",0.651,"P9B-20 Dup",50,"Ok",2304.20594875832,2304.20594875832,"Within_Range"
"22","C10",0.632,"P11A-40",50,"Ok",2226.70134764812,2226.70134764812,"Within_Range"
"23","C11",0.737,"P11A-40",50,"Ok",2655.01624852028,2655.01624852028,"Within_Range"
"24","C12",0.521,"P11A-40",50,"Ok",1773.91130958326,1773.91130958326,"Within_Range"
"25","D04",0.478,"P8A-40",50,"Ok",1598.50615970229,1598.50615970229,"Within_Range"
"26","D05",0.578,"P8A-40",50,"Ok",2006.42511291386,2006.42511291386,"Within_Range"
"27","D06",0.48,"P8A-40",50,"Ok",1606.66453876652,1606.66453876652,"Within_Range"
"28","D10",0.858,"P7A-40 Spike",50,"Ok",3148.59818190629,3148.59818190629,"Within_Range"
"29","D11",0.797,"P7A-40 Spike",50,"Ok",2899.76762044723,2899.76762044723,"Within_Range"
"30","D12",0.911,"P7A-40 Spike",50,"Ok",3364.79522710843,3364.79522710843,"Within_Range"
"31","E04",0.419,"P8B-20",50,"Ok",1357.83397730745,1357.83397730745,"Within_Range"
"32","E05",0.454,"P8B-20",50,"Ok",1500.60561093151,1500.60561093151,"Within_Range"
"33","E06",0.483,"P8B-20",50,"Ok",1618.90210736286,1618.90210736286,"Within_Range"
"34","E07",0.616,"P9B-40",50,"Ok",2161.43431513427,2161.43431513427,"Within_Range"
"35","E08",0.749,"P9B-40",50,"Ok",2703.96652290567,2703.96652290567,"Within_Range"
"36","E09",0.665,"P9B-40",50,"Ok",2361.31460220794,2361.31460220794,"Within_Range"
"37","E10",0.616,"P9B-40 Spike",50,"Ok",2161.43431513427,2161.43431513427,"Within_Range"
"38","E11",0.814,"P9B-40 Spike",50,"Ok",2969.11384249319,2969.11384249319,"Within_Range"
"39","E12",0.717,"P9B-40 Spike",50,"Ok",2573.43245787796,2573.43245787796,"Within_Range"
