"","IDs","H2S_info"
"1","L7-20","Within_Range"
"2","L7-20","Within_Range"
"3","L7-20","Within_Range"
"4","L9-80","Within_Range"
"5","L9-80","Within_Range"
"6","L9-80","Within_Range"
"7","L11-40","Within_Range"
"8","L11-40","Within_Range"
"9","L11-40","Within_Range"
"10","L7-40","Within_Range"
"11","L7-40","Within_Range"
"12","L7-40","Within_Range"
"13","L11-80","Within_Range"
"14","L11-80","Within_Range"
"15","L11-80","Within_Range"
"16","L7-80","Within_Range"
"17","L7-80","Within_Range"
"18","L7-80","Within_Range"
"19","L9-80 Dup","Within_Range"
"20","L9-80 Dup","Within_Range"
"21","L9-80 Dup","Within_Range"
"22","L12-20","Within_Range"
"23","L12-20","Within_Range"
"24","L12-20","Within_Range"
"25","L8-20","Within_Range"
"26","L8-20","Within_Range"
"27","L8-20","Within_Range"
"28","L6-80 Spike","Within_Range"
"29","L6-80 Spike","Within_Range"
"30","L6-80 Spike","Within_Range"
"31","L8-40","Within_Range"
"32","L8-40","Within_Range"
"33","L8-40","Within_Range"
"34","L10-20","adl"
"35","L10-20","Within_Range"
"36","L10-20","Within_Range"
"37","L10-20 Spike","Within_Range"
"38","L10-20 Spike","Within_Range"
"39","L10-20 Spike","Within_Range"
"40","L8-80","Within_Range"
"41","L8-80","Within_Range"
"42","L8-80","Within_Range"
"43","L10-40","Within_Range"
"44","L10-40","Within_Range"
"45","L10-40","Within_Range"
"46","L9-20","Within_Range"
"47","L9-20","Within_Range"
"48","L9-20","Within_Range"
"49","L10-80","Within_Range"
"50","L10-80","Within_Range"
"51","L10-80","Within_Range"
"52","L12-20 Dup","Within_Range"
"53","L12-20 Dup","Within_Range"
"54","L12-20 Dup","Within_Range"
"55","L6-80","Within_Range"
"56","L6-80","Within_Range"
"57","L6-80","Within_Range"
"58","L9-40","Within_Range"
"59","L9-40","Within_Range"
"60","L9-40","Within_Range"
"61","L11-20","Within_Range"
"62","L11-20","Within_Range"
"63","L11-20","Within_Range"
