"","IDs","H2S_info"
"1","P11B-40","Within_Range"
"2","P11B-40","Within_Range"
"3","P11B-40","Within_Range"
"4","L4-20","Within_Range"
"5","L4-20","Within_Range"
"6","L4-20","Within_Range"
"7","P12A-20","Within_Range"
"8","P12A-20","Within_Range"
"9","P12A-20","Within_Range"
"10","P12A-40","Within_Range"
"11","P12A-40","Within_Range"
"12","P12A-40","Within_Range"
"13","L4-20 Dup","Within_Range"
"14","L4-20 Dup","Within_Range"
"15","L4-20 Dup","Within_Range"
"16","P12B-20","Within_Range"
"17","P12B-20","Within_Range"
"18","P12B-20","Within_Range"
"19","P11B-20 Spike","Within_Range"
"20","P11B-20 Spike","Within_Range"
"21","P11B-20 Spike","Within_Range"
"22","P12B-40","Within_Range"
"23","P12B-40","Within_Range"
"24","P12B-40","Within_Range"
"25","P3B-20","Within_Range"
"26","P3B-20","Within_Range"
"27","P3B-20","Within_Range"
"28","L4-40","Within_Range"
"29","L4-40","Within_Range"
"30","L4-40","Within_Range"
"31","P11B-20","Within_Range"
"32","P11B-20","Within_Range"
"33","P11B-20","Within_Range"
"34","L4-80","Within_Range"
"35","L4-80","Within_Range"
"36","L4-80","Within_Range"
