"","IDs","H2S_Conc_Final","H2S_info"
"1","L1-40",3497.76274917921,"Within_Range"
"2","L1-40",3204.09494305787,"Within_Range"
"3","L1-40",4042.5378098101,"Within_Range"
"4","L4-20",697.278453123513,"Within_Range"
"5","L4-20",859.00854924831,"Within_Range"
"6","L4-20",837.728273442416,"Within_Range"
"7","L5-80",2812.53786822941,"Within_Range"
"8","L5-80",3123.22989499547,"Within_Range"
"9","L5-80",2727.41676500583,"Within_Range"
"10","L1-80",3072.15723306132,"Within_Range"
"11","L1-80",3791.43055530055,"Within_Range"
"12","L1-80",3680.7731211099,"Within_Range"
"13","L6-20",3578.62779724161,"Within_Range"
"14","L6-20",2965.75585403185,"Within_Range"
"15","L6-20",3331.77659789323,"Within_Range"
"16","L2-20",3519.0430249851,"Within_Range"
"17","L2-20",3821.2229414288,"Within_Range"
"18","L2-20",3514.78696982392,"Within_Range"
"19","L4-20 Dup",4093.61047174425,"Within_Range"
"20","L4-20 Dup",5119.31976558836,"adl"
"21","L4-20 Dup",5085.27132429892,"adl"
"22","L6-40",3476.48247337331,"Within_Range"
"23","L6-40",3140.25411564018,"Within_Range"
"24","L6-40",3638.21256949811,"Within_Range"
"25","L2-40",3378.5932046662,"Within_Range"
"26","L2-40",2978.52401951539,"Within_Range"
"27","L2-40",3642.46862465929,"Within_Range"
"28","L1-20 Spike",3876.55165852413,"Within_Range"
"29","L1-20 Spike",4178.73157496783,"Within_Range"
"30","L1-20 Spike",4234.06029206315,"Within_Range"
"31","L2-80",4038.28175464892,"Within_Range"
"32","L2-80",2944.47557822595,"Within_Range"
"33","L2-80",3127.48595015665,"Within_Range"
"34","L4-40",3480.73852853449,"Within_Range"
"35","L4-40",2957.24374370949,"Within_Range"
"36","L4-40",3978.69698239242,"Within_Range"
"37","L4-40 Spike",3872.29560336295,"Within_Range"
"38","L4-40 Spike",3821.2229414288,"Within_Range"
"39","L4-40 Spike",2816.79392339059,"Within_Range"
"40","L3-20",4714.99452527636,"Within_Range"
"41","L3-20",4246.82845754669,"Within_Range"
"42","L3-20",4242.57240238551,"Within_Range"
"43","L4-80",3067.90117790014,"Within_Range"
"44","L4-80",2914.6831920977,"Within_Range"
"45","L4-80",3838.24716207352,"Within_Range"
"46","L3-40",4063.818085616,"Within_Range"
"47","L3-40",3991.46514787596,"Within_Range"
"48","L3-40",3502.01880434039,"Within_Range"
