"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",0.904,"L1-40",50,"Ok",3497.76274917921,3497.76274917921,"Within_Range"
"2","A05",0.835,"L1-40",50,"Ok",3204.09494305787,3204.09494305787,"Within_Range"
"3","A06",1.032,"L1-40",50,"Ok",4042.5378098101,4042.5378098101,"Within_Range"
"4","A07",0.246,"L4-20",50,"Ok",697.278453123513,697.278453123513,"Within_Range"
"5","A08",0.284,"L4-20",50,"Ok",859.00854924831,859.00854924831,"Within_Range"
"6","A09",0.279,"L4-20",50,"Ok",837.728273442416,837.728273442416,"Within_Range"
"7","A10",0.743,"L5-80",50,"Ok",2812.53786822941,2812.53786822941,"Within_Range"
"8","A11",0.816,"L5-80",50,"Ok",3123.22989499547,3123.22989499547,"Within_Range"
"9","A12",0.723,"L5-80",50,"Ok",2727.41676500583,2727.41676500583,"Within_Range"
"10","B04",0.804,"L1-80",50,"Ok",3072.15723306132,3072.15723306132,"Within_Range"
"11","B05",0.973,"L1-80",50,"Ok",3791.43055530055,3791.43055530055,"Within_Range"
"12","B06",0.947,"L1-80",50,"Ok",3680.7731211099,3680.7731211099,"Within_Range"
"13","B10",0.923,"L6-20",50,"Ok",3578.62779724161,3578.62779724161,"Within_Range"
"14","B11",0.779,"L6-20",50,"Ok",2965.75585403185,2965.75585403185,"Within_Range"
"15","B12",0.865,"L6-20",50,"Ok",3331.77659789323,3331.77659789323,"Within_Range"
"16","C04",0.909,"L2-20",50,"Ok",3519.0430249851,3519.0430249851,"Within_Range"
"17","C05",0.98,"L2-20",50,"Ok",3821.2229414288,3821.2229414288,"Within_Range"
"18","C06",0.908,"L2-20",50,"Ok",3514.78696982392,3514.78696982392,"Within_Range"
"19","C07",1.044,"L4-20 Dup",50,"Ok",4093.61047174425,4093.61047174425,"Within_Range"
"20","C08",1.285,"L4-20 Dup",50,"Dilute",5119.31976558836,5119.31976558836,"adl"
"21","C09",1.277,"L4-20 Dup",50,"Dilute",5085.27132429892,5085.27132429892,"adl"
"22","C10",0.899,"L6-40",50,"Ok",3476.48247337331,3476.48247337331,"Within_Range"
"23","C11",0.82,"L6-40",50,"Ok",3140.25411564018,3140.25411564018,"Within_Range"
"24","C12",0.937,"L6-40",50,"Ok",3638.21256949811,3638.21256949811,"Within_Range"
"25","D04",0.876,"L2-40",50,"Ok",3378.5932046662,3378.5932046662,"Within_Range"
"26","D05",0.782,"L2-40",50,"Ok",2978.52401951539,2978.52401951539,"Within_Range"
"27","D06",0.938,"L2-40",50,"Ok",3642.46862465929,3642.46862465929,"Within_Range"
"28","D10",0.993,"L1-20 Spike",50,"Ok",3876.55165852413,3876.55165852413,"Within_Range"
"29","D11",1.064,"L1-20 Spike",50,"Ok",4178.73157496783,4178.73157496783,"Within_Range"
"30","D12",1.077,"L1-20 Spike",50,"Ok",4234.06029206315,4234.06029206315,"Within_Range"
"31","E04",1.031,"L2-80",50,"Ok",4038.28175464892,4038.28175464892,"Within_Range"
"32","E05",0.774,"L2-80",50,"Ok",2944.47557822595,2944.47557822595,"Within_Range"
"33","E06",0.817,"L2-80",50,"Ok",3127.48595015665,3127.48595015665,"Within_Range"
"34","E07",0.9,"L4-40",50,"Ok",3480.73852853449,3480.73852853449,"Within_Range"
"35","E08",0.777,"L4-40",50,"Ok",2957.24374370949,2957.24374370949,"Within_Range"
"36","E09",1.017,"L4-40",50,"Ok",3978.69698239242,3978.69698239242,"Within_Range"
"37","E10",0.992,"L4-40 Spike",50,"Ok",3872.29560336295,3872.29560336295,"Within_Range"
"38","E11",0.98,"L4-40 Spike",50,"Ok",3821.2229414288,3821.2229414288,"Within_Range"
"39","E12",0.744,"L4-40 Spike",50,"Ok",2816.79392339059,2816.79392339059,"Within_Range"
"40","F04",1.19,"L3-20",50,"Ok",4714.99452527636,4714.99452527636,"Within_Range"
"41","F05",1.08,"L3-20",50,"Ok",4246.82845754669,4246.82845754669,"Within_Range"
"42","F06",1.079,"L3-20",50,"Ok",4242.57240238551,4242.57240238551,"Within_Range"
"43","F07",0.803,"L4-80",50,"Ok",3067.90117790014,3067.90117790014,"Within_Range"
"44","F08",0.767,"L4-80",50,"Ok",2914.6831920977,2914.6831920977,"Within_Range"
"45","F09",0.984,"L4-80",50,"Ok",3838.24716207352,3838.24716207352,"Within_Range"
"46","G04",1.037,"L3-40",50,"Ok",4063.818085616,4063.818085616,"Within_Range"
"47","G05",1.02,"L3-40",50,"Ok",3991.46514787596,3991.46514787596,"Within_Range"
"48","G06",0.905,"L3-40",50,"Ok",3502.01880434039,3502.01880434039,"Within_Range"
"49","G07",0.987,"L5-20",50,"Ok",3851.01532755705,3851.01532755705,"Within_Range"
"50","G08",0.997,"L5-20",50,"Ok",3893.57587916884,3893.57587916884,"Within_Range"
"51","G09",0.841,"L5-20",50,"Ok",3229.63127402494,3229.63127402494,"Within_Range"
"52","G10",0.841,"L6-40 Dup",50,"Ok",3229.63127402494,3229.63127402494,"Within_Range"
"53","G11",0.846,"L6-40 Dup",50,"Ok",3250.91154983083,3250.91154983083,"Within_Range"
"54","G12",0.738,"L6-40 Dup",50,"Ok",2791.25759242352,2791.25759242352,"Within_Range"
"55","H01",0.957,"L1-20",50,"Ok",3723.33367272169,3723.33367272169,"Within_Range"
"56","H02",0.92,"L1-20",50,"Ok",3565.85963175807,3565.85963175807,"Within_Range"
"57","H03",0.755,"L1-20",50,"Ok",2863.61053016356,2863.61053016356,"Within_Range"
"58","H04",0.891,"L3-80",50,"Ok",3442.43403208388,3442.43403208388,"Within_Range"
"59","H05",0.816,"L3-80",50,"Ok",3123.22989499547,3123.22989499547,"Within_Range"
"60","H06",0.727,"L3-80",50,"Ok",2744.44098565055,2744.44098565055,"Within_Range"
"61","H07",1.013,"L5-40",50,"Ok",3961.6727617477,3961.6727617477,"Within_Range"
"62","H08",0.805,"L5-40",50,"Ok",3076.4132882225,3076.4132882225,"Within_Range"
"63","H09",0.854,"L5-40",50,"Ok",3284.95999112026,3284.95999112026,"Within_Range"
"64","A04",0.983,"L7-20",50,"Ok",4029.67790168378,4029.67790168378,"Within_Range"
"65","A05",1.053,"L7-20",50,"Ok",4342.12726308501,4342.12726308501,"Within_Range"
"66","A06",0.912,"L7-20",50,"Ok",3712.76497797681,3712.76497797681,"Within_Range"
"67","A07",0.697,"L9-80",50,"Ok",2753.09908224445,2753.09908224445,"Within_Range"
"68","A08",0.969,"L9-80",50,"Ok",3967.18802940353,3967.18802940353,"Within_Range"
"69","A09",0.848,"L9-80",50,"Ok",3427.09699040997,3427.09699040997,"Within_Range"
"70","A10",0.892,"L11-40",50,"Ok",3623.49373186218,3623.49373186218,"Within_Range"
"71","A11",0.634,"L11-40",50,"Ok",2471.89465698334,2471.89465698334,"Within_Range"
"72","A12",0.707,"L11-40",50,"Ok",2797.73470530177,2797.73470530177,"Within_Range"
"73","B04",0.789,"L7-40",50,"Ok",3163.74681437179,3163.74681437179,"Within_Range"
"74","B05",0.761,"L7-40",50,"Ok",3038.76706981129,3038.76706981129,"Within_Range"
"75","B06",0.748,"L7-40",50,"Ok",2980.74075983678,2980.74075983678,"Within_Range"
"76","B10",0.798,"L11-80",50,"Ok",3203.91887512337,3203.91887512337,"Within_Range"
"77","B11",0.796,"L11-80",50,"Ok",3194.99175051191,3194.99175051191,"Within_Range"
"78","B12",0.747,"L11-80",50,"Ok",2976.27719753105,2976.27719753105,"Within_Range"
"79","C04",0.767,"L7-80",50,"Ok",3065.54844364568,3065.54844364568,"Within_Range"
"80","C05",0.675,"L7-80",50,"Ok",2654.90071151835,2654.90071151835,"Within_Range"
"81","C06",0.711,"L7-80",50,"Ok",2815.5889545247,2815.5889545247,"Within_Range"
"82","C07",0.77,"L9-80 Dup",50,"Ok",3078.93913056288,3078.93913056288,"Within_Range"
"83","C08",0.76,"L9-80 Dup",50,"Ok",3034.30350750556,3034.30350750556,"Within_Range"
"84","C09",0.723,"L9-80 Dup",50,"Ok",2869.15170219348,2869.15170219348,"Within_Range"
"85","C10",0.989,"L12-20",50,"Ok",4056.45927551817,4056.45927551817,"Within_Range"
"86","C11",1.029,"L12-20",50,"Ok",4235.00176774745,4235.00176774745,"Within_Range"
"87","C12",0.858,"L12-20",50,"Ok",3471.73261346729,3471.73261346729,"Within_Range"
"88","D04",0.946,"L8-20",50,"Ok",3864.5260963717,3864.5260963717,"Within_Range"
"89","D05",1.045,"L8-20",50,"Ok",4306.41876463916,4306.41876463916,"Within_Range"
"90","D06",0.953,"L8-20",50,"Ok",3895.77103251182,3895.77103251182,"Within_Range"
"91","D10",0.83,"L6-80 Spike",50,"Ok",3346.7528689068,3346.7528689068,"Within_Range"
"92","D11",0.786,"L6-80 Spike",50,"Ok",3150.35612745459,3150.35612745459,"Within_Range"
"93","D12",0.981,"L6-80 Spike",50,"Ok",4020.75077707232,4020.75077707232,"Within_Range"
"94","E04",1.003,"L8-40",50,"Ok",4118.94914779842,4118.94914779842,"Within_Range"
"95","E05",0.882,"L8-40",50,"Ok",3578.85810880486,3578.85810880486,"Within_Range"
"96","E06",0.765,"L8-40",50,"Ok",3056.62131903422,3056.62131903422,"Within_Range"
"97","E07",1.246,"L10-20",50,"Dilute",5203.59478809128,5203.59478809128,"adl"
"98","E08",1.12,"L10-20",50,"Ok",4641.18593756905,4641.18593756905,"Within_Range"
"99","E09",1.055,"L10-20",50,"Ok",4351.05438769648,4351.05438769648,"Within_Range"
"100","E10",0.915,"L10-20 Spike",50,"Ok",3726.15566489401,3726.15566489401,"Within_Range"
"101","E11",0.884,"L10-20 Spike",50,"Ok",3587.78523341632,3587.78523341632,"Within_Range"
"102","E12",0.943,"L10-20 Spike",50,"Ok",3851.1354094545,3851.1354094545,"Within_Range"
"103","F04",0.783,"L8-80",50,"Ok",3136.9654405374,3136.9654405374,"Within_Range"
"104","F05",0.78,"L8-80",50,"Ok",3123.5747536202,3123.5747536202,"Within_Range"
"105","F06",0.761,"L8-80",50,"Ok",3038.76706981129,3038.76706981129,"Within_Range"
"106","F07",0.537,"L10-40",50,"Ok",2038.92911332734,2038.92911332734,"Within_Range"
"107","F08",0.608,"L10-40",50,"Ok",2355.84203703431,2355.84203703431,"Within_Range"
"108","F09",0.713,"L10-40",50,"Ok",2824.51607913616,2824.51607913616,"Within_Range"
"109","G04",0.816,"L9-20",50,"Ok",3284.26299662655,3284.26299662655,"Within_Range"
"110","G05",0.903,"L9-20",50,"Ok",3672.59291722523,3672.59291722523,"Within_Range"
"111","G06",0.736,"L9-20",50,"Ok",2927.178012168,2927.178012168,"Within_Range"
"112","G07",0.842,"L10-80",50,"Ok",3400.31561657558,3400.31561657558,"Within_Range"
"113","G08",0.85,"L10-80",50,"Ok",3436.02411502143,3436.02411502143,"Within_Range"
"114","G09",0.752,"L10-80",50,"Ok",2998.59500905971,2998.59500905971,"Within_Range"
"115","G10",0.832,"L12-20 Dup",50,"Ok",3355.67999351826,3355.67999351826,"Within_Range"
"116","G11",0.797,"L12-20 Dup",50,"Ok",3199.45531281764,3199.45531281764,"Within_Range"
"117","G12",0.864,"L12-20 Dup",50,"Ok",3498.51398730168,3498.51398730168,"Within_Range"
"118","H01",0.905,"L6-80",50,"Ok",3681.52004183669,3681.52004183669,"Within_Range"
"119","H02",0.789,"L6-80",50,"Ok",3163.74681437179,3163.74681437179,"Within_Range"
