"","IDs","H2S_info"
"1","L12-80","Within_Range"
"2","L12-80","Within_Range"
"3","L12-80","Within_Range"
"4","L15-40","Within_Range"
"5","L15-40","Within_Range"
"6","L15-40","Within_Range"
"7","L17-20","Within_Range"
"8","L17-20","Within_Range"
"9","L17-20","Within_Range"
"10","L13-20","adl"
"11","L13-20","Within_Range"
"12","L13-20","Within_Range"
"13","L17-40","Within_Range"
"14","L17-40","Within_Range"
"15","L17-40","Within_Range"
"16","L13-40","Within_Range"
"17","L13-40","Within_Range"
"18","L13-40","Within_Range"
"19","L15-40 Dup","Within_Range"
"20","L15-40 Dup","Within_Range"
"21","L15-40 Dup","Within_Range"
"22","L17-80","Within_Range"
"23","L17-80","Within_Range"
"24","L17-80","Within_Range"
"25","L13-80","Within_Range"
"26","L13-80","Within_Range"
"27","L13-80","Within_Range"
"28","L12-40 Spike","adl"
"29","L12-40 Spike","Within_Range"
"30","L12-40 Spike","Within_Range"
"31","L14-20","Within_Range"
"32","L14-20","Within_Range"
"33","L14-20","Within_Range"
"34","L15-80","Within_Range"
"35","L15-80","Within_Range"
"36","L15-80","Within_Range"
"37","L15-80 Spike","Within_Range"
"38","L15-80 Spike","Within_Range"
"39","L15-80 Spike","Within_Range"
"40","L14-40","Within_Range"
"41","L14-40","Within_Range"
"42","L14-40","Within_Range"
"43","L16-20","adl"
"44","L16-20","Within_Range"
"45","L16-20","Within_Range"
"46","L14-80","Within_Range"
"47","L14-80","Within_Range"
"48","L14-80","Within_Range"
"49","L16-40","Within_Range"
"50","L16-40","Within_Range"
"51","L16-40","Within_Range"
"52","L17-80 Dup","Within_Range"
"53","L17-80 Dup","Within_Range"
"54","L17-80 Dup","Within_Range"
"55","L12-40","Within_Range"
"56","L12-40","Within_Range"
"57","L12-40","Within_Range"
"58","L15-20","Within_Range"
"59","L15-20","adl"
"60","L15-20","Within_Range"
"61","L16-80","Within_Range"
"62","L16-80","Within_Range"
"63","L16-80","Within_Range"
