"","Curve","R2","Slope","Intercept","Run_Date"
"1","High",0.99862953500054,576.898963478261,173986.217391306,"06/16/2025"
"2","Low",0.999025956452983,611.696096543974,-3791.26840001892,"06/16/2025"
"3","High",0.999910087588533,570.392469565217,138747.347826088,"06/12/2025"
"4","Low",0.997909846178751,621.573410138249,3224.25345622115,"06/12/2025"
"5","High",0.998988163444748,590.737412173913,-109278.739130433,"06/18/2025"
"6","Low",0.999099520985376,590.313761983912,954.768225101026,"06/18/2025"
"7","High",0.999966339822849,599.680702608696,26208.9130434785,"06/23/2025"
"8","Low",0.999863923078043,615.498271889401,-1451.45276497691,"06/23/2025"
"9","High",0.999867018779127,572.754058100085,103940.352629348,"06/12/2025"
"10","High",0.999739073146941,577.589818914334,104642.594359627,"09/02/2025"
"11","Low",0.99976199404678,599.178290055748,606.006301698749,"09/02/2025"
"12","High",0.999875546642284,586.635047497879,48939.9342663291,"09/02/2025"
"13","Low",0.999936833338932,601.446428571428,195.964285714286,"09/02/2025"
"14","High",0.999875546642284,586.635047497879,48939.9342663291,"09/02/2025"
"15","Low",0.999936833338932,601.446428571428,195.964285714286,"09/02/2025"
