"Year","Chamber","CO2","Nitrogen","Treatment","Category","RootMass_m2","C3RhizMass_m2","C4RhizMass_m2","PhragRhizMass_m2","OtherRootRhizMass_m2","TotalBelowMass_m2"
2011,1,0,0,1,0,63.48559426,0,267.9196581,0,-99,232.4052523
2011,1,0,0,1,1,120.8316352,0,195.5513058,0,-99,217.3829409
2011,2,1,0,3,0,65.70628377,0,153.6194626,0,-99,120.3257464
2011,2,1,0,3,1,109.2056724,0,101.6292023,663.4636486,-99,775.2985234
2011,3,0,1,2,0,118.2190593,0,137.2908633,0,-99,156.5099226
2011,3,0,1,2,1,103.1967479,0,56.95415452,210.4429884,-99,271.5938908
2011,4,1,1,4,0,68.84137484,0,83.73305745,89.741982,-99,143.3164143
2011,4,1,1,4,1,148.0024245,0,71.84583712,0,-99,120.8482616
2011,5,1,0,3,0,106.7237253,179.8758504,71.32332194,109.9894452,-99,368.9123429
2011,5,1,0,3,1,96.01216415,155.0563794,24.9500998,151.2681443,-99,328.2867877
2011,6,0,1,2,0,28.60770605,183.0109415,60.87301836,0,-99,173.4916659
2011,6,0,1,2,1,128.2774765,89.21946683,44.67504781,179.0920776,-99,342.2640687
2011,7,1,1,4,0,56.69289693,81.25111034,158.4527281,0,-99,197.3967353
2011,7,1,1,4,1,129.191878,0,30.56713798,308.675842,-99,369.434858
2011,8,0,0,1,0,90.00323959,0,127.7549613,169.8174332,-99,288.5756341
2011,8,0,0,1,1,83.47179986,99.14725523,117.9578017,91.70141393,-99,293.2782707
2011,9,1,1,4,0,119.655976,331.4052523,153.8807202,0,-99,505.9419486
2011,9,1,1,4,1,89.61135321,42.97687348,45.98133576,101.4985735,-99,181.068136
2011,10,1,0,3,0,81.77362552,267.6584005,44.02190384,0,-99,294.4539298
2011,10,1,0,3,1,135.7233178,0,41.93184312,0,-99,78.65516088
2011,11,0,0,1,0,22.4681527,54.73346501,23.90506944,9.405273223,-99,11.51196037
2011,11,0,0,1,1,47.4182525,0,47.5488813,0,-99,-4.032866205
2011,12,0,1,2,0,24.42758462,81.38173914,61.00364716,0,-99,67.81297092
2011,12,0,1,2,1,59.04421523,117.3046577,88.43569406,122.5298095,-99,288.3143765
2012,1,0,0,1,0,83.34117106,0,66.09817015,0,-99,50.43934121
2012,1,0,0,1,1,55.77849537,0,54.47220742,0,-99,11.25070278
2012,2,1,0,3,0,132.7188555,0,98.88599764,0,-99,132.6048531
2012,2,1,0,3,1,97.3184521,0,98.88599764,0,-99,97.20444974
2012,3,0,1,2,0,40.23366879,0,59.9586168,0,-99,1.192285586
2012,3,0,1,2,1,66.75131413,0,3.788235048,112.6020211,-99,84.14157026
2012,4,1,1,4,0,163.6778798,81.12048155,33.57160025,956.4640353,-99,1135.833997
2012,4,1,1,4,1,199.208912,0,55.38660898,121.4847791,-99,277.0803001
2012,5,1,0,3,0,43.63001745,217.6275721,109.46693,0,-99,271.7245195
2012,5,1,0,3,1,36.05354736,192.9387299,47.15699491,422.4535223,-99,599.6027944
2012,6,0,1,2,0,22.20689511,0,32.00405472,431.0750227,-99,386.2859726
2012,6,0,1,2,1,157.5383265,0,6.531439738,433.9488562,-99,499.0186224
2012,7,1,1,4,0,116.1289985,421.0166055,60.35050318,0,-99,498.4961073
2012,7,1,1,4,1,155.317637,163.6778798,1.567545537,702.5216583,-99,924.0847206
2012,8,0,0,1,0,41.67058553,185.884775,68.97200364,0,-99,197.5273641
2012,8,0,0,1,1,23.51318306,0,27.04016052,141.6016135,-99,93.1549571
2012,9,1,1,4,0,49.9001996,153.0969475,26.38701654,152.0519171,-99,282.4360807
2012,9,1,1,4,1,111.9488771,204.0421774,92.74644428,356.3553521,-99,666.0928509
2012,10,1,0,3,0,48.85516924,99.01662643,0,0,-99,48.87179568
