,1,2,3,4,5,6,7,8,9,10,11,12
A,0.064,0.065,0.059,0.617,0.679,0.676,0.117,0.116,0.116,0.045,0.046,0.044
B,0.136,0.191,0.138,0.562,0.634,0.647,0.069,0.067,0.059,0.045,0.045,0.044
C,0.276,0.317,0.265,0.735,0.824,0.861,0.126,0.121,0.125,0.057,0.045,0.047
D,0.41,0.493,0.596,0.572,0.524,0.499,0.472,0.453,0.431,0.795,0.926,0.892
E,0.814,0.829,0.692,0.312,0.313,0.289,0.125,0.13,0.123,0.152,0.185,0.163
F,1.232,1.365,1.359,0.515,0.56,0.518,0.851,0.812,0.711,0.059,0.059,0.059
G,1.302,1.287,1.474,0.112,0.114,0.111,0.044,0.046,0.045,0.945,0.932,0.782
H,0.863,0.889,0.848,0.115,0.113,0.113,0.045,0.045,0.046,0.9,0.683,0.898
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,L8-40,L8-40,L8-40,,,,,,
B,Std 1,Std 1,Std 1,L12-40,L12-40,L12-40,ChkStd 0,ChkStd 0,ChkStd 0,,,
C,Std 2,Std 2,Std 2,L16-80,L16-80,L16-80,,,,,,
D,Std 3,Std 3,Std 3,P1B-40,P1B-40,P1B-40,ChkStd 3,ChkStd 3,ChkStd 3,L5-40 Spike,L5-40 Spike,L5-40 Spike
E,Std 4,Std 4,Std 4,P5A-20,P5A-20,P5A-20,,,,,,
F,Std 5,Std 5,Std 5,P7B-40,P7B-40,P7B-40,L17-80,L17-80,L17-80,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,P3A-40,P3A-40,P3A-40,,,,L17-80 Dup,L17-80 Dup,L17-80 Dup
H,L6-40,L6-40,L6-40,,,,,,,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,50,50,50,,,,,,
B,1,1,1,50,50,50,1,1,1,,,
C,1,1,1,50,50,50,,,,,,
D,1,1,1,50,50,50,1,1,1,50,50,50
E,1,1,1,50,50,50,,,,,,
F,1,1,1,50,50,50,50,50,50,1,1,1
G,1,1,1,50,50,50,,,,50,50,50
H,50,50,50,,,,,,,1,1,1
