,1,2,3,4,5,6,7,8,9,10,11,12
A,0.056,0.055,0.058,0.334,0.389,0.379,0.954,0.953,0.936,0.046,0.045,0.045
B,0.118,0.139,0.133,0.261,0.224,0.255,0.058,0.058,0.055,0.045,0.044,0.044
C,0.221,0.187,0.216,0.392,0.382,0.306,0.841,0.896,0.874,0.044,0.044,0.046
D,0.443,0.441,0.427,0.278,0.286,0.305,0.418,0.436,0.393,0.442,0.539,0.519
E,0.581,0.661,0.569,0.257,0.239,0.245,1.673,1.71,1.348,1.548,1.594,1.256
F,0.573,0.585,0.71,0.07,0.073,0.072,0.044,0.044,0.044,0.053,0.053,0.053
G,0.934,0.945,1.05,0.431,0.387,0.398,0.044,0.044,0.044,0.044,0.045,0.044
H,0.5,0.428,0.468,0.07,0.073,0.086,0.045,0.045,0.046,1.086,1.082,0.995
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,P10B-40,P10B-40,P10B-40,P3B-40,P3B-40,P3B-40,,,
B,Std 1,Std 1,Std 1,P11B-20,P11B-20,P11B-20,ChkStd 0,ChkStd 0,ChkStd 0,,,
C,Std 2,Std 2,Std 2,P11B-40,P11B-40,P11B-40,P3B-40 Dup,P3B-40 Dup,P3B-40 Dup,,,
D,Std 3,Std 3,Std 3,P12B-20,P12B-20,P12B-20,ChkStd 3,ChkStd 3,ChkStd 3,,P12B-40 Spike,P12B-40 Spike
E,Std 4,Std 4,Std 4,P10B-20,P10B-20,P10B-20,P8A-20,P8A-20,P8A-20,P8A-20 Spike,P8A-20 Spike,P8A-20 Spike
F,ChkStd 4,ChkStd 4,ChkStd 4,P3A-20,P3A-20,P3A-20,,,,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,P3A-40,P3A-40,P3A-40,,,,,,
H,P12B-40,P12B-40,P12B-40,P3B-20,P3B-20,P3B-20,,,,Std 5,Std 5,Std 5
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,50,50,50,1,1,1,,,
B,1,1,1,50,50,50,1,1,1,,,
C,1,1,1,50,50,50,1,1,1,,,
D,1,1,1,50,50,50,1,1,1,50,50,50
E,1,1,1,50,50,50,1,1,1,1,1,1
F,1,1,1,1,1,1,,,,1,1,1
G,1,1,1,1,1,1,,,,,,
H,50,50,50,1,1,1,,,,1,1,1
