,1,2,3,4,5,6,7,8,9,10,11,12
A,0.062,0.059,0.06,0.858,0.749,0.818,0.571,0.554,0.556,0.044,0.044,0.045
B,0.151,0.135,0.136,0.986,1.065,0.868,0.063,0.065,0.063,0.044,0.044,0.044
C,0.189,0.22,0.232,0.723,0.778,0.801,0.474,0.494,0.467,0.044,0.044,0.046
D,0.39,0.477,0.369,0.768,0.79,0.843,0.365,0.406,0.377,0.798,0.73,0.727
E,0.635,0.684,0.641,0.837,0.654,0.849,0.044,0.044,0.044,0.044,0.045,0.044
F,1.11,1.232,0.978,0.098,0.1,0.127,0.045,0.044,0.044,0.06,0.063,0.065
G,1.127,1.263,1.101,0.473,0.55,0.493,0.044,0.045,0.044,0.044,0.044,0.044
H,0.803,0.77,0.755,0.731,0.721,0.837,0.044,0.045,0.046,0.706,0.655,0.66
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,P11B-40,P11B-40,P11B-40,L4-20,L4-20,L4-20,,,
B,Std 1,Std 1,Std 1,P12A-20,P12A-20,P12A-20,ChkStd 0,ChkStd 0,ChkStd 0,,,
C,Std 2,Std 2,Std 2,P12A-40,P12A-40,P12A-40,L4-20 Dup,L4-20 Dup,L4-20 Dup,,,
D,Std 3,Std 3,Std 3,P12B-20,P12B-20,P12B-20,ChkStd 3,ChkStd 3,ChkStd 3,P11B-20 Spike,P11B-20 Spike,P11B-20 Spike
E,Std 4,Std 4,Std 4,P12B-40,P12B-40,P12B-40,,,,,,
F,Std 5,Std 5,Std 5,P3B-20,P3B-20,P3B-20,,,,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,L4-40,L4-40,L4-40,,,,,,
H,P11B-20,P11B-20,P11B-20,L4-80,L4-80,L4-80,,,,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,50,50,50,50,50,50,,,
B,1,1,1,50,50,50,1,1,1,,,
C,1,1,1,50,50,50,50,50,50,,,
D,1,1,1,50,50,50,1,1,1,50,50,50
E,1,1,1,50,50,50,,,,,,
F,1,1,1,1,1,1,,,,1,1,1
G,1,1,1,50,50,50,,,,,,
H,50,50,50,50,50,50,,,,1,1,1
