Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	2.92	0.0001	0.29	0.0001	0
4	Lab Blank	Unknown	3.143	0.011	99.74	0.0134	0.09
5	Standard 1	Calibration Standard	3.147	5.0225	93.31	6.1089	49.36
6	Standard 2	Calibration Standard	3.15	10.0668	93.15	12.2442	97.63
7	Standard 3	Calibration Standard	3.14	20.196	93.2	24.5643	192.78
8	Standard 4	Calibration Standard	3.133	99.9803	93.03	121.6059	924.95
9	Standard 5	Calibration Standard	3.127	199.307	93.01	242.4168	1882.31
10	Lab Blank	Unknown	3.147	0.0785	90.41	0.0955	0.6
11	Lab Blank	Unknown	3.143	0.0344	100	0.0418	0.3
12	Ch1-5	Unknown	3.133	5134.7139	87.89	62.6623	481.03
13	Ch1-20	Unknown	3.133	5958.7059	88.09	72.718	554.9
14	Ch1-40	Unknown	3.137	7430.878	90.18	90.6839	690.83
15	Ch2-5	Unknown	3.133	4754.3442	87.11	58.0204	445.9
16	Ch2-20	Unknown	3.14	5793.7701	88.13	70.7052	538.95
17	Ch2-40	Unknown	3.137	6389.518	90.25	77.9755	593.92
18	Ch2-40_DUP	Unknown	3.133	6025.1961	90.2	73.5294	559.49
19	Ch2-80	Unknown	3.127	11402.8563	91.46	139.1566	1060.45
20	Ch2-80_SPK	Spiked	3.133	5330.9982	89.68	64.6255	491.95
21	Lab Blank	Unknown	3.143	0.0259	85.39	0.0315	0.21
22	Standard 1	Check Standard	3.15	5.0501	93.28	6.1425	48.95
23	Lab Blank	Unknown	3.143	0.0138	99.49	0.0168	0.11
