"Year","Month","Sample_Date","SampleID","Plot","Depth","Temperature","CO2","Vegetation","H2S","pH","CH4","NH4","SO4","Cl","Salinity"
2016,"May",-99,"310-10",310,10,0,0,3,-99,-99,-99,-99,-99,-99,-99
2016,"May",23,"310-20",310,20,0,0,3,0.437980452,6.96,41.2419485,-99,1.027695842,26.47059182,1.695683142
2016,"May",23,"310-40",310,40,0,0,3,0.534329159,6.64,44.27722704,-99,5.329321251,149.0351192,9.546940021
2016,"May",23,"310-60",310,60,0,0,3,0.646906788,6.86,16.62416175,-99,-99,-99,-99
2016,"May",23,"310-80",310,80,0,0,3,0.777236573,6.81,39.43450876,-99,2.670769146,136.9555285,8.773143791
2016,"May",23,"310-100",310,100,0,0,3,0.832616568,6.78,80.44127437,-99,-99,-99,-99
2016,"May",23,"310-120",310,120,0,0,3,0.78320336,6.74,117.7797762,-99,1.899577358,130.7462778,8.375390675
2016,"May",-99,"311-10",311,10,1,0,3,-99,-99,-99,-99,-99,-99,-99
2016,"May",23,"311-20",311,20,1,0,3,0.330039662,6.5,24.39538997,-99,-99,-99,-99
2016,"May",23,"311-40",311,40,1,0,3,0.330039662,6.6,27.33152624,-99,-99,-99,-99
2016,"May",23,"311-80",311,80,1,0,3,0.585685719,6.74,35.42306024,-99,-99,-99,-99
2016,"May",23,"311-120",311,120,1,0,3,0.563713023,6.68,52.16285018,-99,-99,-99,-99
2016,"May",-99,"312-10",312,10,2,0,3,-99,-99,-99,-99,-99,-99,-99
2016,"May",23,"312-20",312,20,2,0,3,0.308087667,6.6,45.3830446,-99,-99,-99,-99
2016,"May",23,"312-40",312,40,2,0,3,0.469187624,6.71,37.64232169,-99,-99,-99,-99
2016,"May",23,"312-80",312,80,2,0,3,0.599278331,6.77,75.75870898,-99,-99,-99,-99
2016,"May",23,"312-120",312,120,2,0,3,0.641978369,6.75,102.1000459,-99,-99,-99,-99
2016,"May",-99,"313-10",313,10,3,0,3,-99,-99,-99,-99,-99,-99,-99
2016,"May",23,"313-20",313,20,3,0,3,0.510365131,6.54,269.4826926,-99,4.709736157,139.2919934,8.922813407
2016,"May",23,"313-40",313,40,3,0,3,0.709083645,6.86,229.8410397,-99,1.535435242,116.6320998,7.471262546
2016,"May",23,"313-60",313,60,3,0,3,0.563713023,7.2,41.53937529,-99,-99,-99,-99
2016,"May",23,"313-80",313,80,3,0,3,0.748077619,6.86,290.0814045,-99,0.365775294,107.4916069,6.885739479
2016,"May",23,"313-100",313,100,3,0,3,0.622637311,6.77,475.5155696,-99,-99,-99,-99
2016,"May",23,"313-120",313,120,3,0,3,0.491218176,6.79,472.5870596,-99,0.413831755,89.50352082,5.733455962
2016,"May",-99,"320-10",320,10,0,0,3,-99,-99,-99,-99,-99,-99,-99
2016,"May",24,"320-20",320,20,0,0,3,1.611979181,6.46,37.14535396,-99,5.244650342,142.0571468,9.09994402
2016,"May",24,"320-40",320,40,0,0,3,2.135460318,6.66,37.54941938,-99,3.700550465,137.6838502,8.819798729
2016,"May",24,"320-60",320,60,0,0,3,2.165699067,6.76,17.58008063,-99,-99,-99,-99
2016,"May",24,"320-80",320,80,0,0,3,1.976538073,6.64,52.83301695,-99,2.091803204,127.3930804,8.160591053
2016,"May",24,"320-100",320,100,0,0,3,2.032911123,6.79,43.91522208,-99,-99,-99,-99
2016,"May",24,"320-120",320,120,0,0,3,2.165699067,6.63,74.80141624,-99,1.419584844,117.084355,7.500233177
2016,"May",-99,"321-10",321,10,1,0,3,-99,-99,-99,-99,-99,-99,-99
2016,"May",24,"321-20",321,20,1,0,3,1.33327666,6.49,32.18314695,-99,-99,-99,-99
2016,"May",24,"321-40",321,40,1,0,3,1.430386148,6.64,25.08010207,-99,-99,-99,-99
2016,"May",24,"321-80",321,80,1,0,3,1.729388027,6.76,25.47707863,-99,-99,-99,-99
2016,"May",24,"321-120",321,120,1,0,3,1.894895973,6.72,26.20723195,-99,-99,-99,-99
2016,"May",-99,"322-10",322,10,2,0,3,-99,-99,-99,-99,-99,-99,-99
2016,"May",24,"322-20",322,20,2,0,3,1.03514552,6.54,18.90569879,-99,-99,-99,-99
2016,"May",24,"322-40",322,40,2,0,3,0.992388209,6.52,22.99597513,-99,-99,-99,-99
2016,"May",24,"322-80",322,80,2,0,3,1.894895973,6.63,26.9940962,-99,-99,-99,-99
2016,"May",24,"322-120",322,120,2,0,3,0.505317816,-99,47.71485487,-99,-99,-99,-99
2016,"May",-99,"323-10",323,10,3,0,3,-99,-99,-99,-99,-99,-99,-99
