,1,2,3,4,5,6,7,8,9,10,11,12
A,0.057,0.057,0.059,0.38,0.387,0.307,0.551,0.572,0.5,0.889,0.836,0.734
B,0.147,0.161,0.145,0.31,0.224,0.281,0.066,0.063,0.067,0.43,0.575,0.478
C,0.201,0.215,0.218,0.226,0.225,0.203,0.343,0.444,0.524,0.49,0.553,0.599
D,0.447,0.43,0.405,0.319,0.312,0.279,0.416,0.399,0.346,0.462,0.435,0.411
E,0.641,0.899,0.719,0.5,0.514,0.436,0.546,0.49,0.471,0.597,0.527,0.609
F,1.239,1.213,1.37,0.372,0.373,0.349,0.53,0.556,0.566,0.061,0.065,0.061
G,1.547,1.499,1.14,0.517,0.502,0.391,0.538,0.56,0.612,0.686,0.659,0.52
H,0.391,0.372,0.318,0.37,0.365,0.392,0.734,0.743,0.71,0.614,0.58,0.618
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,610-20,610-20,610-20,310-120,310-120,310-120,311-120,311-120,311-120
B,Std 1,Std 1,Std 1,610-40,610-40,610-40,ChkStd 0,ChkStd 0,ChkStd 0,312-10,312-10,312-10
C,Std 2,Std 2,Std 2,610-80,610-80,610-80,310-120 Dup,310-120 Dup,310-120 Dup,312-20,312-20,312-20
D,Std 3,Std 3,Std 3,610-120,610-120,610-120,ChkStd 3,ChkStd 3,ChkStd 3,610-10 Spike,610-10 Spike,610-10 Spike
E,Std 4,Std 4,Std 4,310-10,310-10,310-10,311-10,311-10,311-10,311-10 Spike,311-10 Spike,311-10 Spike
F,Std 5,Std 5,Std 5,310-20,310-20,310-20,311-20,311-20,311-20,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,310-40,310-40,310-40,311-40,311-40,311-40,312-20 Dup,312-20 Dup,312-20 Dup
H,610-10,610-10,610-10,310-80,310-80,310-80,311-80,311-80,311-80,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,100,100,100,100,100,100,100,100,100
B,1,1,1,100,100,100,1,1,1,100,100,100
C,1,1,1,100,100,100,100,100,100,100,100,100
D,1,1,1,100,100,100,1,1,1,100,100,100
E,1,1,1,100,100,100,100,100,100,100,100,100
F,1,1,1,100,100,100,100,100,100,1,1,1
G,1,1,1,100,100,100,100,100,100,100,100,100
H,100,100,100,100,100,100,100,100,100,1,1,1
