,1,2,3,4,5,6,7,8,9,10,11,12
A,0.06,0.063,0.06,0.353,0.341,0.303,0.073,0.074,0.072,0.367,0.364,0.34
B,0.128,0.14,0.131,0.304,0.276,0.335,0.067,0.069,0.066,0.353,0.368,0.448
C,0.33,0.237,0.228,0.457,0.372,0.377,0.071,0.074,0.072,0.437,0.411,0.459
D,0.521,0.466,0.393,0.359,0.359,0.286,0.485,0.508,0.453,0.456,0.431,0.45
E,0.945,0.847,0.799,0.349,0.358,0.364,0.285,0.362,0.333,0.148,0.134,0.131
F,1.2,1.139,1.223,0.371,0.282,0.313,0.333,0.364,0.37,0.065,0.058,0.06
G,1.409,1.402,1.331,0.35,0.371,0.35,0.395,0.383,0.332,0.441,0.341,0.404
H,0.343,0.349,0.363,0.113,0.115,0.109,0.444,0.35,0.438,0.862,0.873,0.751
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,333-80,333-80,333-80,453-10,453-10,453-10,462-40,462-40,462-40
B,Std 1,Std 1,Std 1,442-40,442-40,442-40,ChkStd 0,ChkStd 0,ChkStd 0,462-80,462-80,462-80
C,Std 2,Std 2,Std 2,442-80,442-80,442-80,453-10 Dup,453-10 Dup,453-10 Dup,462-120,462-120,462-120
D,Std 3,Std 3,Std 3,443-80,443-80,443-80,ChkStd 3,ChkStd 3,ChkStd 3,333-20 Spike,333-20 Spike,333-20 Spike
E,Std 4,Std 4,Std 4,443-120,443-120,443-120,451-40,451-40,451-40,451-40 Spike,451-40 Spike,451-40 Spike
F,Std 5,Std 5,Std 5,450-80,450-80,450-80,451-120,451-120,451-120,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,450-120,450-120,450-120,452-80,452-80,452-80,462-120 Dup,462-120 Dup,462-120 Dup
H,333-20,333-20,333-20,452-10,,452-10,452-120,452-120,452-120,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,250,250,250,250,250,250,250,250,250
B,1,1,1,250,250,250,1,1,1,250,250,250
C,1,1,1,250,250,250,250,250,250,250,250,250
D,1,1,1,250,250,250,1,1,1,250,250,250
E,1,1,1,250,250,250,250,250,250,250,250,250
F,1,1,1,250,250,250,250,250,250,1,1,1
G,1,1,1,250,250,250,250,250,250,250,250,250
H,250,250,250,250,250,250,250,250,250,1,1,1
