"","Curve","R2","Slope","Intercept","Run_Date"
"1","High",0.99862953500054,576.898963478261,173986.217391306,"06/16/2025"
"2","Low",0.999025956452983,611.696096543974,-3791.26840001892,"06/16/2025"
"3","High",0.999910087588533,570.392469565217,138747.347826088,"06/12/2025"
"4","Low",0.997909846178751,621.573410138249,3224.25345622115,"06/12/2025"
"5","High",0.998988163444748,590.737412173913,-109278.739130433,"06/18/2025"
"6","Low",0.999099520985376,590.313761983912,954.768225101026,"06/18/2025"
"7","High",0.999966339822849,599.680702608696,26208.9130434785,"06/23/2025"
"8","Low",0.999863923078043,615.498271889401,-1451.45276497691,"06/23/2025"
"9","High",0.999867018779127,572.754058100085,103940.352629348,"06/12/2025"
"10","High",0.99913607401904,578.323388888889,147368.305555557,"6/24/2025"
"11","High",0.999714763944531,557.018195504665,63141.8946140811,"8/13/2025"
"12","High",0.999929312772246,569.569261662426,70555.2851993222,"8/14/2025"
"13","High",0.999934997664599,576.00149533503,59833.8859202719,"8/15/2025"
"14","Low",0.999825510895187,618.738894009216,-329.649769585182,"6/24/2025"
"15","Low",0.999354727895493,573.968225806452,1742.89516129027,"8/13/2025"
"16","Low",0.999812985361834,594.738041474654,450.78686635944,"8/14/2025"
"17","Low",0.999314442648668,590.127235023041,300.875576036868,"8/15/2025"
"18","High",0.99913607401904,578.323388888889,147368.305555557,"6/24/2025"
"19","High",0.999714763944531,557.018195504665,63141.8946140811,"8/13/2025"
"20","High",0.999929312772246,569.569261662426,70555.2851993222,"8/14/2025"
"21","High",0.999934997664599,576.00149533503,59833.8859202719,"8/15/2025"
"22","Low",0.999825510895187,618.738894009216,-329.649769585182,"6/24/2025"
"23","Low",0.999354727895493,573.968225806452,1742.89516129027,"8/13/2025"
"24","Low",0.999812985361834,594.738041474654,450.78686635944,"8/14/2025"
"25","Low",0.999314442648668,590.127235023041,300.875576036868,"8/15/2025"
