Year,Chamber,SC_Count,SC_Total_Mass,SP_Count,SP_Total_Mass,DI_Count,DI_Total_Mass,Other_1_Species,Other_1_Count,Other_1_Mass,Other_2_Species,Other_2_Count,Other_2_Mass
2021,1,3,2.9739,0,0,0,0,None,0,0,None,0,0
2021,2,0,0,12,1.9112,7,0.9352,None,0,0,None,0,0
2021,3,3,1.4618,7,0.9773,8,0.9216,None,0,0,None,0,0
2021,4,2,0.9384,2,0.1844,0,0,None,0,0,None,0,0
2021,5,4,1.8771,2,0.1694,0,0,None,0,0,None,0,0
2021,6,1,0.4463,8,1.0856,13,2.4632,None,0,0,None,0,0
2021,7,4,2.4019,0,0,0,0,None,0,0,None,0,0
2021,8,5,3.8427,3,0.3819,3,0.4414,None,0,0,None,0,0
2021,9,4,3.4869,2,0.3469,2,0.2746,None,0,0,None,0,0
2021,10,2,0.8095,1,0.2417,0,0,None,0,0,None,0,0
2021,11,3,0.8561,10,1.0159,1,0.2076,None,0,0,None,0,0
2021,12,6,3.1376,5,0.7541,2,0.1836,None,0,0,None,0,0
2021,Ref1,6,3.1282,6,0.7711,0,0,None,0,0,None,0,0
2021,Ref2,2,1.1929,15,2.1892,0,0,None,0,0,None,0,0
2021,Ref3,0,0,11,1.5979,0,0,None,0,0,None,0,0
2021,Ref4,2,1.3919,0,0,0,0,None,0,0,None,0,0
2021,Ref5,1,0.5147,2,0.4747,2,0.1605,None,0,0,None,0,0
2021,Ref6,1,1.3429,1,0.0956,0,0,None,0,0,None,0,0
2021,Ref7,1,0.1539,11,1.7434,2,0.2112,None,0,0,None,0,0
2021,Ref8,0,0,11,2.6828,0,0,None,0,0,None,0,0
2021,Ref9,2,1.1703,12,1.6483,2,0.47,None,0,0,None,0,0
2021,Ref10,0,0,2,0.4391,2,0.2784,None,0,0,None,0,0
2021,Ref11,6,2.879,0,0,1,0.0598,None,0,0,None,0,0
2021,Ref12,0,0,1,0.1654,1,0.102,None,0,0,None,0,0
2022,1,7,3.9684,0,0,2,0.2928,None,0,0,None,0,0
2022,2,6,2.7299,21,2.2312,1,0.1029,None,0,0,None,0,0
2022,3,4,1.8609,12,1.5533,5,0.7597,None,0,0,None,0,0
2022,4,6,4.9887,19,2.4251,0,0,None,0,0,None,0,0
2022,5,5,3.6359,26,2.3494,1,0.3551,None,0,0,None,0,0
2022,6,7,4.3363,20,2.625,1,0.046,None,0,0,None,0,0
2022,7,9,5.3911,15,2.1919,2,0.1122,None,0,0,None,0,0
2022,8,4,3.1223,30,4.4951,1,0.1568,None,0,0,None,0,0
2022,9,5,3.3089,11,1.3183,0,0,None,0,0,None,0,0
2022,10,7,5.2088,25,2.3509,0,0,None,0,0,None,0,0
2022,11,2,2.6825,5,1.013,3,0.1995,None,0,0,None,0,0
2022,12,6,4.809,10,1.6986,3,0.6352,None,0,0,None,0,0
2022,Ref1,6,4.2027,8,1.0373,0,0,None,0,0,None,0,0
2022,Ref2,1,0.0667,38,6.7073,2,0.446,None,0,0,None,0,0
2022,Ref3,1,0.2325,17,2.0735,4,0.3889,None,0,0,None,0,0
2022,Ref4,5,4.1009,11,1.4547,3,0.2793,None,0,0,None,0,0
2022,Ref5,8,3.8495,13,2.3241,2,0.425,None,0,0,None,0,0
2022,Ref6,8,3.0484,25,4.8931,5,0.8441,None,0,0,None,0,0
2022,Ref7,6,3.5286,10,1.2864,0,0,None,0,0,None,0,0
2022,Ref8,4,1.9098,35,6.4385,3,0.4736,None,0,0,None,0,0
2022,Ref9,2,1.7345,8,0.8513,2,0.2586,None,0,0,None,0,0
2022,Ref10,2,1.0962,27,2.7353,1,0.1118,None,0,0,None,0,0
2022,Ref11,4,3.9522,6,1.324,4,0.3872,None,0,0,None,0,0
2022,Ref12,5,2.7442,22,2.9445,1,0.3007,None,0,0,None,0,0
2023,1,1,0.2458,1,0.0179,0,0,None,0,0,None,0,0
2023,2,1,0.4165,4,0.5783,1,0.0152,None,0,0,None,0,0
2023,3,1,0.3683,1,0.3361,4,0.7286,None,0,0,None,0,0
2023,4,0,0,1,0.2098,0,0,None,0,0,None,0,0
2023,5,2,0.9381,3,0.2432,0,0,None,0,0,None,0,0
2023,6,0,0,9,1.6253,3,0.6751,None,0,0,None,0,0
2023,7,2,1.4764,1,0.3048,0,0,None,0,0,None,0,0
