Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	5.65	5.071	93.84	10.9019	59.39
6	Standard 2	Calibration Standard	5.657	10.4665	93.34	22.5014	121.23
7	Standard 3	Calibration Standard	5.653	20.6431	93.21	44.3798	236.27
8	Standard 4	Calibration Standard	5.627	101.8634	92.99	218.9915	1145.66
9	Standard 5	Calibration Standard	5.633	202.0997	92.97	434.4848	2236.33
10	Lab Blank	Unknown	5.667	0.0087	100	0.0187	0.13
11	Lab Blank	Unknown	5.637	0.0058	100	0.0125	0.05
12	610_10_May	Unknown	5.613	3943.0067	87.84	84.7689	448.84
13	610_20_May	Unknown	5.603	6260.3643	88.63	134.5887	708.59
14	610_40_May	Unknown	5.627	7195.1878	89.9	154.686	812.84
15	610_80_May	Unknown	5.603	6103.1615	91.07	131.2091	691.75
16	610_120_May	Unknown	5.593	6090.6716	94.03	130.9405	690.51
17	310_10_May	Unknown	5.557	4033.8976	90.09	86.7229	444.93
18	310_20_May	Unknown	5.58	6311.4606	89.93	135.6872	689.16
19	310_40_May	Unknown	5.573	6833.9262	91.03	146.9194	745.26
20	310_80_May	Unknown	5.593	5793.784	95.16	124.5579	659.02
21	310_80_May_DUP	Unknown	5.6	5978.1482	95.18	128.5215	650.6
22	310_120_May	Unknown	5.583	5966.3783	95.2	128.2684	651.84
23	310_120_May_SPK	Spiked	5.577	5808.4128	93.14	124.0454	631.31
24	Lab Blank	Unknown	5.593	0.007	100	0.0151	0.06
