"","X.4","X.3","X.2","X.1","X","Test","Intercept","Slope","R_squared","run_date","user"
"1","...1",1,1,"...1","...2","NH3",-0.03653452,1.891621177,0.998624558,"2/3/2024","Stephanie Wilson"
"2","...2",2,2,"(Intercept)",NA,"NH3",-0.0265154616308777,1.84212775563464,0.999464581149918,"03/17/2025","Max Wegner"
"3","(Intercept)",NA,NA,NA,NA,"NH3",-0.0193834386709091,1.82337594045655,0.99895514559126,"03/20/2025","Max Wegner"
