"Test","Run_Date","Top_Std_Absorbance","Mean_PE_Conc","Spike_Percent_Diff","Run"
"Ammonia 2",2026-06-08,1.103681,1.297496,6.74186191952203,"Current Runs"
"Ammonia 2",2026-06-08,1.152299,1.297496,6.74186191952203,"Current Runs"
"Ammonia 2",2026-06-08,1.103681,1.297496,6.74186191952203,"Past Runs"
"Ammonia 2",2026-06-08,1.152299,1.297496,6.74186191952203,"Past Runs"
"Ammonia 2",2026-06-08,1.103681,1.297496,7.01798782573012,"Past Runs"
"Ammonia 2",2026-06-08,1.103681,1.297496,5.68322153916167,"Past Runs"
"Ammonia 2",2026-06-08,1.103681,1.297496,6.32761969858563,"Past Runs"
"Ammonia 2",2026-06-08,1.103681,1.297496,7.93861861461071,"Past Runs"
"Ammonia 2",2026-06-08,1.152299,1.297496,7.01798782573012,"Past Runs"
"Ammonia 2",2026-06-08,1.152299,1.297496,5.68322153916167,"Past Runs"
"Ammonia 2",2026-06-08,1.152299,1.297496,6.32761969858563,"Past Runs"
"Ammonia 2",2026-06-08,1.152299,1.297496,7.93861861461071,"Past Runs"
"Ammonia 2",2026-06-08,1.103681,1.0982025,7.01798782573012,"Past Runs"
"Ammonia 2",2026-06-08,1.103681,1.0982025,5.68322153916167,"Past Runs"
"Ammonia 2",2026-06-08,1.08028,1.0982025,7.01798782573012,"Past Runs"
"Ammonia 2",2026-06-08,1.08028,1.0982025,5.68322153916167,"Past Runs"
"Ammonia 2",2026-06-24,1.076975,1.148001,1.80091343662367,"Past Runs"
"Ammonia 2",2026-06-26,1.096374,1.0466665,4.21302603506538,"Past Runs"
"Ammonia 2",2026-06-08,1.08028,NA,NA,"Past Runs"
"Ammonia 2",2026-01-13,1.057069,1.1158205,NA,"Past Runs"
"Ammonia 2",2025-12-18,1.066428,1.3648745,NA,"Past Runs"
