,1,2,3,4,5,6,7,8,9,10,11,12
A,0.066,0.067,0.066,0.046,0.045,0.045,0.046,0.045,0.045,0.046,0.046,0.045
B,0.124,0.128,0.134,0.045,0.044,0.045,0.046,0.044,0.044,0.044,0.044,0.044
C,0.28,0.232,0.249,0.045,0.045,0.045,0.044,0.045,0.044,0.044,0.044,0.047
D,0.409,0.724,0.435,0.044,0.045,0.045,0.044,0.044,0.044,0.044,0.044,0.044
E,0.665,0.608,0.6,0.044,0.045,0.045,0.044,0.045,0.045,0.045,0.044,0.044
F,1.351,1.156,1.186,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.045,0.044
G,1.327,1.166,0.981,0.044,0.044,0.044,0.044,0.046,0.044,0.044,0.044,0.045
H,0.045,0.044,0.046,0.045,0.045,0.044,0.045,0.045,0.046,0.044,0.045,0.046
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,,,,,,,,,
B,Std 1,Std 1,Std 1,,,,,,,,,
C,Std 2,Std 2,Std 2,,,,,,,,,
D,Std 3,Std 3,Std 3,,,,,,,,,
E,Std 4,Std 4,Std 4,,,,,,,,,
F,Std 5,Std 5,Std 5,,,,,,,,,
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,,,,,,,,,
B,1,1,1,,,,,,,,,
C,1,1,1,,,,,,,,,
D,1,1,1,,,,,,,,,
E,1,1,1,,,,,,,,,
F,1,1,1,,,,,,,,,
G,1,1,1,,,,,,,,,
H,,,,,,,,,,,,
