,1,2,3,4,5,6,7,8,9,10,11,12
A,0.062,0.063,0.065,0.436,0.43,0.394,0.816,0.704,0.653,0.464,0.529,0.358
B,0.148,0.138,0.19,0.513,0.464,0.483,0.065,0.063,0.063,0.596,0.709,0.531
C,0.221,0.275,0.222,0.623,0.726,0.674,0.831,0.699,0.645,0.337,0.306,0.4
D,0.546,0.429,0.474,0.535,0.521,0.511,0.418,0.458,0.406,0.927,1.072,1.004
E,0.775,0.97,0.713,0.586,0.542,0.546,0.542,0.576,0.461,0.795,0.703,0.919
F,1.008,0.67,0.868,0.794,0.743,0.72,0.658,0.61,0.591,0.064,0.062,0.063
G,1.418,1.487,1.351,0.358,0.324,0.333,0.694,0.676,0.807,0.355,0.351,0.348
H,0.687,0.743,0.773,0.439,0.395,0.447,0.494,0.528,0.519,1.282,1.244,1.267
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,L7-20,L7-20,L7-20,L9-80,L9-80,L9-80,L11-40,L11-40,L11-40
B,Std 1,Std 1,Std 1,L7-40,L7-40,L7-40,ChkStd 0,ChkStd 0,ChkStd 0,L11-80,L11-80,L11-80
C,Std 2,Std 2,Std 2,L7-80,L7-80,L7-80,L9-80 Dup,L9-80 Dup,L9-80 Dup,L12-20,L12-20,L12-20
D,Std 3,Std 3,Std 3,L8-20,L8-20,L8-20,ChkStd 3,ChkStd 3,ChkStd 3,L6-80 Spike,L6-80 Spike,L6-80 Spike
E,Std 4,Std 4,Std 4,L8-40,L8-40,L8-40,L10-20,L10-20,L10-20,L10-20 Spike,L10-20 Spike,L10-20 Spike
F,ChkStd 4,ChkStd 4,ChkStd 4,L8-80,L8-80,L8-80,L10-40,L10-40,L10-40,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,L9-20,L9-20,L9-20,L10-80,L10-80,L10-80,L12-20 Dup,L12-20 Dup,L12-20 Dup
H,L6-80,L6-80,L6-80,L9-40,L9-40,L9-40,L11-20,L11-20,L11-20,Std 5,Std 5,Std 5
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,50,50,50,50,50,50,50,50,50
B,1,1,1,50,50,50,1,1,1,50,50,50
C,1,1,1,50,50,50,50,50,50,50,50,50
D,1,1,1,50,50,50,1,1,1,50,50,50
E,1,1,1,50,50,50,50,50,50,50,50,50
F,1,1,1,50,50,50,50,50,50,1,1,1
G,1,1,1,50,50,50,50,50,50,50,50,50
H,50,50,50,50,50,50,50,50,50,1,1,1
