,1,2,3,4,5,6,7,8,9,10,11,12
A,0.065,0.065,0.065,2.093,1.895,1.898,0.951,0.861,0.858,1.112,1.131,1.071
B,0.131,0.14,0.179,0.691,0.822,0.845,0.066,0.065,0.062,0.647,0.718,0.614
C,0.283,0.25,0.279,0.516,0.528,0.539,0.884,1.008,0.964,0.471,0.464,0.488
D,0.483,0.506,0.444,0.181,0.181,0.188,0.457,0.483,0.462,1.431,1.6,1.491
E,0.808,0.833,0.819,0.178,0.193,0.192,1.36,1.432,1.228,1.257,1.549,1.603
F,1.401,1.397,1.294,0.412,0.507,0.502,1.695,1.816,1.775,0.064,0.062,0.068
G,1.352,1.275,1.408,0.636,0.661,0.755,2.503,2.576,2.93,2.175,1.988,2.104
H,1.219,1.282,1.284,0.624,0.616,0.529,2.227,1.986,1.706,0.777,0.814,0.785
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,,,,P3-40,P3-40,P3-40,,,
B,Std 1,Std 1,Std 1,Ch4-80,Ch4-80,Ch4-80,ChkStd 0,ChkStd 0,ChkStd 0,,,
C,Std 2,Std 2,Std 2,Ch4-40,Ch4-40,Ch4-40,P3-40 Dup,P3-40 Dup,P3-40 Dup,,,
D,Std 3,Std 3,Std 3,Ch8-5,Ch8-5,Ch8-5,ChkStd 3,ChkStd 3,ChkStd 3,,,
E,Std 4,Std 4,Std 4,L18-20,L18-20,L18-20,,,, P4-20 Spike, P4-20 Spike, P4-20 Spike
F,Std 5,Std 5,Std 5,L11-40,L11-40,L11-40,,,,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,L13-40,L13-40,L13-40,,,,,,
H,,,,L16-80,L16-80,L16-80,,,,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,100,100,100,1,1,1,100,100,100
C,1,1,1,100,100,100,1,1,1,100,100,100
D,1,1,1,50,50,50,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,50,50,50,1,1,1,1,1,1
G,1,1,1,50,50,50,1,1,1,100,100,100
H,1,1,1,50,50,50,1,1,1,1,1,1
