research_name,logger_name,packbusID,Table,link,loggernet_variable,cr1000_name,definition,var_type,resolution_minutes
actual_conductivity,compass,431,compass_gcw_w,logger,Actual_Conductivity,actual_conductivity,actual conductivity,site,15
actual_conductivity,compass,431,compass_gcw_w,logger,Actual_Conductivity,actual_conductivity,actual conductivity,site,15
actual_conductivity,compass,431,compass_gcw_w,logger,Actual_Conductivity,actual_conductivity,actual conductivity,site,15
actual_conductivity,compass,431,compass_gcw_w,logger,Actual_Conductivity,actual_conductivity,actual conductivity,site,15
actual_conductivity,compass,431,compass_gcw_w,logger,gw_act_cond,gw_act_cond,actual conductivity,site,15
aquatroll_id,compass,431,compass_gcw_w,logger,Aquatroll_ID(2),aquatroll_id2,ID for Aquatroll sensor,site,15
aquatroll_id,compass,431,compass_gcw_w,logger,Aquatroll_ID(2),aquatroll_id2,ID for Aquatroll sensor,site,15
aquatroll_id,compass,431,compass_gcw_w,logger,Instrument,instrument,Name of measurement instrument,site,15
hydros_id,compass,431,compass_gcw_w,logger,Hydros_ID(2),Hydros_ID(2),depth of sensor,site,15
depth,compass,431,compass_gcw_w,logger,Depth,depth,depth of sensor,site,15
depth,compass,431,compass_gcw_w,logger,Depth,depth,depth of sensor,site,15
depth,compass,431,compass_gcw_w,logger,Depth,depth,depth of sensor,site,15
depth,compass,431,compass_gcw_w,logger,Depth,depth,depth of sensor,site,15
depth,compass,431,compass_gcw_w,logger,H21_Depth,h21_depth,depth of sensor,site,15
logger,compass,431,compass_gcw_w,logger,Logger,logger,logger name,site,15
logger,compass,431,compass_gcw_w,logger,Logger,logger,logger name,site,15
logger,compass,431,compass_gcw_w,logger,Logger,logger,logger name,site,15
logger,compass,431,compass_gcw_w,logger,Logger,logger,logger name,site,15
logger,compass,431,compass_gcw_w,logger,Logger,logger,logger name,site,15
pressure,compass,431,compass_gcw_w,logger,Pressure,pressure,water pressure,site,15
pressure,compass,431,compass_gcw_w,logger,Pressure,pressure,water pressure,site,15
