research_name,type,units,lower_bound,upper_bound,rolling_clean,variability constant
actual_conductivity,number,microsiemens per centimeter,,,no,
actual_conductivity,number,microsiemens per centimeter,,,no,
actual_conductivity,number,microsiemens per centimeter,,,no,
actual_conductivity,number,microsiemens per centimeter,,,no,
actual_conductivity,numeric,?S/cm,,,no,
aquatroll_id,character,NA,,,no,
aquatroll_id,character,NA,,,no,
aquatroll_id,character,NA,,,no,
hydros_id,integer,mm,,,no,
depth,number,centimeters,,,no,
depth,number,centimeters,,,no,
depth,number,centimeters,,,no,
depth,number,centimeters,,,no,
depth,integer,mm,,,no,
logger,character,NA,,,no,
logger,character,NA,,,no,
logger,character,NA,,,no,
logger,character,NA,,,no,
logger,character,NA,,,no,
pressure,number,pounds per square inch,,,no,
pressure,number,pounds per square inch,,,no,
pressure,number,pounds per square inch,,,no,
pressure,number,pounds per square inch,,,no,
pressure,numeric,mbar,,,no,
program,character,NA,,,no,
program,character,NA,,,no,
program,character,NA,,,no,
program,character,NA,,,no,
program,character,NA,,,no,
record,number,NA,,,no,
record,number,NA,,,no,
record,number,NA,,,no,
record,number,NA,,,no,
record,number,NA,,,no,
record,number,NA,,,no,
resistivity,number,ohms centimeter,,,no,
resistivity,number,ohms centimeter,,,no,
resistivity,number,ohms centimeter,,,no,
resistivity,number,ohms centimeter,,,no,
rowid,character,NA,,,no,
rowid,character,NA,,,no,
rowid,character,NA,,,no,
rowid,character,NA,,,no,
rowid,character,NA,,,no,
logger,character,NA,,,no,
logger,character,NA,,,no,
logger,character,NA,,,no,
salinity,number,practical salinity units,,,no,
salinity,number,practical salinity units,,,no,
salinity,number,practical salinity units,,,no,
salinity,number,practical salinity units,,,no,
salinity,numeric,PSU,,,no,
specific_conductivity,number,microsiemens per centimeter,,,no,
specific_conductivity,number,microsiemens per centimeter,,,no,
specific_conductivity,number,microsiemens per centimeter,,,no,
specific_conductivity,number,microsiemens per centimeter,,,no,
specific_conductivity,numeric,?S/cm,,,no,
logger,character,NA,,,no,
logger,character,NA,,,no,
logger,integer,mm,,,no,
tds,number,parts per thousand,,,no,
tds,number,parts per thousand,,,no,
tds,number,parts per thousand,,,no,
tds,number,parts per thousand,,,no,
tds,integer,mm,,,no,
timestamp,number,YYYY-MM-DD HH:MM:SS,,,no,
timestamp,number,YYYY-MM-DD HH:MM:SS,,,no,
timestamp,number,YYYY-MM-DD HH:MM:SS,,,no,
timestamp,number,YYYY-MM-DD HH:MM:SS,,,no,
timestamp,integer,mm,,,no,
timestamp,POSIXct,YYYY-MM-DD HH:MM:SS,,,no,
table,character,NA,,,no,
table,character,NA,,,no,
table,character,NA,,,no,
table,character,NA,,,no,
table,character,NA,,,no,
temp1,number,degrees Celsius,,,no,
temp2,number,degrees Celsius,,,no,
temperature,number,degrees Celsius,,,no,
temperature,number,degrees Celsius,,,no,
temperature,number,degrees Celsius,,,no,
temperature,number,degrees Celsius,,,no,
temperature,number,C,,,no,
temperature,numeric,degC,,,no,
time2,number,YYYY-MM-DD HH:MM:SS,,,no,
time2,number,YYYY-MM-DD HH:MM:SS,,,no,
time2,number,YYYY-MM-DD HH:MM:SS,,,no,
time2,number,YYYY-MM-DD HH:MM:SS,,,no,
time2,number,YYYY-MM-DD HH:MM:SS,,,no,
time2,number,YYYY-MM-DD HH:MM:SS,,,no,
water_density,number,grams per cubic centimeter,,,no,
water_density,number,grams per cubic centimeter,,,no,
water_density,number,grams per cubic centimeter,,,no,
water_density,number,grams per cubic centimeter,,,no,
water_density,numeric,g/cm3,,,no,
electrical conductivity,integer,uS/cm,,,no,
derived_salinity,number,PSU,,,no,
battery,numeric,%,,,no,
perc_saturation,numeric,%,,,no,
ph,numeric,NA,,,no,
ph_mv,numeric,mV,,,no,
ph_orp,numeric,mV,,,no,
rdo_conc,numeric,mg/L,,,no,
voltage,numeric,V,,,no,
