,1,2,3,4,5,6,7,8,9,10,11,12
A,0.066,0.063,0.065,0.1,0.105,0.102,0.512,0.536,0.659,0.608,0.652,0.562
B,0.122,0.134,0.111,0.234,0.213,0.238,0.067,0.065,0.066,0.476,0.46,0.483
C,0.292,0.26,0.282,0.303,0.314,0.353,0.604,0.548,0.561,0.547,0.756,0.584
D,0.438,0.462,0.364,0.426,0.442,0.423,0.425,0.401,0.42,0.78,0.772,0.787
E,0.778,0.741,0.671,0.244,0.229,0.209,0.581,0.523,0.625,0.89,0.901,0.8
F,1.295,1.004,1.139,0.077,0.075,0.09,0.174,0.171,0.165,0.065,0.064,0.064
G,1.296,1.257,1.17,0.247,0.243,0.227,0.387,0.41,0.422,0.522,0.546,0.471
H,0.579,0.513,0.46,0.548,0.576,0.473,0.568,0.549,0.51,0.747,0.792,0.809
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,461-10,461-10,461-10,462-80,462-80,462-80,463-80,463-80,463-80
B,Std 1,Std 1,Std 1,461-20,461-20,461-20,ChkStd 0,ChkStd 0,ChkStd 0,463-120,463-120,463-120
C,Std 2,Std 2,Std 2,461-40,461-40,461-40,462-80 Dup,462-80 Dup,462-80 Dup,453-10,453-10,453-10
D,Std 3,Std 3,Std 3,461-80,461-80,461-80,ChkStd 3,ChkStd 3,ChkStd 3,460-120 Spike,460-120 Spike,460-120 Spike
E,Std 4,Std 4,Std 4,461-120,461-120,461-120,462-120,462-120,462-120,462-120 Spike,462-120 Spike,462-120 Spike
F,Std 5,Std 5,Std 5,462-10,462-10,462-10,463-10,463-10,463-10,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,462-20,462-20,462-20,463-20,463-20,463-20,463-120 Dup,463-120 Dup,463-120 Dup
H,460-120,460-120,460-120,462-40,462-40,462-40,463-40,463-40,463-40,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,100,100,100,100,100,100,100,100,100
B,1,1,1,100,100,100,1,1,1,100,100,100
C,1,1,1,100,100,100,100,100,100,100,100,100
D,1,1,1,100,100,100,1,1,1,100,100,100
E,1,1,1,100,100,100,100,100,100,100,100,100
F,1,1,1,100,100,100,100,100,100,1,1,1
G,1,1,1,100,100,100,100,100,100,100,100,100
H,100,100,100,100,100,100,100,100,100,1,1,1
