"Year","Community","Treatment","Chamber","TotalBelowMass_m2"
1987,"MX","A",2,342.9005863
1987,"MX","A",6,-99
1987,"MX","A",9,413.4401354
1987,"MX","A",12,391.8863843
1987,"MX","A",15,-99
1987,"MX","C",3,233.1723987
1987,"MX","C",5,-99
1987,"MX","C",7,476.1419569
1987,"MX","C",10,850.3934539
1987,"MX","C",14,-99
1987,"MX","E",1,254.7261498
1987,"MX","E",4,-99
1987,"MX","E",8,1052.214942
1987,"MX","E",11,570.1946892
1987,"MX","E",13,-99
1987,"SC","A",2,-99
1987,"SC","A",4,-99
1987,"SC","A",8,-99
1987,"SC","A",12,-99
1987,"SC","A",15,-99
1987,"SC","C",3,-99
1987,"SC","C",5,-99
1987,"SC","C",7,-99
1987,"SC","C",11,-99
1987,"SC","C",13,-99
1987,"SC","E",1,-99
1987,"SC","E",6,-99
1987,"SC","E",9,-99
1987,"SC","E",10,-99
1987,"SC","E",14,-99
1987,"SP","A",2,-99
1987,"SP","A",5,-99
1987,"SP","A",9,-99
1987,"SP","A",11,-99
1987,"SP","A",13,-99
1987,"SP","C",3,-99
1987,"SP","C",6,-99
1987,"SP","C",7,-99
1987,"SP","C",12,-99
1987,"SP","C",15,-99
1987,"SP","E",1,-99
1987,"SP","E",4,-99
1987,"SP","E",8,-99
1987,"SP","E",10,-99
1987,"SP","E",14,-99
1988,"MX","A",2,249.6316268
1988,"MX","A",6,259.4287864
1988,"MX","A",9,230.8210804
1988,"MX","A",12,273.1448099
1988,"MX","A",15,177.9164185
1988,"MX","C",3,166.0291981
1988,"MX","C",5,155.970781
1988,"MX","C",7,279.2843632
1988,"MX","C",10,180.3983656
1988,"MX","C",14,189.2811236
1988,"MX","E",1,252.6360891
1988,"MX","E",4,340.9411543
1988,"MX","E",8,256.1630665
1988,"MX","E",11,309.1983572
1988,"MX","E",13,402.4673167
1988,"SC","A",2,-99
1988,"SC","A",4,-99
1988,"SC","A",8,-99
1988,"SC","A",12,-99
1988,"SC","A",15,-99
1988,"SC","C",3,-99
1988,"SC","C",5,-99
1988,"SC","C",7,-99
1988,"SC","C",11,-99
1988,"SC","C",13,-99
1988,"SC","E",1,-99
1988,"SC","E",6,-99
1988,"SC","E",9,-99
1988,"SC","E",10,-99
1988,"SC","E",14,-99
1988,"SP","A",2,-99
1988,"SP","A",5,-99
1988,"SP","A",9,-99
1988,"SP","A",11,-99
1988,"SP","A",13,-99
1988,"SP","C",3,-99
1988,"SP","C",6,-99
1988,"SP","C",7,-99
1988,"SP","C",12,-99
1988,"SP","C",15,-99
1988,"SP","E",1,-99
1988,"SP","E",4,-99
1988,"SP","E",8,-99
1988,"SP","E",10,-99
1988,"SP","E",14,-99
1989,"MX","A",2,-99
1989,"MX","A",6,-99
1989,"MX","A",9,-99
1989,"MX","A",12,-99
1989,"MX","A",15,-99
1989,"MX","C",3,-99
1989,"MX","C",5,-99
1989,"MX","C",7,-99
1989,"MX","C",10,-99
1989,"MX","C",14,-99
1989,"MX","E",1,-99
1989,"MX","E",4,-99
1989,"MX","E",8,-99
1989,"MX","E",11,-99
1989,"MX","E",13,-99
1989,"SC","A",2,-99
1989,"SC","A",4,-99
1989,"SC","A",8,-99
1989,"SC","A",12,-99
1989,"SC","A",15,-99
1989,"SC","C",3,-99
1989,"SC","C",5,-99
1989,"SC","C",7,-99
1989,"SC","C",11,-99
1989,"SC","C",13,-99
1989,"SC","E",1,-99
1989,"SC","E",6,-99
1989,"SC","E",9,-99
1989,"SC","E",10,-99
1989,"SC","E",14,-99
1989,"SP","A",2,-99
1989,"SP","A",5,-99
1989,"SP","A",9,-99
1989,"SP","A",11,-99
1989,"SP","A",13,-99
1989,"SP","C",3,-99
1989,"SP","C",6,-99
1989,"SP","C",7,-99
1989,"SP","C",12,-99
1989,"SP","C",15,-99
1989,"SP","E",1,-99
1989,"SP","E",4,-99
1989,"SP","E",8,-99
1989,"SP","E",10,-99
1989,"SP","E",14,-99
1990,"MX","A",2,-99
1990,"MX","A",6,-99
1990,"MX","A",9,-99
1990,"MX","A",12,-99
1990,"MX","A",15,-99
1990,"MX","C",3,-99
1990,"MX","C",5,-99
1990,"MX","C",7,-99
1990,"MX","C",10,-99
1990,"MX","C",14,-99
1990,"MX","E",1,-99
1990,"MX","E",4,-99
1990,"MX","E",8,-99
1990,"MX","E",11,-99
1990,"MX","E",13,-99
1990,"SC","A",2,-99
1990,"SC","A",4,-99
1990,"SC","A",8,-99
1990,"SC","A",12,-99
1990,"SC","A",15,-99
1990,"SC","C",3,-99
1990,"SC","C",5,-99
1990,"SC","C",7,-99
1990,"SC","C",11,-99
1990,"SC","C",13,-99
1990,"SC","E",1,-99
1990,"SC","E",6,-99
1990,"SC","E",9,-99
1990,"SC","E",10,-99
1990,"SC","E",14,-99
1990,"SP","A",2,-99
1990,"SP","A",5,-99
1990,"SP","A",9,-99
1990,"SP","A",11,-99
1990,"SP","A",13,-99
1990,"SP","C",3,-99
1990,"SP","C",6,-99
1990,"SP","C",7,-99
1990,"SP","C",12,-99
1990,"SP","C",15,-99
1990,"SP","E",1,-99
1990,"SP","E",4,-99
1990,"SP","E",8,-99
1990,"SP","E",10,-99
1990,"SP","E",14,-99
1991,"MX","A",2,-99
1991,"MX","A",6,-99
1991,"MX","A",9,-99
1991,"MX","A",12,-99
1991,"MX","A",15,-99
1991,"MX","C",3,-99
1991,"MX","C",5,-99
1991,"MX","C",7,-99
1991,"MX","C",10,-99
1991,"MX","C",14,-99
1991,"MX","E",1,-99
1991,"MX","E",4,-99
1991,"MX","E",8,-99
1991,"MX","E",11,-99
1991,"MX","E",13,-99
1991,"SC","A",2,-99
1991,"SC","A",4,-99
1991,"SC","A",8,-99
1991,"SC","A",12,-99
1991,"SC","A",15,-99
1991,"SC","C",3,-99
1991,"SC","C",5,-99
1991,"SC","C",7,-99
1991,"SC","C",11,-99
1991,"SC","C",13,-99
1991,"SC","E",1,-99
1991,"SC","E",6,-99
1991,"SC","E",9,-99
1991,"SC","E",10,-99
1991,"SC","E",14,-99
1991,"SP","A",2,-99
1991,"SP","A",5,-99
1991,"SP","A",9,-99
1991,"SP","A",11,-99
1991,"SP","A",13,-99
1991,"SP","C",3,-99
1991,"SP","C",6,-99
1991,"SP","C",7,-99
1991,"SP","C",12,-99
1991,"SP","C",15,-99
1991,"SP","E",1,-99
1991,"SP","E",4,-99
1991,"SP","E",8,-99
1991,"SP","E",10,-99
1991,"SP","E",14,-99
1992,"MX","A",2,220.1029877
1992,"MX","A",6,253.615805
1992,"MX","A",9,166.9435997
1992,"MX","A",12,383.5261414
1992,"MX","A",15,159.6283872
1992,"MX","C",3,189.6860729
1992,"MX","C",5,330.464725
1992,"MX","C",7,245.712763
1992,"MX","C",10,205.609723
1992,"MX","C",14,262.5638775
1992,"MX","E",1,312.7906491
1992,"MX","E",4,767.4441693
1992,"MX","E",8,233.8255426
1992,"MX","E",11,292.7391291
1992,"MX","E",13,509.5829284
1992,"SC","A",2,195.1594194
1992,"SC","A",4,392.2782707
1992,"SC","A",8,200.7764576
1992,"SC","A",12,258.2531273
1992,"SC","A",15,262.9557639
1992,"SC","C",3,90.39512598
1992,"SC","C",5,131.8044539
1992,"SC","C",7,27.82393329
1992,"SC","C",11,137.6827497
1992,"SC","C",13,133.633257
1992,"SC","E",1,578.9468184
1992,"SC","E",6,422.4535223
1992,"SC","E",9,347.9951093
1992,"SC","E",10,284.9014014
1992,"SC","E",14,434.4713714
1992,"SP","A",2,104.6597904
1992,"SP","A",5,197.2494801
1992,"SP","A",9,112.8110272
1992,"SP","A",11,127.8333386
1992,"SP","A",13,172.1295629
1992,"SP","C",3,242.3817287
1992,"SP","C",6,134.0904578
1992,"SP","C",7,207.5430291
1992,"SP","C",12,150.1969882
1992,"SP","C",15,216.2429069
1992,"SP","E",1,186.9298053
1992,"SP","E",4,207.882664
1992,"SP","E",8,109.4342728
1992,"SP","E",10,141.3272931
1992,"SP","E",14,227.5814862
1993,"MX","A",2,-99
1993,"MX","A",6,-99
1993,"MX","A",9,-99
1993,"MX","A",12,-99
1993,"MX","A",15,-99
1993,"MX","C",3,-99
1993,"MX","C",5,-99
1993,"MX","C",7,-99
1993,"MX","C",10,-99
1993,"MX","C",14,-99
1993,"MX","E",1,-99
1993,"MX","E",4,-99
1993,"MX","E",8,-99
1993,"MX","E",11,-99
1993,"MX","E",13,-99
1993,"SC","A",2,-99
1993,"SC","A",4,-99
1993,"SC","A",8,-99
1993,"SC","A",12,-99
1993,"SC","A",15,-99
1993,"SC","C",3,-99
1993,"SC","C",5,-99
1993,"SC","C",7,-99
1993,"SC","C",11,-99
1993,"SC","C",13,-99
1993,"SC","E",1,-99
1993,"SC","E",6,-99
1993,"SC","E",9,-99
1993,"SC","E",10,-99
1993,"SC","E",14,-99
1993,"SP","A",2,-99
1993,"SP","A",5,-99
1993,"SP","A",9,-99
1993,"SP","A",11,-99
1993,"SP","A",13,-99
1993,"SP","C",3,-99
1993,"SP","C",6,-99
1993,"SP","C",7,-99
1993,"SP","C",12,-99
1993,"SP","C",15,-99
1993,"SP","E",1,-99
1993,"SP","E",4,-99
1993,"SP","E",8,-99
1993,"SP","E",10,-99
1993,"SP","E",14,-99
1994,"MX","A",2,-99
1994,"MX","A",6,-99
1994,"MX","A",9,-99
1994,"MX","A",12,-99
1994,"MX","A",15,-99
1994,"MX","C",3,-99
1994,"MX","C",5,-99
1994,"MX","C",7,-99
1994,"MX","C",10,-99
1994,"MX","C",14,-99
1994,"MX","E",1,-99
1994,"MX","E",4,-99
1994,"MX","E",8,-99
1994,"MX","E",11,-99
1994,"MX","E",13,-99
1994,"SC","A",2,-99
1994,"SC","A",4,-99
1994,"SC","A",8,-99
1994,"SC","A",12,-99
1994,"SC","A",15,-99
1994,"SC","C",3,-99
1994,"SC","C",5,-99
1994,"SC","C",7,-99
1994,"SC","C",11,-99
1994,"SC","C",13,-99
1994,"SC","E",1,-99
1994,"SC","E",6,-99
1994,"SC","E",9,-99
1994,"SC","E",10,-99
1994,"SC","E",14,-99
1994,"SP","A",2,-99
1994,"SP","A",5,-99
1994,"SP","A",9,-99
1994,"SP","A",11,-99
1994,"SP","A",13,-99
1994,"SP","C",3,-99
1994,"SP","C",6,-99
1994,"SP","C",7,-99
1994,"SP","C",12,-99
1994,"SP","C",15,-99
1994,"SP","E",1,-99
1994,"SP","E",4,-99
1994,"SP","E",8,-99
1994,"SP","E",10,-99
1994,"SP","E",14,-99
1995,"MX","A",2,209.9335361
1995,"MX","A",6,270.0097188
1995,"MX","A",9,166.1075754
1995,"MX","A",12,164.422464
1995,"MX","A",15,-99
1995,"MX","C",3,238.5673679
1995,"MX","C",5,215.8640834
1995,"MX","C",7,136.4809648
1995,"MX","C",10,125.8608438
1995,"MX","C",14,219.6392555
1995,"MX","E",1,360.4309705
1995,"MX","E",4,194.4278981
1995,"MX","E",8,339.6348664
1995,"MX","E",11,102.3084721
1995,"MX","E",13,279.8330041
1995,"SC","A",2,-99
1995,"SC","A",4,-99
1995,"SC","A",8,-99
1995,"SC","A",12,-99
1995,"SC","A",15,-99
1995,"SC","C",3,-99
1995,"SC","C",5,-99
1995,"SC","C",7,-99
1995,"SC","C",11,-99
1995,"SC","C",13,-99
1995,"SC","E",1,-99
1995,"SC","E",6,-99
1995,"SC","E",9,-99
1995,"SC","E",10,-99
1995,"SC","E",14,-99
1995,"SP","A",2,-99
1995,"SP","A",5,-99
1995,"SP","A",9,-99
1995,"SP","A",11,-99
1995,"SP","A",13,-99
1995,"SP","C",3,-99
1995,"SP","C",6,-99
1995,"SP","C",7,-99
