Year,Community,Chamber,Treatment,Core,Corelength,RootMass,C3RhizMass,C4RhizMass,OtherRhizMass,TotalRhizMass,RootRhizMass,,
1987,MX,1,E,1,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,1,E,2,12,0.44,0.03,0.18,-99,-99,-99,,
1987,MX,1,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,4,E,1,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,4,E,2,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,4,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,8,E,1,12,1.05,1.87,1.06,-99,-99,-99,,
1987,MX,8,E,2,16,0.57,0.4,0.42,-99,-99,-99,,
1987,MX,8,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,11,E,1,13,0.52,0.83,0.5,-99,-99,-99,,
1987,MX,11,E,2,12.5,0.58,0.4,0.08,-99,-99,-99,,
1987,MX,11,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,13,E,1,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,13,E,2,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,13,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,2,A,1,13,0.59,0,0.38,-99,-99,-99,,
1987,MX,2,A,2,14,0.37,0.22,0.19,-99,-99,-99,,
1987,MX,2,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,6,A,1,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,6,A,2,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,6,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,9,A,1,12,0.54,0.1,0.27,-99,-99,-99,,
1987,MX,9,A,2,11,0.53,0,0.67,-99,-99,-99,,
1987,MX,9,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,12,A,1,16,0.4,0.44,0.18,-99,-99,-99,,
1987,MX,12,A,2,13,0.46,0.38,0.14,-99,-99,-99,,
1987,MX,12,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,15,A,1,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,15,A,2,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,15,A,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,3,C,1,17,0.24,0,0.25,-99,-99,-99,,
1987,MX,3,C,2,13,0.33,0,0.37,-99,-99,-99,,
1987,MX,3,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,5,C,1,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,5,C,2,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,5,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,7,C,1,20,0.42,0,0.34,-99,-99,-99,,
1987,MX,7,C,2,18,1.02,0,0.65,-99,-99,-99,,
1987,MX,7,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,10,C,1,13,1.64,1.08,0.48,-99,-99,-99,,
1987,MX,10,C,2,12,0.69,0,0.45,-99,-99,-99,,
1987,MX,10,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,14,C,1,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,14,C,2,-99,-99,-99,-99,-99,-99,-99,,
1987,MX,14,C,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,1,E,1,10,0.42,-99,-99,-99,0.6,-99,,
1987,SC,1,E,2,12,0.52,-99,-99,-99,1.01,-99,,
1987,SC,1,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,6,E,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,6,E,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,6,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,9,E,1,6,0.4,-99,-99,-99,0.42,-99,,
1987,SC,9,E,2,10,0.44,-99,-99,-99,1.22,-99,,
1987,SC,9,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,10,E,1,9,0.46,-99,-99,-99,0,-99,,
1987,SC,10,E,2,9,0.44,-99,-99,-99,0.09,-99,,
1987,SC,10,E,3,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,14,E,1,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,14,E,2,-99,-99,-99,-99,-99,-99,-99,,
1987,SC,14,E,3,-99,-99,-99,-99,-99,-99,-99,,
