"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",1.084,"Sp8-40",50,"Ok",4102.852244287,4102.852244287,"Within_Range"
"2","A05",0.933,"Sp8-40",50,"Ok",3470.8671451046,3470.8671451046,"Within_Range"
"3","A06",1.124,"Sp8-40",50,"Ok",4270.2655155936,4270.2655155936,"Within_Range"
"4","A07",0.607,"Sp13-40",50,"Ok",2106.44898395582,2106.44898395582,"Within_Range"
"5","A08",0.627,"Sp13-40",50,"Ok",2190.15561960912,2190.15561960912,"Within_Range"
"6","A09",0.581,"Sp13-40",50,"Ok",1997.63035760653,1997.63035760653,"Within_Range"
"7","A10",0.826,"Sc1-20",50,"Ok",3023.03664435944,3023.03664435944,"Within_Range"
"8","A11",0.866,"Sc1-20",50,"Ok",3190.44991566604,3190.44991566604,"Within_Range"
"9","A12",0.842,"Sc1-20",50,"Ok",3090.00195288208,3090.00195288208,"Within_Range"
"10","B04",0.395,"Sp9-20",50,"Ok",1219.15864603085,1219.15864603085,"Within_Range"
"11","B05",0.393,"Sp9-20",50,"Ok",1210.78798246552,1210.78798246552,"Within_Range"
"12","B06",0.452,"Sp9-20",50,"Ok",1457.72255764275,1457.72255764275,"Within_Range"
"13","B10",0.727,"Sc2-20",50,"Ok",2608.68879787561,2608.68879787561,"Within_Range"
"14","B11",0.664,"Sc2-20",50,"Ok",2345.01289556772,2345.01289556772,"Within_Range"
"15","B12",0.727,"Sc2-20",50,"Ok",2608.68879787561,2608.68879787561,"Within_Range"
"16","C04",0.782,"Sp9-40",50,"Ok",2838.88204592219,2838.88204592219,"Within_Range"
"17","C05",0.73,"Sp9-40",50,"Ok",2621.24479322361,2621.24479322361,"Within_Range"
"18","C06",0.762,"Sp9-40",50,"Ok",2755.17541026889,2755.17541026889,"Within_Range"
"19","C07",0.558,"Sp13-40 Dup",50,"Ok",1901.36772660524,1901.36772660524,"Within_Range"
"20","C08",0.583,"Sp13-40 Dup",50,"Ok",2006.00102117186,2006.00102117186,"Within_Range"
"21","C09",0.562,"Sp13-40 Dup",50,"Ok",1918.1090537359,1918.1090537359,"Within_Range"
"22","C10",0.857,"Sc2-40",50,"Ok",3152.78192962206,3152.78192962206,"Within_Range"
"23","C11",0.866,"Sc2-40",50,"Ok",3190.44991566604,3190.44991566604,"Within_Range"
"24","C12",0.668,"Sc2-40",50,"Ok",2361.75422269838,2361.75422269838,"Within_Range"
"25","D04",0.683,"Sp10-20",50,"Ok",2424.53419943836,2424.53419943836,"Within_Range"
"26","D05",0.936,"Sp10-20",50,"Ok",3483.42314045259,3483.42314045259,"Within_Range"
"27","D06",0.907,"Sp10-20",50,"Ok",3362.04851875531,3362.04851875531,"Within_Range"
"28","D10",0.805,"Sp8-20 Spike",50,"Ok",2935.14467692348,2935.14467692348,"Within_Range"
"29","D11",0.823,"Sp8-20 Spike",50,"Ok",3010.48064901145,3010.48064901145,"Within_Range"
"30","D12",0.76,"Sp8-20 Spike",50,"Ok",2746.80474670356,2746.80474670356,"Within_Range"
"31","E04",0.971,"Sp10-40",50,"Ok",3629.90975284586,3629.90975284586,"Within_Range"
"32","E05",0.991,"Sp10-40",50,"Ok",3713.61638849916,3713.61638849916,"Within_Range"
"33","E06",1.051,"Sp10-40",50,"Ok",3964.73629545906,3964.73629545906,"Within_Range"
"34","E07",0.972,"Sp14-20",50,"Ok",3634.09508462853,3634.09508462853,"Within_Range"
"35","E08",0.962,"Sp14-20",50,"Ok",3592.24176680188,3592.24176680188,"Within_Range"
"36","E09",0.877,"Sp14-20",50,"Ok",3236.48856527536,3236.48856527536,"Within_Range"
"37","E10",0.898,"Sp14-20 Spike",50,"Ok",3324.38053271132,3324.38053271132,"Within_Range"
"38","E11",0.877,"Sp14-20 Spike",50,"Ok",3236.48856527536,3236.48856527536,"Within_Range"
"39","E12",0.88,"Sp14-20 Spike",50,"Ok",3249.04456062335,3249.04456062335,"Within_Range"
"40","F04",1.047,"Sp11-20",50,"Ok",3947.9949683284,3947.9949683284,"Within_Range"
"41","F05",0.936,"Sp11-20",50,"Ok",3483.42314045259,3483.42314045259,"Within_Range"
"42","F06",1.058,"Sp11-20",50,"Ok",3994.03361793771,3994.03361793771,"Within_Range"
"43","F07",1.176,"Sp14-40",50,"Ok",4487.90276829218,4487.90276829218,"Within_Range"
"44","F08",0.989,"Sp14-40",50,"Ok",3705.24572493383,3705.24572493383,"Within_Range"
"45","F09",0.99,"Sp14-40",50,"Ok",3709.4310567165,3709.4310567165,"Within_Range"
"46","G04",0.54,"Sp11-40",50,"Ok",1826.03175451727,1826.03175451727,"Within_Range"
"47","G05",0.476,"Sp11-40",50,"Ok",1558.17052042671,1558.17052042671,"Within_Range"
"48","G06",0.464,"Sp11-40",50,"Ok",1507.94653903473,1507.94653903473,"Within_Range"
"49","G07",1.165,"Sc1-80",50,"Ok",4441.86411868286,4441.86411868286,"Within_Range"
"50","G08",0.849,"Sc1-80",50,"Ok",3119.29927536074,3119.29927536074,"Within_Range"
"51","G09",1.001,"Sc1-80",50,"Ok",3755.46970632581,3755.46970632581,"Within_Range"
"52","G10",0.871,"Sc2-40 Dup",50,"Ok",3211.37657457937,3211.37657457937,"Within_Range"
"53","G11",0.802,"Sc2-40 Dup",50,"Ok",2922.58868157549,2922.58868157549,"Within_Range"
"54","G12",0.942,"Sc2-40 Dup",50,"Ok",3508.53513114858,3508.53513114858,"Within_Range"
"55","H01",0.715,"Sp8-20",50,"Ok",2558.46481648363,2558.46481648363,"Within_Range"
"56","H02",0.724,"Sp8-20",50,"Ok",2596.13280252762,2596.13280252762,"Within_Range"
"57","H03",0.631,"Sp8-20",50,"Ok",2206.89694673978,2206.89694673978,"Within_Range"
"58","H04",0.446,"Sp13-20",50,"Ok",1432.61056694676,1432.61056694676,"Within_Range"
"59","H05",0.418,"Sp13-20",50,"Ok",1315.42127703214,1315.42127703214,"Within_Range"
"60","H06",0.43,"Sp13-20",50,"Ok",1365.64525842412,1365.64525842412,"Within_Range"
"61","H07",0.815,"Sc1-40",50,"Ok",2976.99799475013,2976.99799475013,"Within_Range"
"62","H08",0.946,"Sc1-40",50,"Ok",3525.27645827924,3525.27645827924,"Within_Range"
"63","H09",0.886,"Sc1-40",50,"Ok",3274.15655131934,3274.15655131934,"Within_Range"
