"","IDs","H2S_info"
"1","P3B-20","bdl"
"2","P3B-20","bdl"
"3","P3B-20","bdl"
"4","P5B-20","Within_Range"
"5","P5B-20","Within_Range"
"6","P5B-20","Within_Range"
"7","P6B-40","Within_Range"
"8","P6B-40","Within_Range"
"9","P6B-40","Within_Range"
"10","P3B-40","Within_Range"
"11","P3B-40","Within_Range"
"12","P3B-40","Within_Range"
"13","P7A-20","Within_Range"
"14","P7A-20","Within_Range"
"15","P7A-20","Within_Range"
"16","P4A-20","Within_Range"
"17","P4A-20","Within_Range"
"18","P4A-20","Within_Range"
"19","P5B-20 Dup","Within_Range"
"20","P5B-20 Dup","Within_Range"
"21","P5B-20 Dup","Within_Range"
"22","P7A-40","Within_Range"
"23","P7A-40","Within_Range"
"24","P7A-40","Within_Range"
"25","P4A-40","Within_Range"
"26","P4A-40","Within_Range"
"27","P4A-40","Within_Range"
"28","P3A-40 Spike","Within_Range"
"29","P3A-40 Spike","Within_Range"
"30","P3A-40 Spike","Within_Range"
"31","P4B-20","Within_Range"
"32","P4B-20","Within_Range"
"33","P4B-20","Within_Range"
"34","P5B-40","Within_Range"
"35","P5B-40","Within_Range"
"36","P5B-40","Within_Range"
"37","P5B-40 Spike","Within_Range"
"38","P5B-40 Spike","Within_Range"
"39","P5B-40 Spike","Within_Range"
"40","P4B-40","Within_Range"
"41","P4B-40","Within_Range"
"42","P4B-40","Within_Range"
"43","P6A-20","Within_Range"
"44","P6A-20","Within_Range"
"45","P6A-20","Within_Range"
"46","P5A-20","Within_Range"
"47","P5A-20","Within_Range"
"48","P5A-20","Within_Range"
"49","P6A-40","Within_Range"
"50","P6A-40","Within_Range"
"51","P6A-40","Within_Range"
"52","P7A-40 Dup","Within_Range"
"53","P7A-40 Dup","Within_Range"
"54","P7A-40 Dup","Within_Range"
"55","P3A-40","bdl"
"56","P3A-40","Within_Range"
"57","P3A-40","bdl"
"58","P5A-40","Within_Range"
"59","P5A-40","Within_Range"
"60","P5A-40","Within_Range"
"61","P6B-20","Within_Range"
"62","P6B-20","Within_Range"
"63","P6B-20","Within_Range"
