"","IDs","H2S_Conc_Final","H2S_info"
"1","L1-40",4083.87030034858,"Within_Range"
"2","L1-40",4151.37663249583,"Within_Range"
"3","L1-40",4493.40871537521,"Within_Range"
"4","L4-20",3305.29726958368,"Within_Range"
"5","L4-20",3260.29304815218,"Within_Range"
"6","L4-20",3381.80444601723,"Within_Range"
"7","L5-80",3917.35468105204,"Within_Range"
"8","L5-80",3476.31331102337,"Within_Range"
"9","L5-80",3746.33863961235,"Within_Range"
"10","L1-80",4227.88380892937,"Within_Range"
"11","L1-80",4331.39351822182,"Within_Range"
"12","L1-80",4520.4112482341,"Within_Range"
"13","L6-20",3215.28882672069,"Within_Range"
"14","L6-20",3026.2710967084,"Within_Range"
"15","L6-20",2922.76138741595,"Within_Range"
"16","L2-20",3413.30740101927,"Within_Range"
"17","L2-20",3494.31499959597,"Within_Range"
"18","L2-20",2837.25336669611,"Within_Range"
"19","L4-20 Dup",3687.83315175141,"Within_Range"
"20","L4-20 Dup",3215.28882672069,"Within_Range"
"21","L4-20 Dup",3192.78671600494,"Within_Range"
"22","L6-40",3098.27785099879,"Within_Range"
"23","L6-40",3179.28544957549,"Within_Range"
"24","L6-40",3503.31584388227,"Within_Range"
"25","L2-40",4272.88803036087,"Within_Range"
"26","L2-40",3633.82808603361,"Within_Range"
"27","L2-40",3161.28376100289,"Within_Range"
"28","L1-20 Spike",4353.89562893756,"Within_Range"
"29","L1-20 Spike",3588.82386460211,"Within_Range"
"30","L1-20 Spike",3804.8441274733,"Within_Range"
"31","L2-80",3588.82386460211,"Within_Range"
"32","L2-80",2864.25589955501,"Within_Range"
"33","L2-80",3233.29051529329,"Within_Range"
"34","L4-40",3966.85932462669,"Within_Range"
"35","L4-40",3611.32597531786,"Within_Range"
"36","L4-40",3255.79262600903,"Within_Range"
"37","L4-40 Spike",3206.28798243439,"Within_Range"
"38","L4-40 Spike",3188.28629386179,"Within_Range"
"39","L4-40 Spike",3705.83484032401,"Within_Range"
"40","L3-20",3053.2736295673,"Within_Range"
"41","L3-20",3404.30655673297,"Within_Range"
"42","L3-20",3102.77827314194,"Within_Range"
"43","L4-80",3881.35130390684,"Within_Range"
"44","L4-80",4290.88971893347,"Within_Range"
"45","L4-80",3894.85257033629,"Within_Range"
"46","L3-40",4749.93277753474,"Within_Range"
"47","L3-40",3201.78756029124,"Within_Range"
"48","L3-40",3480.81373316652,"Within_Range"
"49","L5-20",2387.21115238114,"Within_Range"
"50","L5-20",3039.77236313785,"Within_Range"
"51","L5-20",2607.73183739547,"Within_Range"
"52","L6-40 Dup",3584.32344245896,"Within_Range"
"53","L6-40 Dup",3192.78671600494,"Within_Range"
"54","L6-40 Dup",3728.33695103975,"Within_Range"
"55","L1-20",3620.32681960416,"Within_Range"
"56","L1-20",3179.28544957549,"Within_Range"
"57","L1-20",3134.28122814399,"Within_Range"
"58","L3-80",3260.29304815218,"Within_Range"
"59","L3-80",3093.77742885564,"Within_Range"
"60","L3-80",3548.32006531377,"Within_Range"
"61","L5-40",2607.73183739547,"Within_Range"
"62","L5-40",2864.25589955501,"Within_Range"
"63","L5-40",2882.25758812761,"Within_Range"
"64","L7-20",2744.77016156193,"Within_Range"
"65","L7-20",2619.2217925879,"Within_Range"
"66","L7-20",2242.5766856658,"Within_Range"
"67","L9-80",3153.96484562544,"Within_Range"
"68","L9-80",2716.87052401215,"Within_Range"
"69","L9-80",2661.07124891258,"Within_Range"
"70","L11-40",2279.77620239885,"Within_Range"
"71","L11-40",2219.32698770765,"Within_Range"
"72","L11-40",2530.87294034691,"Within_Range"
"73","L7-40",2628.52167177116,"Within_Range"
"74","L7-40",2414.62445055614,"Within_Range"
"75","L7-40",2572.72239667159,"Within_Range"
"76","L11-80",2465.77378606408,"Within_Range"
"77","L11-80",2740.1202219703,"Within_Range"
"78","L11-80",2502.97330279713,"Within_Range"
"79","L7-80",3423.66134194003,"Within_Range"
"80","L7-80",2582.02227585485,"Within_Range"
"81","L7-80",2623.87173217953,"Within_Range"
"82","L9-80 Dup",2814.51925543639,"Within_Range"
"83","L9-80 Dup",3456.21091908145,"Within_Range"
"84","L9-80 Dup",3251.61357704969,"Within_Range"
"85","L12-20",2977.26714114347,"Within_Range"
"86","L12-20",3135.36508725892,"Within_Range"
"87","L12-20",3209.76412072501,"Within_Range"
"88","L8-20",2884.26834931086,"Within_Range"
"89","L8-20",2530.87294034691,"Within_Range"
"90","L8-20",3084.21575175098,"Within_Range"
"91","L6-80 Spike",3758.45699253745,"Within_Range"
"92","L6-80 Spike",3312.06279174089,"Within_Range"
"93","L6-80 Spike",3688.70789866299,"Within_Range"
"94","L8-40",2633.17161136279,"Within_Range"
"95","L8-40",2888.91828890249,"Within_Range"
"96","L8-40",2530.87294034691,"Within_Range"
"97","L10-20",3135.36508725892,"Within_Range"
"98","L10-20",3372.51200643209,"Within_Range"
"99","L10-20",2786.61961788661,"Within_Range"
"100","L10-20 Spike",3381.81188561535,"Within_Range"
"101","L10-20 Spike",2940.06762441043,"Within_Range"
"102","L10-20 Spike",2819.16919502803,"Within_Range"
"103","L8-80",3307.41285214926,"Within_Range"
"104","L8-80",2981.9170807351,"Within_Range"
"105","L8-80",3070.26593297609,"Within_Range"
"106","L10-40",2540.17281953018,"Within_Range"
"107","L10-40",2577.37233626322,"Within_Range"
"108","L10-40",2502.97330279713,"Within_Range"
"109","L9-20",3186.51442276686,"Within_Range"
"110","L9-20",3460.86085867308,"Within_Range"
"111","L9-20",3470.16073785634,"Within_Range"
"112","L10-80",3967.70427416084,"Within_Range"
"113","L10-80",3884.00536151148,"Within_Range"
"114","L10-80",3679.40801947973,"Within_Range"
"115","L12-20 Dup",3312.06279174089,"Within_Range"
"116","L12-20 Dup",3391.11176479862,"Within_Range"
"117","L12-20 Dup",3070.26593297609,"Within_Range"
"118","L6-80",3372.51200643209,"Within_Range"
"119","L6-80",3293.46303337437,"Within_Range"
"120","L6-80",3070.26593297609,"Within_Range"
"121","L9-40",2103.07849791688,"Within_Range"
"122","L9-40",2056.57910200057,"Within_Range"
"123","L9-40",1898.48115588512,"Within_Range"
"124","L11-20",2819.16919502803,"Within_Range"
"125","L11-20",2251.87656484906,"Within_Range"
"126","L11-20",1791.53254527761,"Within_Range"
"127","L12-80",2809.66799304995,"Within_Range"
"128","L12-80",2791.14458726823,"Within_Range"
"129","L12-80",2564.23286644211,"Within_Range"
"130","L15-40",3018.05630809435,"Within_Range"
"131","L15-40",3305.16909771107,"Within_Range"
"132","L15-40",3532.08081853719,"Within_Range"
"133","L17-20",2203.02645369849,"Within_Range"
"134","L17-20",2490.13924331521,"Within_Range"
"135","L17-20",1878.86685251831,"Within_Range"
"136","L13-20",3008.79460520349,"Within_Range"
"137","L13-20",3004.16375375806,"Within_Range"
"138","L13-20",2564.23286644211,"Within_Range"
"139","L17-40",1966.8530299815,"Within_Range"
"140","L17-40",1744.57216060081,"Within_Range"
"141","L17-40",1971.48388142693,"Within_Range"
"142","L13-40",2981.0094965309,"Within_Range"
"143","L13-40",2749.46692425935,"Within_Range"
"144","L13-40",3388.52442372883,"Within_Range"
"145","L15-40 Dup",4032.21277464374,"Within_Range"
"146","L15-40 Dup",3717.31487635443,"Within_Range"
"147","L15-40 Dup",3888.65637983538,"Within_Range"
"148","L17-80",2494.77009476064,"Within_Range"
"149","L17-80",2064.10091033556,"Within_Range"
"150","L17-80",3207.92121735702,"Within_Range"
"151","L13-80",3995.1659630803,"Within_Range"
"152","L13-80",3203.29036591159,"Within_Range"
"153","L13-80",3305.16909771107,"Within_Range"
"154","L12-40 Spike",2554.97116355125,"Within_Range"
"155","L12-40 Spike",2703.15840980504,"Within_Range"
"156","L12-40 Spike",3018.05630809435,"Within_Range"
"157","L14-20",3518.1882642009,"Within_Range"
"158","L14-20",3106.04248555754,"Within_Range"
"159","L14-20",3680.26806479099,"Within_Range"
"160","L15-80",3518.1882642009,"Within_Range"
"161","L15-80",3059.73397110323,"Within_Range"
"162","L15-80",2879.13076473142,"Within_Range"
"163","L15-80 Spike",3286.64569192935,"Within_Range"
"164","L15-80 Spike",3434.83293818314,"Within_Range"
"165","L15-80 Spike",3745.09998502702,"Within_Range"
"166","L14-40",3453.35634396487,"Within_Range"
"167","L14-40",3606.17444166409,"Within_Range"
