"","IDs","H2S_info"
"1","Sp8-40","Within_Range"
"2","Sp8-40","Within_Range"
"3","Sp8-40","Within_Range"
"4","Sp13-40","Within_Range"
"5","Sp13-40","Within_Range"
"6","Sp13-40","Within_Range"
"7","Sc1-20","Within_Range"
"8","Sc1-20","Within_Range"
"9","Sc1-20","Within_Range"
"10","Sp9-20","Within_Range"
"11","Sp9-20","Within_Range"
"12","Sp9-20","Within_Range"
"13","Sc2-20","Within_Range"
"14","Sc2-20","Within_Range"
"15","Sc2-20","Within_Range"
"16","Sp9-40","Within_Range"
"17","Sp9-40","Within_Range"
"18","Sp9-40","Within_Range"
"19","Sp13-40 Dup","Within_Range"
"20","Sp13-40 Dup","Within_Range"
"21","Sp13-40 Dup","Within_Range"
"22","Sc2-40","Within_Range"
"23","Sc2-40","Within_Range"
"24","Sc2-40","Within_Range"
"25","Sp10-20","Within_Range"
"26","Sp10-20","Within_Range"
"27","Sp10-20","Within_Range"
"28","Sp8-20 Spike","Within_Range"
"29","Sp8-20 Spike","Within_Range"
"30","Sp8-20 Spike","Within_Range"
"31","Sp10-40","Within_Range"
"32","Sp10-40","Within_Range"
"33","Sp10-40","Within_Range"
"34","Sp14-20","Within_Range"
"35","Sp14-20","Within_Range"
"36","Sp14-20","Within_Range"
"37","Sp14-20 Spike","Within_Range"
"38","Sp14-20 Spike","Within_Range"
"39","Sp14-20 Spike","Within_Range"
"40","Sp11-20","Within_Range"
"41","Sp11-20","Within_Range"
"42","Sp11-20","Within_Range"
"43","Sp14-40","Within_Range"
"44","Sp14-40","Within_Range"
"45","Sp14-40","Within_Range"
"46","Sp11-40","Within_Range"
"47","Sp11-40","Within_Range"
"48","Sp11-40","Within_Range"
"49","Sc1-80","Within_Range"
"50","Sc1-80","Within_Range"
"51","Sc1-80","Within_Range"
"52","Sc2-40 Dup","Within_Range"
"53","Sc2-40 Dup","Within_Range"
"54","Sc2-40 Dup","Within_Range"
"55","Sp8-20","Within_Range"
"56","Sp8-20","Within_Range"
"57","Sp8-20","Within_Range"
"58","Sp13-20","Within_Range"
"59","Sp13-20","Within_Range"
"60","Sp13-20","Within_Range"
"61","Sc1-40","Within_Range"
"62","Sc1-40","Within_Range"
"63","Sc1-40","Within_Range"
