"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","Dilution","H2S_cv_flag"
"1","L11-20",2535.52287993854,401.136465716695,15.8206604598424,"Within_Range",50,"High CV"
"2","L17-80",2279.4355025481,304.529100755058,13.3598472259748,"Within_Range",50,"High CV"
"3","L12-40",2619.80308378728,356.996299569973,13.6268371382282,"Within_Range",50,"High CV"
"4","Sp5-40 Dup",3232.88854474115,486.266485501764,15.0412387798757,"Within_Range",50,"High CV"
"5","L18-80",2494.26428166712,321.862570761564,12.9041085632849,"Within_Range",50,"High CV"
"6","Sc1-80",4098.66691250434,485.354143546228,11.8417562077439,"Within_Range",50,"High CV"
"7","Sc10-80",2158.76563123913,227.879689347924,10.5560180341171,"Within_Range",50,"High CV"
"8","P1A-40",1283.32553207587,136.730792328867,10.6544122213243,"Within_Range",50,"High CV"
"9","Sc12-40",1600.23180744878,287.981576856146,17.9962412642747,"Within_Range",50,"High CV"
"10","P3A-40",15.5954619465512,27.0121324589337,173.205080756888,"bdl",50,"High CV"
"11","P11B-40",1992.00311638508,207.372429552742,10.4102462414348,"Within_Range",50,"High CV"
