"Year","Community","Treatment","Chamber","SPmass_m2","DImass_m2","OTHERmass_m2","SPdensity_m2","DIdensity_m2","OTHERdensity_m2"
1987,"MX","A",2,167.1,120.3,0,2280,1240,0
1987,"MX","A",6,293.1,38.3,0,3260,280,0
1987,"MX","A",9,314.6,103.4,0,3640,900,0
1987,"MX","A",12,275.8,231.7,0,2420,1860,0
1987,"MX","A",15,286.2,72.8,0,3220,280,0
1987,"MX","C",3,390.1,154.7,0,2900,1440,0
1987,"MX","C",5,285.4,41.5,0,2860,360,0
1987,"MX","C",7,0,382.4,0,0,4480,0
1987,"MX","C",10,374.9,48.7,0,3720,680,0
1987,"MX","C",14,468,0,0,5300,0,0
1987,"MX","E",1,184.5,227.4,0,2740,1420,0
1987,"MX","E",4,202,94.4,0,4300,940,0
1987,"MX","E",8,0,411.4,0,0,3680,0
1987,"MX","E",11,596.3,12.7,0,6560,160,0
1987,"MX","E",13,244,138.7,0,2500,840,0
1987,"SC","A",2,0,0,0,0,0,0
1987,"SC","A",4,0,0,0,0,0,0
1987,"SC","A",8,0,0,0,0,0,0
1987,"SC","A",12,0,0,0,0,0,0
1987,"SC","A",15,0,0,0,0,0,0
1987,"SC","C",3,0,0,0,0,0,0
1987,"SC","C",5,0,0,0,0,0,0
1987,"SC","C",7,0,0,0,0,0,0
1987,"SC","C",11,0,0,0,0,0,0
1987,"SC","C",13,0,0,0,0,0,0
1987,"SC","E",1,0,0,0,0,0,0
1987,"SC","E",6,0,0,0,0,0,0
1987,"SC","E",9,0,0,0,0,0,0
1987,"SC","E",10,0,0,0,0,0,0
1987,"SC","E",14,0,0,0,0,0,0
1987,"SP","A",2,539.2,0,0,-99,0,0
1987,"SP","A",5,486.7,0,0,-99,0,0
1987,"SP","A",9,415.1,0,0,-99,0,0
1987,"SP","A",11,363.9,0,0,-99,0,0
1987,"SP","A",13,236.7,0,0,-99,0,0
1987,"SP","C",3,327.1,0,0,-99,0,0
1987,"SP","C",6,374,0,0,-99,0,0
1987,"SP","C",7,250,0,0,-99,0,0
1987,"SP","C",12,324,0,0,-99,0,0
1987,"SP","C",15,480.7,0,0,-99,0,0
1987,"SP","E",1,315,0,0,-99,0,0
1987,"SP","E",4,453.4,0,0,-99,0,0
1987,"SP","E",8,340.9,0,0,-99,0,0
1987,"SP","E",10,195.2,0,0,-99,0,0
1987,"SP","E",14,367.1,0,0,-99,0,0
1988,"MX","A",2,194.77,307.52,0,1480,1420,0
1988,"MX","A",6,541.53,88.73,0,4620,540,0
1988,"MX","A",9,132.74,178.45,0,1600,1580,0
1988,"MX","A",12,343.42,233.87,0,2080,1420,0
1988,"MX","A",15,490.38,89.91,0,2940,520,0
1988,"MX","C",3,150.92,319.3,0,2000,1560,0
1988,"MX","C",5,663.2,158.19,0,4220,540,0
1988,"MX","C",7,0,600.17,0,0,4000,0
1988,"MX","C",10,452.11,89.37,0,3360,760,0
1988,"MX","C",14,651.39,34.5,0,4520,280,0
1988,"MX","E",1,301.64,369.15,0,1620,2040,0
1988,"MX","E",4,357.58,171.12,0,2740,1300,0
1988,"MX","E",8,0,549.49,0,0,3040,0
1988,"MX","E",11,466.87,36.78,0,3120,400,0
1988,"MX","E",13,369.85,217.07,0,2680,1220,0
1988,"SC","A",2,0,0,0,0,0,0
1988,"SC","A",4,0,0,0,0,0,0
1988,"SC","A",8,0,0,0,0,0,0
1988,"SC","A",12,0,0,0,0,0,0
1988,"SC","A",15,0,0,0,0,0,0
1988,"SC","C",3,0,0,0,0,0,0
1988,"SC","C",5,0,0,0,0,0,0
1988,"SC","C",7,0,0,0,0,0,0
1988,"SC","C",11,0,0,0,0,0,0
1988,"SC","C",13,0,0,0,0,0,0
1988,"SC","E",1,0,0,0,0,0,0
1988,"SC","E",6,0,0,0,0,0,0
1988,"SC","E",9,0,0,0,0,0,0
1988,"SC","E",10,0,0,0,0,0,0
1988,"SC","E",14,0,0,0,0,0,0
1988,"SP","A",2,476.214,0,0,2500,0,0
1988,"SP","A",5,700.615,0,0,4420,0,0
1988,"SP","A",9,348.369,0,0,2220,0,0
1988,"SP","A",11,329.789,0,0,2680,0,0
1988,"SP","A",13,307.52,0,0,3740,0,0
1988,"SP","C",3,363.011,0,0,2580,0,0
1988,"SP","C",6,724.284,0,0,5580,0,0
1988,"SP","C",7,547.218,0,0,5540,0,0
1988,"SP","C",12,571.817,0,0,4640,0,0
1988,"SP","C",15,629.379,0,0,5260,0,0
1988,"SP","E",1,237.223,0,0,1980,0,0
1988,"SP","E",4,718.462,0,0,3940,0,0
1988,"SP","E",8,316.882,0,0,3920,0,0
1988,"SP","E",10,297.729,0,0,2940,0,0
1988,"SP","E",14,336.18,0,0,2640,0,0
1989,"MX","A",2,686.48,546.552,-99,5480,3120,-99
1989,"MX","A",6,498.212,145.988,-99,5520,1000,-99
1989,"MX","A",9,570.76,222.912,-99,5440,1600,-99
1989,"MX","A",12,426.8,540.964,-99,3280,3120,-99
1989,"MX","A",15,801.12,97.08,-99,5000,920,-99
1989,"MX","C",3,564.44,272.02,-99,3640,1440,-99
1989,"MX","C",5,883.28,48.66,-99,6040,400,-99
1989,"MX","C",7,0,598.36,-99,0,3840,-99
1989,"MX","C",10,836.084,60.732,-99,6080,600,-99
1989,"MX","C",14,818.2,39.84,-99,5640,200,-99
1989,"MX","E",1,110.64,682.376,-99,1240,3760,-99
1989,"MX","E",4,785.76,233.372,-99,6520,1400,-99
1989,"MX","E",8,8.36,799.78,-99,40,4560,-99
1989,"MX","E",11,541.56,41.476,-99,3200,200,-99
1989,"MX","E",13,598.76,118.396,-99,4160,880,-99
1989,"SC","A",2,-99,-99,-99,153,0,46
1989,"SC","A",4,-99,-99,-99,5,37,29
1989,"SC","A",8,-99,-99,-99,9,137,14
1989,"SC","A",12,-99,-99,-99,75,43,6
1989,"SC","A",15,-99,-99,-99,0,680,0
1989,"SC","C",3,-99,-99,-99,4,0,4
1989,"SC","C",5,-99,-99,-99,68,7,8
1989,"SC","C",7,-99,-99,-99,0,0,17
1989,"SC","C",11,-99,-99,-99,8,153,18
1989,"SC","C",13,-99,-99,-99,66,248,3
1989,"SC","E",1,-99,-99,-99,3,104,74
1989,"SC","E",6,-99,-99,-99,313,119,10
1989,"SC","E",9,-99,-99,-99,0,146,48
1989,"SC","E",10,-99,-99,-99,6,0,59
1989,"SC","E",14,-99,-99,-99,7,605,7
1989,"SP","A",2,858.36,0,0,2760,0,0
1989,"SP","A",5,673.08,0,0,3160,0,0
1989,"SP","A",9,792.72,0,0,4680,0,0
1989,"SP","A",11,845,0,0,4880,0,0
1989,"SP","A",13,760.96,0,0,6120,0,0
1989,"SP","C",3,1215.36,0,0,5760,0,0
1989,"SP","C",6,824.24,0,0,4520,0,0
1989,"SP","C",7,644.56,0,0,4560,0,0
1989,"SP","C",12,824.96,0,0,5520,0,0
1989,"SP","C",15,799.52,0,0,5000,0,0
1989,"SP","E",1,941.52,0,0,3320,0,0
1989,"SP","E",4,838.4,0,0,2840,0,0
1989,"SP","E",8,807.84,0,0,4920,0,0
1989,"SP","E",10,836.4,0,0,4080,0,0
1989,"SP","E",14,894.24,0,0,6920,0,0
1990,"MX","A",2,454.6666667,485,-99,2133.333333,2600,-99
1990,"MX","A",6,55.96666667,451.9633333,-99,300,1966.666667,-99
1990,"MX","A",9,1035.333333,416.3333333,-99,5200,2633.333333,-99
1990,"MX","A",12,749,356.95,-99,3800,2400,-99
1990,"MX","A",15,1100.666667,198.6666667,-99,5133.333333,933.3333333,-99
1990,"MX","C",3,553.8333333,367.3333333,-99,3400,1933.333333,-99
1990,"MX","C",5,666.2666667,58.92333333,-99,3066.666667,366.6666667,-99
1990,"MX","C",7,0,624.7366667,-99,0,3400,-99
1990,"MX","C",10,937.5666667,125.6666667,-99,4766.666667,1266.666667,-99
1990,"MX","C",14,469.6666667,22,-99,4066.666667,133.3333333,-99
1990,"MX","E",1,57.8,651.76,-99,166.6666667,3733.333333,-99
1990,"MX","E",4,279.4,189.8,-99,1300,966.6666667,-99
1990,"MX","E",8,0,787.7,-99,0,4300,-99
1990,"MX","E",11,875.3333333,0.666666667,-99,3833.333333,33.33333333,-99
1990,"MX","E",13,678.3333333,219.55,-99,3266.666667,1366.666667,-99
1990,"SC","A",2,74.68,0,3.454,448,0,10
1990,"SC","A",4,4.92,10.68,9.81,24,61,3
1990,"SC","A",8,2.85,39.67,18.11,17,151,13
1990,"SC","A",12,14.57,26.1,2.65,176,161,14
1990,"SC","A",15,2.37,110.97,0.6,13,869,6
1990,"SC","C",3,0,0,52.675,0,0,4
