"Year","Plot","Temperature","CO2","Vegetation","SCmass_m2","SCdensity_m2"
2016,310,0,0,3,342.273819,394.4444444
2016,311,1,0,3,432.2403088,507.4074074
2016,312,2,0,3,320.7037841,396.2962963
2016,313,3,0,3,337.0800672,481.4814815
2016,320,0,0,3,354.1505642,442.5925926
2016,321,1,0,3,505.852162,612.962963
2016,322,2,0,3,331.4175982,418.5185185
2016,323,3,0,3,356.431847,403.7037037
2016,330,0,0,3,401.1175946,524.0740741
2016,331,1,0,3,397.3846168,516.6666667
2016,332,2,0,3,339.6494683,446.2962963
2016,333,3,0,3,409.4837474,509.2592593
2016,440,0,0,4,60.73610121,168.5185185
2016,441,1,0,4,93.43739152,237.037037
2016,442,2,0,4,56.14085831,205.5555556
2016,443,3,0,4,54.03182367,168.5185185
2016,450,0,0,4,43.33086481,127.7777778
2016,451,1,0,4,0,0
2016,452,2,0,4,0,0
2016,453,3,0,4,0.86573214,5.555555556
2016,460,0,0,4,15.53679576,35.18518519
2016,461,1,0,4,0,0
2016,462,2,0,4,6.640683879,22.22222222
2016,463,3,0,4,9.444200875,33.33333333
2016,610,0,1,3,458.9958011,493.3333333
2016,613,3,1,3,502.5285108,600
2016,620,0,1,3,410.0318302,508.8888889
2016,623,3,1,3,339.2843616,477.7777778
2016,630,0,1,3,301.4875762,471.1111111
2016,633,3,1,3,454.0539558,588.8888889
2017,310,0,0,3,391.1106108,387.037037
2017,311,1,0,3,499.0400246,431.4814815
2017,312,2,0,3,415.5535705,398.1481481
2017,313,3,0,3,300.5476925,350
2017,320,0,0,3,401.388492,409.2592593
2017,321,1,0,3,428.1100987,433.3333333
2017,322,2,0,3,551.4361363,520.3703704
2017,323,3,0,3,497.597309,455.5555556
2017,330,0,0,3,504.1380885,566.6666667
2017,331,1,0,3,577.1256797,564.8148148
2017,332,2,0,3,409.3173039,481.4814815
2017,333,3,0,3,618.7784059,609.2592593
2017,440,0,0,4,83.14633541,211.1111111
2017,441,1,0,4,69.19231505,179.6296296
2017,442,2,0,4,68.09806121,172.2222222
2017,443,3,0,4,87.49853231,209.2592593
2017,450,0,0,4,38.00780929,107.4074074
2017,451,1,0,4,0,0
2017,452,2,0,4,0,0
2017,453,3,0,4,3.000484125,16.66666667
2017,460,0,0,4,10.53696835,37.03703704
2017,461,1,0,4,0,0
2017,462,2,0,4,3.373540183,12.96296296
2017,463,3,0,4,8.600815327,29.62962963
2017,610,0,1,3,583.7479558,517.7777778
2017,613,3,1,3,319.6674224,413.3333333
2017,620,0,1,3,452.3625271,524.4444444
2017,623,3,1,3,441.5292689,482.2222222
2017,630,0,1,3,377.6278106,442.2222222
2017,633,3,1,3,509.120278,595.5555556
2018,310,0,0,3,512.3500712,483.3333333
2018,311,1,0,3,633.3256437,525.9259259
2018,312,2,0,3,700.9252483,568.5185185
2018,313,3,0,3,528.0143989,503.7037037
2018,320,0,0,3,543.8510802,564.8148148
2018,321,1,0,3,754.0927108,674.0740741
2018,322,2,0,3,592.7953221,520.3703704
2018,323,3,0,3,796.0374202,596.2962963
2018,330,0,0,3,504.1154596,598.1481481
2018,331,1,0,3,551.297477,574.0740741
2018,332,2,0,3,707.6047177,618.5185185
2018,333,3,0,3,697.5016548,614.8148148
2018,440,0,0,4,262.2416304,416.6666667
2018,441,1,0,4,197.7720375,316.6666667
2018,442,2,0,4,244.0556864,416.6666667
2018,443,3,0,4,227.8160565,427.7777778
2018,450,0,0,4,53.83424596,157.4074074
2018,451,1,0,4,0,0
2018,452,2,0,4,0,0
2018,453,3,0,4,14.8424455,48.14814815
2018,460,0,0,4,12.24878635,37.03703704
2018,461,1,0,4,0,0
2018,462,2,0,4,13.6573764,33.33333333
2018,463,3,0,4,32.02000394,75.92592593
2018,610,0,1,3,777.3277785,673.3333333
2018,613,3,1,3,712.8350659,611.1111111
2018,620,0,1,3,580.7413927,622.2222222
2018,623,3,1,3,810.74737,673.3333333
2018,630,0,1,3,476.502711,551.1111111
2018,633,3,1,3,827.2418905,757.7777778
2019,310,0,0,3,537.5118182,353.7037037
2019,311,1,0,3,569.3204102,361.1111111
2019,312,2,0,3,870.988215,511.1111111
2019,313,3,0,3,755.1841979,500
2019,320,0,0,3,549.3457781,407.4074074
2019,321,1,0,3,775.7168718,559.2592593
2019,322,2,0,3,800.597818,498.1481481
2019,323,3,0,3,889.152298,511.1111111
2019,330,0,0,3,598.4006285,527.7777778
2019,331,1,0,3,589.501418,514.8148148
2019,332,2,0,3,711.8219022,581.4814815
2019,333,3,0,3,686.7071111,522.2222222
2019,440,0,0,4,273.57921,368.5185185
2019,441,1,0,4,308.5402106,329.6296296
2019,442,2,0,4,389.5196139,422.2222222
2019,443,3,0,4,402.1119379,424.0740741
2019,450,0,0,4,230.9837045,324.0740741
2019,451,1,0,4,0,0
2019,452,2,0,4,14.53045858,20.37037037
2019,453,3,0,4,46.4781129,77.77777778
2019,460,0,0,4,73.91069764,111.1111111
2019,461,1,0,4,2.138847713,5.555555556
2019,462,2,0,4,42.81494891,73.33333333
2019,463,3,0,4,132.2187653,185.1851852
2019,610,0,1,3,835.1054018,591.1111111
2019,613,3,1,3,826.3575402,611.1111111
2019,620,0,1,3,801.4229448,651.1111111
2019,623,3,1,3,1042.540982,671.1111111
2019,630,0,1,3,538.2605604,513.3333333
2019,633,3,1,3,868.5349712,628.8888889
2020,310,0,0,3,564.9830315,481.4814815
2020,311,1,0,3,570.9688732,457.4074074
2020,312,2,0,3,658.8029732,514.8148148
2020,313,3,0,3,569.8249974,412.962963
2020,320,0,0,3,487.6190733,453.7037037
2020,321,1,0,3,614.5387919,559.2592593
2020,322,2,0,3,585.3449276,498.1481481
2020,323,3,0,3,702.1981602,529.6296296
2020,330,0,0,3,473.7237519,503.7037037
2020,331,1,0,3,681.0628707,537.037037
2020,332,2,0,3,517.1018052,533.3333333
2020,333,3,0,3,587.3287746,551.8518519
2020,440,0,0,4,161.0770265,264.8148148
2020,441,1,0,4,270.2901127,357.4074074
2020,442,2,0,4,287.9051147,394.4444444
2020,443,3,0,4,304.5188748,388.8888889
2020,450,0,0,4,200.3675647,285.1851852
2020,451,1,0,4,0.639803823,1.851851852
2020,452,2,0,4,29.67788908,59.25925926
2020,453,3,0,4,92.46644124,198.1481481
2020,460,0,0,4,80.63058588,114.8148148
2020,461,1,0,4,4.634609992,9.259259259
2020,462,2,0,4,45.25206674,74.07407407
2020,463,3,0,4,145.6516932,183.3333333
2020,610,0,1,3,624.4771354,515.5555556
2020,613,3,1,3,621.5968158,553.3333333
2020,620,0,1,3,586.2147425,557.7777778
2020,623,3,1,3,727.5763142,562.2222222
2020,630,0,1,3,533.3485788,517.7777778
2020,633,3,1,3,655.8552262,617.7777778
2021,310,0,0,3,556.0039465,442.5925926
2021,311,1,0,3,769.093471,509.2592593
2021,312,2,0,3,505.189218,370.3703704
2021,313,3,0,3,548.0809721,374.0740741
2021,320,0,0,3,478.0585194,396.2962963
2021,321,1,0,3,624.7539429,525.9259259
2021,322,2,0,3,688.4668821,505.5555556
2021,323,3,0,3,620.685933,455.5555556
2021,330,0,0,3,577.3735869,505.5555556
2021,331,1,0,3,591.4137199,488.8888889
2021,332,2,0,3,700.5264497,564.8148148
2021,333,3,0,3,753.4251945,598.1481481
2021,440,0,0,4,175.9605527,237.037037
2021,441,1,0,4,270.1131341,337.037037
2021,442,2,0,4,284.9223006,427.7777778
2021,443,3,0,4,262.6103365,364.8148148
2021,450,0,0,4,144.6710898,196.2962963
2021,451,1,0,4,9.577048763,16.66666667
2021,452,2,0,4,40.21324684,75.92592593
2021,453,3,0,4,91.10357288,190.7407407
2021,460,0,0,4,115.1928798,153.7037037
2021,461,1,0,4,8.088142949,11.11111111
2021,462,2,0,4,57.09723752,101.8518519
2021,463,3,0,4,106.8526035,129.6296296
2021,610,0,1,3,671.273593,475.5555556
2021,613,3,1,3,772.0088635,613.3333333
2021,620,0,1,3,685.5307007,602.2222222
2021,623,3,1,3,716.687697,511.1111111
2021,630,0,1,3,612.8202863,533.3333333
2021,633,3,1,3,781.8733628,662.2222222
2022,310,0,0,3,713.2213188,535.1851852
2022,311,1,0,3,680.7242377,498.1481481
2022,312,2,0,3,494.6754526,377.7777778
2022,313,3,0,3,358.0337078,294.4444444
2022,320,0,0,3,465.5596581,414.8148148
2022,321,1,0,3,561.5654729,464.8148148
2022,322,2,0,3,577.6343471,418.5185185
2022,323,3,0,3,715.5697736,535.1851852
2022,330,0,0,3,493.2187459,481.4814815
2022,331,1,0,3,616.5203927,522.2222222
2022,332,2,0,3,625.2267214,501.8518519
2022,333,3,0,3,622.8852545,494.4444444
2022,440,0,0,4,196.1347642,292.5925926
2022,441,1,0,4,291.8451083,409.2592593
2022,442,2,0,4,300.656361,411.1111111
2022,443,3,0,4,296.686937,401.8518519
2022,450,0,0,4,198.7560696,292.5925926
2022,451,1,0,4,50.81710388,100
2022,452,2,0,4,81.18807931,159.2592593
2022,453,3,0,4,122.2144683,214.8148148
2022,460,0,0,4,145.9285811,211.1111111
2022,461,1,0,4,22.11547582,44.44444444
2022,462,2,0,4,81.19019413,138.8888889
2022,463,3,0,4,167.3274588,250
2022,610,0,1,3,662.1532785,473.3333333
2022,613,3,1,3,643.1313206,526.6666667
2022,620,0,1,3,603.1119162,615.5555556
2022,623,3,1,3,736.5961006,548.8888889
2022,630,0,1,3,539.4144575,488.8888889
2022,633,3,1,3,702.3340061,595.5555556
2023,310,0,0,3,384.8967818,366.6666667
2023,311,1,0,3,395.1380524,372.2222222
2023,312,2,0,3,367.3020866,372.2222222
2023,313,3,0,3,300.4394195,303.7037037
2023,320,0,0,3,373.3341167,388.8888889
2023,321,1,0,3,338.7821475,361.1111111
2023,322,2,0,3,391.1141913,370.3703704
2023,323,3,0,3,367.5726415,342.5925926
2023,330,0,0,3,298.6156543,372.2222222
2023,331,1,0,3,364.6285231,420.3703704
2023,332,2,0,3,342.322432,362.962963
2023,333,3,0,3,369.3240312,420.3703704
2023,440,0,0,4,148.6032685,251.8518519
2023,441,1,0,4,146.9214462,266.6666667
2023,442,2,0,4,135.6873337,274.0740741
2023,443,3,0,4,188.5342551,370.3703704
2023,450,0,0,4,114.1557712,248.1481481
2023,451,1,0,4,53.05983773,135.1851852
2023,452,2,0,4,24.8857024,74.07407407
2023,453,3,0,4,41.62053566,103.7037037
2023,460,0,0,4,105.2746052,227.7777778
2023,461,1,0,4,25.65509553,75.92592593
2023,462,2,0,4,55.1755008,120.3703704
2023,463,3,0,4,84.32936935,168.5185185
2023,610,0,1,3,423.9116121,375.5555556
2023,613,3,1,3,464.6504394,468.8888889
2023,620,0,1,3,424.4097596,453.3333333
2023,623,3,1,3,563.6691572,455.5555556
2023,630,0,1,3,358.0705509,400
2023,633,3,1,3,416.7800071,431.1111111
2024,310,0,0,3,564.962801664221,390.740740740741
2024,311,1,0,3,730.660463904038,507.407407407407
2024,312,2,0,3,632.835221501319,450
2024,313,3,0,3,437.561899866438,361.111111111111
2024,320,0,0,3,534.466169054185,435.185185185185
2024,321,1,0,3,678.258199397202,483.333333333333
2024,322,2,0,3,701.292545710052,464.814814814815
