"Year","Plot","Temperature","CO2","Vegetation","SCmass_m2","SCdensity_m2","SPmass_m2","SPdensity_m2","DImass_m2","DIdensity_m2","Other1mass_m2","Other1density_m2","Other2mass_m2","Other2density_m2"
2016,310,0,0,3,342.273819,394.4444444,142.6666667,1066.666667,16.06666667,200,0,0,0,0
2016,311,1,0,3,432.2403088,507.4074074,0.733333333,66.66666667,9.266666667,66.66666667,0,0,0,0
2016,312,2,0,3,320.7037841,396.2962963,0,0,0,0,0,0,0,0
2016,313,3,0,3,337.0800672,481.4814815,126.7333333,1400,0,0,0,0,0,0
2016,320,0,0,3,354.1505642,442.5925926,31.53333333,266.6666667,0,0,0,0,0,0
2016,321,1,0,3,505.852162,612.962963,0,0,6.4,66.66666667,0,0,0,0
2016,322,2,0,3,331.4175982,418.5185185,0,0,7.533333333,133.3333333,0,0,0,0
2016,323,3,0,3,356.431847,403.7037037,0,0,7.066666667,66.66666667,0,0,0,0
2016,330,0,0,3,401.1175946,524.0740741,10.73333333,200,12,133.3333333,0,0,0,0
2016,331,1,0,3,397.3846168,516.6666667,0,0,0,0,0,0,0,0
2016,332,2,0,3,339.6494683,446.2962963,35.26666667,333.3333333,4.933333333,66.66666667,0,0,0,0
2016,333,3,0,3,409.4837474,509.2592593,0,0,7.2,66.66666667,0,0,0,0
2016,440,0,0,4,60.73610121,168.5185185,364.2666667,2533.333333,16.26666667,200,0,0,0,0
2016,441,1,0,4,93.43739152,237.037037,268.5333333,2066.666667,0,0,0,0,0,0
2016,442,2,0,4,56.14085831,205.5555556,109.9333333,733.3333333,13.73333333,66.66666667,0,0,0,0
2016,443,3,0,4,54.03182367,168.5185185,217.8,1466.666667,7.133333333,66.66666667,0,0,0,0
2016,450,0,0,4,43.33086481,127.7777778,395.4,2733.333333,0,0,0,0,0,0
2016,451,1,0,4,0,0,265.6666667,2200,3.933333333,66.66666667,0,0,0,0
2016,452,2,0,4,0,0,525.3333333,3400,0,0,0,0,0,0
2016,453,3,0,4,0.86573214,5.555555556,394.8,2866.666667,0,0,0,0,0,0
2016,460,0,0,4,15.53679576,35.18518519,279.1333333,1733.333333,0,0,0,0,0,0
2016,461,1,0,4,0,0,169.8666667,1333.333333,15.53333333,66.66666667,0,0,0,0
2016,462,2,0,4,6.640683879,22.22222222,329.2666667,2933.333333,43.4,400,0,0,0,0
2016,463,3,0,4,9.444200875,33.33333333,197.4666667,1333.333333,40.53333333,400,0,0,0,0
