"Year","Plot","Temperature","CO2","Vegetation","SPdensity_m2","SPmass_m2","DIdensity_m2","DImass_m2","Other1density_m2","Other1mass_m2","Other2density_m2","Other2mass_m2"
2016,310,0,0,3,1066.666667,142.6666667,200,16.06666667,0,0,0,0
2016,311,1,0,3,66.66666667,0.733333333,66.66666667,9.266666667,0,0,0,0
2016,312,2,0,3,0,0,0,0,0,0,0,0
2016,313,3,0,3,1400,126.7333333,0,0,0,0,0,0
2016,320,0,0,3,266.6666667,31.53333333,0,0,0,0,0,0
2016,321,1,0,3,0,0,66.66666667,6.4,0,0,0,0
2016,322,2,0,3,0,0,133.3333333,7.533333333,0,0,0,0
2016,323,3,0,3,0,0,66.66666667,7.066666667,0,0,0,0
2016,330,0,0,3,200,10.73333333,133.3333333,12,0,0,0,0
2016,331,1,0,3,0,0,0,0,0,0,0,0
2016,332,2,0,3,333.3333333,35.26666667,66.66666667,4.933333333,0,0,0,0
2016,333,3,0,3,0,0,66.66666667,7.2,0,0,0,0
2016,440,0,0,4,2533.333333,364.2666667,200,16.26666667,0,0,0,0
2016,441,1,0,4,2066.666667,268.5333333,0,0,0,0,0,0
2016,442,2,0,4,733.3333333,109.9333333,66.66666667,13.73333333,0,0,0,0
2016,443,3,0,4,1466.666667,217.8,66.66666667,7.133333333,0,0,0,0
2016,450,0,0,4,2733.333333,395.4,0,0,0,0,0,0
2016,451,1,0,4,2200,265.6666667,66.66666667,3.933333333,0,0,0,0
2016,452,2,0,4,3400,525.3333333,0,0,0,0,0,0
2016,453,3,0,4,2866.666667,394.8,0,0,0,0,0,0
2016,460,0,0,4,1733.333333,279.1333333,0,0,0,0,0,0
2016,461,1,0,4,1333.333333,169.8666667,66.66666667,15.53333333,0,0,0,0
2016,462,2,0,4,2933.333333,329.2666667,400,43.4,0,0,0,0
2016,463,3,0,4,1333.333333,197.4666667,400,40.53333333,0,0,0,0
2016,610,0,1,3,0,0,240,30.08,0,0,0,0
2016,613,3,1,3,0,0,320,7.84,0,0,0,0
2016,620,0,1,3,80,1.76,80,2.48,0,0,0,0
2016,623,3,1,3,0,0,0,0,0,0,0,0
2016,630,0,1,3,560,54.24,320,30.4,0,0,0,0
2016,633,3,1,3,0,0,0,0,0,0,0,0
2017,310,0,0,3,666.6666667,93.13333333,66.66666667,2.933333333,0,0,0,0
