"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","Dilution","H2S_cv_flag"
"1","L3-40",4094.38086044507,203.988964578036,4.98216877058824,"Within_Range",50,"within range"
"2","L2-20",2870.99517703245,105.77205570713,3.68415999278896,"Within_Range",50,"within range"
"3","L3-20",3303.72111745351,143.547789888248,4.34503351780777,"Within_Range",50,"within range"
"4","L4-20",2398.20201990574,132.215069633913,5.51309141333762,"Within_Range",50,"within range"
"5","L6-40",3194.20405845805,373.979768393067,11.7080737970635,"Within_Range",50,"High CV"
"6","L6-40 Dup",2379.5039854431,143.547789888248,6.03267701026846,"Within_Range",50,"within range"
"7","L4-40",3562.82245215006,41.5533075992298,1.16630306890969,"Within_Range",50,"within range"
"8","L1-20",2570.04586044332,121.862121844101,4.74163219107228,"Within_Range",50,"within range"
"9","L1-20 Spike",2561.14203450873,194.168743558308,7.58133445713223,"Within_Range",50,"within range"
"10","L1-40",3627.82038147257,161.009142664089,4.43817845796251,"Within_Range",50,"within range"
"11","L1-80",3889.5928639495,101.690891857194,2.61443537702136,"Within_Range",50,"within range"
"12","L2-40",3063.31781721959,109.614740351867,3.57830126980944,"Within_Range",50,"within range"
"13","L2-80",3170.16372843466,71.8732360227321,2.26717741352183,"Within_Range",50,"within range"
"14","L3-80",3408.78626348166,104.868776523119,3.07642569575507,"Within_Range",50,"within range"
"15","L4-20 Dup",3314.40570857501,75.7401115232106,2.28517925030289,"Within_Range",50,"within range"
"16","L4-40 Spike",3738.22782306148,180.165568095044,4.81954489192941,"Within_Range",50,"within range"
"17","L4-80",3307.28264782734,326.812865977261,9.88161281564352,"Within_Range",50,"within range"
"18","L5-20",2276.21960460186,149.806705973712,6.58138194007494,"Within_Range",50,"within range"
"19","L5-40",2283.34266534953,180.613840234374,7.91006286420551,"Within_Range",50,"within range"
"20","L5-80",3487.13993170605,272.893186618222,7.82570220761721,"Within_Range",50,"within range"
"21","L6-20",2705.38401464908,149.584275701106,5.52913282887527,"Within_Range",50,"within range"
"22","L7-40",2008.05774605517,44.1470169486093,2.19849339668324,"Within_Range",50,"within range"
"23","L9-80",2289.00764153684,154.514559320132,6.75028586695284,"Within_Range",50,"within range"
"24","L10-20 Spike",2619.38390751992,194.98265818969,7.44383660714719,"Within_Range",50,"within range"
"25","L10-80",3829.02929084378,29.4313446324062,0.768637228834584,"Within_Range",50,"within range"
"26","L7-20",1487.78016182986,80.936197739117,5.44006431968899,"Within_Range",50,"within range"
"27","L9-40",1914.40778089462,95.6518700553201,4.9964208780337,"Within_Range",50,"within range"
"28","L11-40",1414.94130003831,0,0,"Within_Range",50,"within range"
"29","L11-80",2741.64913981287,213.377248584945,7.78280654101161,"Within_Range",50,"within range"
"30","L6-80 Spike",3051.21430242693,239.1296751383,7.83719697918617,"Within_Range",50,"within range"
"31","L8-20",1956.02998763264,139.798887003929,7.14707278967263,"Within_Range",50,"within range"
"32","L8-40",2788.47412239315,323.744790956468,11.6101056257471,"Within_Range",50,"High CV"
"33","L8-80",2801.48106199878,99.3307881343709,3.54565267214411,"Within_Range",50,"within range"
"34","L9-20",1469.57044638197,77.2572796600662,5.25713346034353,"Within_Range",50,"within range"
"35","L9-80 Dup",2210.96600390305,80.9361977391172,3.6606712901166,"Within_Range",50,"within range"
"36","L10-20",1841.56891910307,75.5746844787242,4.10382058986598,"Within_Range",50,"within range"
"37","L10-40",2054.88272863545,34.1168827412989,1.6602836875248,"Within_Range",50,"within range"
"38","L11-20",1520.73107549746,124.685837405772,8.1990721051705,"Within_Range",50,"within range"
"39","L12-20",2202.29471083262,214.284477839645,9.73005460103158,"Within_Range",50,"within range"
"40","L12-20 Dup",2046.21143556503,44.2490911125008,2.16248870196945,"Within_Range",50,"within range"
"41","L6-80",3234.17858621284,238.099244593453,7.36196960824796,"Within_Range",50,"within range"
"42","L7-80",2672.2787952495,215.795019586094,8.07531833765671,"Within_Range",50,"within range"
"43","L15-20",2845.094863935,66.1759461114206,2.32596624282305,"Within_Range",50,"within range"
"44","L15-80 Spike",3474.20694058671,36.7644145063454,1.05821026597042,"Within_Range",50,"within range"
"45","L17-20",1074.74228459694,62.4995046607862,5.8153015431253,"Within_Range",50,"within range"
"46","L17-40",2275.77443093202,158.086982377282,6.94651368908033,"Within_Range",50,"within range"
"47","L17-80",3008.87197479888,444.849415526771,14.7845910112711,"Within_Range",50,"High CV"
"48","L13-20",2577.33228585597,136.028333673475,5.27787334291272,"Within_Range",50,"within range"
"49","L14-20",1935.22202580237,29.4115316050757,1.51980140846533,"Within_Range",50,"within range"
"50","L16-40",3302.6309196817,110.293243519035,3.33955704410545,"Within_Range",50,"within range"
"51","L15-80",2200.38496720103,95.5874777164961,4.34412519360588,"Within_Range",50,"within range"
"52","L16-80",2969.87742459319,308.821081853295,10.3984453801354,"Within_Range",50,"High CV"
"53","L12-40",2136.26059575168,280.391434344923,13.1253384958057,"Within_Range",50,"High CV"
"54","L12-40 Spike",2434.35226843513,211.770686671059,8.69926219869531,"Within_Range",50,"within range"
"55","L12-80",2839.89559057425,231.586631445114,8.15475865428861,"Within_Range",50,"within range"
"56","L13-40",2973.3436068337,233.928784927771,7.86753284720031,"Within_Range",50,"within range"
"57","L13-80",3351.15747104877,264.82290158013,7.90243084271571,"Within_Range",50,"within range"
"58","L14-40",3212.51018142856,232.18893839584,7.22764832740822,"Within_Range",50,"within range"
"59","L14-80",2812.1661326502,192.747472501866,6.85405710082353,"Within_Range",50,"within range"
"60","L15-40",2895.35450642233,229.377736117419,7.92226774333247,"Within_Range",50,"within range"
"61","L15-40 Dup",3011.47161147926,141.531058847858,4.69973079966499,"Within_Range",50,"within range"
"62","L16-20",1931.75584356187,154.352173681725,7.99025271211929,"Within_Range",50,"within range"
"63","L17-80 Dup",3063.46434508683,169.036365194712,5.51781728636116,"Within_Range",50,"within range"
"64","L19-20",2766.72318217367,92.6928255740418,3.35027465600003,"Within_Range",50,"within range"
"65","L20-40",2398.66995419332,57.0417388147945,2.37805700259325,"Within_Range",50,"within range"
"66","P1A-40 Spike",976.875292680202,28.5208694073973,2.91960187969808,"Within_Range",50,"within range"
"67","L19-80",3154.94371031732,99.8230429258906,3.16401977631007,"Within_Range",50,"within range"
"68","L20-20",2577.65474314267,117.648586305514,4.56417162222733,"Within_Range",50,"within range"
"69","P1A-20",692.012177873496,10.6953260277741,1.54554014651015,"Within_Range",50,"within range"
"70","P2A-40",1516.35057204865,114.08347762959,7.52355555057811,"Within_Range",50,"within range"
"71","L18-20 Spike",1465.93232164039,21.3906520555479,1.4591841478474,"Within_Range",50,"within range"
"72","L18-80",2290.27071581555,139.039238361063,6.07086478471397,"Within_Range",50,"within range"
"73","L18-20",1208.79924455823,83.3046212982796,6.89151831235006,"Within_Range",50,"within range"
"74","L18-40",2486.06158823432,208.205602455555,8.37491731664738,"Within_Range",50,"within range"
"75","L19-40",3524.67754664461,230.733510339607,6.54623032280666,"Within_Range",50,"within range"
"76","L20-80",2008.76881770273,124.353661693453,6.19054122094882,"Within_Range",50,"within range"
"77","P1A-20 Dup",647.476056679527,12.6883147699478,1.95965775707873,"Within_Range",50,"within range"
"78","P1A-40",1079.39240184368,103.613286910998,9.59922329766447,"Within_Range",50,"within range"
"79","P2A-20",1003.76502623128,86.7916658266807,8.64661186219523,"Within_Range",50,"within range"
